id,scenario_short_code,reservoir_entity_id,water_month,spill_months_count,total_months,spill_frequency_pct,spill_avg_cfs,spill_max_cfs,spill_q50,spill_q90,spill_q100,storage_at_spill_avg_pct,is_active,created_at,created_by,updated_at,updated_by
101,s0020,7,1,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
102,s0020,7,2,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
103,s0020,7,3,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
104,s0020,7,4,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
105,s0020,7,5,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
106,s0020,7,6,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
107,s0020,7,7,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
108,s0020,7,8,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
109,s0020,7,9,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
110,s0020,7,10,0,100,0.00,0.00,0.00,0.00,0.00,0.00,,True,2026-02-01 21:42:22.116798+00:00,2,2026-03-14 22:18:34.503785+00:00,2
