id,scenario_short_code,tier_short_code,tier_1_value,tier_2_value,tier_3_value,tier_4_value,norm_tier_1,norm_tier_2,norm_tier_3,norm_tier_4,total_value,single_tier_level,tier_version_id,is_active,created_at,created_by,updated_at,updated_by
274,s0011,AG_REV,60,44,13,15,0.455,0.333,0.099,0.114,132,,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
275,s0011,DELTA_ECO,,,,,,,,,,4,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
276,s0011,ENV_FLOWS,0,1,14,2,0.000,0.059,0.824,0.118,17,,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
277,s0011,FW_DELTA_USES,,,,,,,,,,2,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
278,s0011,FW_EXP,,,,,,,,,,2,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
279,s0011,GW_STOR,7,19,13,3,0.167,0.452,0.310,0.071,42,,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
280,s0011,RES_STOR,0,3,5,0,0.000,0.375,0.625,0.000,8,,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
282,s0020,AG_REV,59,45,14,14,0.447,0.341,0.106,0.106,132,,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
283,s0020,CWS_DEL,52,5,17,1,0.693,0.067,0.227,0.013,75,,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
284,s0020,DELTA_ECO,,,,,,,,,,3,8,True,2026-02-03 02:14:09.734790+00:00,2,2026-05-23 16:35:07.635705+00:00,2
