table,schema,records,columns,has_audit_trigger,created_by_values
ag_aggregate_entity,public,9,13,True,2
ag_aggregate_monthly,public,8208,29,True,1
ag_aggregate_period_summary,public,684,31,True,1
ag_du_demand_monthly,public,119472,26,True,1
ag_du_gw_pumping_monthly,public,119472,27,True,1
ag_du_period_summary,public,9956,52,True,1
ag_du_shortage_monthly,public,67668,28,True,1
ag_du_sw_delivery_monthly,public,118560,26,True,1
assumption_category,public,2,9,True,2
assumption_definition,public,6,13,True,2
audit_log,public,0,13,False,
calsim_model_variable_type,public,8,9,True,2
channel_entity,public,669,28,True,2
channel_variable,public,1352,19,True,2
compliance_station,public,2,16,True,2
cws_aggregate_entity,public,6,14,True,2
cws_aggregate_monthly,public,5472,45,True,1
cws_aggregate_period_summary,public,456,36,True,1
delta_monthly,public,7296,27,True,1
delta_period_summary,public,608,14,True,1
derived_variable_type,public,4,9,True,2
developer,public,6,16,True,"1,2"
domain_family_map,public,93,10,True,2
du_agriculture_entity,public,144,36,True,2
du_delivery_monthly,public,73872,28,True,1
du_period_summary,public,6156,33,True,1
du_refuge_entity,public,18,26,True,2
du_shortage_monthly,public,38688,27,True,1
du_urban_delivery_arc,public,57,9,True,2
du_urban_entity,public,145,27,True,2
du_urban_group,public,11,10,True,2
du_urban_group_member,public,142,9,True,2
du_urban_variable,public,90,16,True,2
env_flow_channel_monthly,public,53808,58,True,2
env_flow_channel_period_summary,public,4484,32,True,2
env_flow_channel_seasonal,public,22420,61,True,2
env_flow_season,public,5,12,True,2
geometry_type,public,4,9,True,2
hydroclimate,public,6,17,True,2
hydrologic_region,public,7,8,True,2
mi_contractor,public,30,14,True,2
mi_contractor_delivery_arc,public,39,9,True,2
mi_contractor_group,public,6,10,True,2
mi_contractor_group_member,public,60,9,True,2
mi_contractor_period_summary,public,1745,34,True,1
mi_delivery_monthly,public,20940,28,True,1
mi_shortage_monthly,public,20940,27,True,1
model_source,public,1,10,True,2
network,public,6908,19,True,2
network_arc,public,2610,15,True,2
network_entity_type,public,4,9,True,2
network_gis,public,4154,14,True,2
network_node,public,1544,17,True,2
network_subtype,public,28,12,True,2
network_type,public,21,12,True,2
operation_category,public,9,9,True,2
operation_definition,public,28,13,True,2
refuge_du_delivery_monthly,public,16416,26,True,2
refuge_du_period_summary,public,1368,32,True,2
refuge_du_shortage_monthly,public,16416,29,True,2
reservoir,public,7,16,True,2
reservoir_entity,public,92,23,True,2
reservoir_group,public,4,10,True,2
reservoir_group_member,public,24,9,True,2
reservoir_monthly_percentile,public,82080,26,True,"1,2"
reservoir_period_summary,public,6840,43,True,"1,2"
reservoir_spill_monthly,public,16416,18,True,"1,2"
reservoir_storage_monthly,public,82080,42,True,"1,2"
scenario,public,77,13,True,2
scenario_author,public,3,11,True,2
scenario_backup,public,75,13,False,2
scenario_hydroclimate_sibling,public,27,9,True,2
scenario_key_assumption_link,public,73,6,True,2
scenario_key_operation_link,public,514,6,True,2
scenario_tag,public,10,9,True,2
scenario_tag_link,public,109,6,True,2
sensitivity_climate,public,306272,15,False,
sensitivity_operational,public,39702,15,False,
slr,public,4,11,True,2
source,public,12,8,True,2
spatial_ref_sys,public,8500,5,False,
spatial_scale,public,11,9,True,2
statistic_category,public,3,8,True,2
statistic_type,public,20,9,True,2
temporal_scale,public,8,9,True,2
theme,public,6,18,True,2
theme_scenario_link,public,79,6,True,2
tier_definition,public,9,12,True,2
tier_location,public,280,10,False,2
tier_location_result,public,21076,14,True,2
tier_result,public,655,19,True,2
unit,public,5,9,True,2
variable_type,public,6,9,True,2
version,public,14,9,True,2
version_family,public,14,9,True,2
watershed,public,13,11,True,2
wba,public,42,15,True,2
