du_id,gw_pdf,sw_pdf
02_NU,1,0
02_PU,0,1
02_SU,1,1
03_PU3,0,1
03_SU,1,1
03_NU,1,0
03_PU1,1,1
03_PU2,1,1
04_NU1,1,0
04_NU2,1,0
05_NU,1,0
06_NU,1,0
07N_NU,1,0
07S_NU,1,0
08N_NU,1,0
08S_NU,1,0
09_NU,1,0
10_NU1,1,0
10_NU2,1,0
11_NU1,1,1
11_NU2,1,0
12_NU1,1,1
12_NU2,1,0
13_NU1,0,1
13_NU2,1,1
14_NU,1,0
15N_NU,1,1
15S_NU,1,0
16_PU,1,1
16_NU,1,0
17N_NU,1,0
17S_NU,1,0
18_NU,1,0
19_NU,1,0
20_NU1,1,0
20_NU2,1,0
21_NU,1,0
21_PU,0,1
22_NU,1,0
23_NU,1,0
24_NU1,0,1
24_NU2,1,1
24_NU3,0,1
24_NU4,1,0
25_NU,1,0
25_PU,1,1
26N_NU1,1,1
26N_NU2,1,1
26N_NU3,1,1
26N_NU4,1,1
26N_NU5,1,0
26N_PU1,1,1
26N_PU2,0,1
26N_PU3,1,1
26S_NU1,1,1
26S_NU2,1,1
26S_NU3,1,0
26S_NU4,1,1
26S_PU1,1,1
26S_PU2,1,1
26S_PU3,0,1
26S_PU4,1,1
26S_PU5,1,1
26S_PU6,1,0
AMCYN,0,1
ANTOC,0,1
BNCIA,0,1
CLLPT,1,1
CSPSO,0,1
ELDID_NU1,0,1
ELDID_NU2,0,1
ELDID_NU3,1,1
EBMUD,0,1
FRFLD,0,1
GDPUD_NU,0,1
GRSVL,0,1
NAPA,0,1
NAPA2,,
PCWA3,0,1
PINES,0,1
PLMAS,1,1
SUISN,0,1
TVAFB,0,1
VLLJO,0,1
WLDWD,0,1
50_PU,1,1
60N_NU1,1,0
60N_NU2,0,0
60N_PU,0,1
60S_NU1,1,1
60S_NU2,1,0
61_NU1,1,1
61_NU2,1,1
61_NU3,1,0
62_NU,1,0
63_NU,1,0
64_NU,1,0
71_NU,1,0
71_PU1,0,1
71_PU2,0,1
72_NU,1,0
72_PU,1,0
73_NU,1,0
90_PU,0,1
AMADR_NU,0,1
CCWD,0,1
CCWDI,0,1
JLIND,0,1
MHILL_NU,0,1
UPANG,0,1
WSPNT_NU,0,1
