page,col1,col2,col3,col4,col5,col6
1,,"Cities, Towns, and Communities","Water Agency
Retail (Wholesale)","ID2,3,4",,
1,,,,,GW,SW
1,,Anderson,City of Anderson,4510001,•,-
1,,Cottonwood,Cottonwood WD,4510007,•,-
1,,Lake California,Rio Alto WD,5210005,•,-
1,,Small communities,Self-supplied,N/A,•,-
1,,Centerville and Redding,Centerville CSD,4510011,-,•
1,,Happy Valley,Clear Creek CSD,4510016,-,•
1,,Shasta CSA No. 25,Keswick CSA5,4500001,-,•
1,,Shasta,Shasta CSD,4510013,-,•
1,,"Redding – Foothill, Hill 900 and Cascade",City of Redding,4510005,•,•
1,,Redding – Buckeye and Hilltop,,,-,•
1,,Redding – Hilltop and Enterprise,,,•,•
1,,Small communities,Self-supplied,N/A,•,-
1,,Shasta CSA No. 6,Jones Valley CSA2,4510004,-,•
1,,Shasta Lake,City of Shasta Lake,4510006,-,•
1,,Mountain Gate,Mountain Gate CSD,4510002,•,•
1,,"Stillwater Valley, Bella Vista, Palo Cedro,",,,,•
1,03_PU2,,Bella Vista WD,4510014,•,
1,,Redding,,,,
1,,,,,,
1,,Red Bluff,City of Red Bluff,5210004,•,-
1,,Corning,City of Corning,,•,-
1,,Gerber,Gerber-Las Flores CSD,5210002,•,-
1,,Small communities,Self-supplied,N/A,•,-
1,,Red Bluff,City of Red Bluff,5210004,•,-
1,,Los Molinos,Los Molinos CSD,5210003,•,-
1,,Small communities,Self-supplied,N/A,•,-
1,,Orland,City of Orland,1110001,•,-
1,,Small communities,Self-supplied,N/A,•,-
1,,Willows,California Water Service Company,1110003,•,-
1,,Small communities,Self-supplied,N/A,•,-
1,,Arbuckle,Arbuckle PUD,610001,•,-
1,,Small communities,Self-supplied,N/A,•,-
1,,Hamilton City,California Water Service Company,1110002,•,-
1,,Small communities,Self-supplied,N/A,•,-
1,,Colusa,City of Colusa,610002,•,-
1,,Williams,City of Williams,610004,•,-
1,,Small communities,Self-supplied,N/A,•,-
2,"Cities, Towns, and Communities","Water Agency
Retail (Wholesale)","ID2,3,4",,,
2,,,,GW,SW,
2,Small communities,Self-supplied,N/A,•,-,
2,Chico,California Water Service Company,410002,•,-,
2,Durham,Durham ID,410003,•,-,
2,Small communities,Self-supplied,N/A,•,-,
2,Oroville,Thermalito ID,410008,•,•,
2,Biggs,City of Biggs,410001,•,-,
2,Gridley,City of Gridley,410004,•,-,
2,Live Oak,Live Oak WD,5110001,•,-,
2,Small communities,Self-supplied,N/A,•,-,
2,Oroville,California Water Service Company,410005,•,•,
2,Small communities,Self-supplied,N/A,•,-,
2,Oroville,South Feather Water and Power Agency,410006,-,•,
2,Small communities,South Feather Water and Power Agency,,•,•,
2,Small communities,Self-supplied,N/A,•,-,
2,Marysville,California Water Service Company,5810001,•,•6,
2,Small communities,Self-supplied,N/A,•,-,
2,Olivehurst,Olivehurst PUD,5810003,•,-,
2,Wheatland,City of Wheatland,5810004,•,-,
2,Linda,Linda County WD,5810002,•,-,
2,Small communities,Self-supplied,N/A,•,-,
2,Yuba City,City of Yuba City,5110002,•,•,
2,Small communities,Self-supplied,N/A,•,-,
2,Small communities,Self-supplied,N/A,•,-,
2,Sutter,Sutter CSD,5110007,•,-,
2,Small communities,Self-supplied,N/A,•,-,
2,Small communities,Self-supplied,N/A,•,-,
2,Small communities,Self-supplied,N/A,•,-,
2,"Davis, El Macero, Willowbank",City of Davis,5710001,•,-,
2,UC Davis,University of California at Davis,5710009,•,-,
2,Woodland,City of Woodland,5710006,•,-,
2,Winters,City of Winters,5710005,•,-,
2,Esparto,Esparto CSD,5710007,•,-,
2,Madison,Madison CSD,5700571,•,-,
2,Small communities,Self-supplied,N/A,•,-,
3,"Cities, Towns, and
Communities","Water Agency
Retail (Wholesale)","ID2,3,4",,,
3,,,,GW,SW,
3,Knights Landing,Knights Landing Service District,5710004,•,-,
3,Small communities,Self-supplied,N/A,•,-,
3,West Sacramento (Portion),City of West Sacramento,5710003,-,•,
3,Sacramento Airport8,(City of Sacramento),3400139,•,-,
3,Metro Air Park,Sacramento County WA (City of Sacramento),"Non-
residential",-,-,
3,Northgate 8809,Sacramento County WA,"Non-
residential",•,-,
3,Small communities,Self-supplied,N/A,•,-,
3,Small communities,Self-supplied,N/A,•,-,
3,"Auburn, Bowman",Placer County WA – Upper Zone 1,3110005,-,•,
3,Christian Valley Park,Christian Valley Park CSD,3110034,-,•,
3,"Loomis, Newcastle, Penryn,
Rocklin, Granite Bay (Portion),
Roseville (Portion)",Placer County WA - lower Zone 1,3110025,•8,•7,
3,Lincoln,City of Lincoln (Placer County WA),3110004,•,•9,
3,West Placer,Cal-Am WC (Placer County WA),3110150,•,-,
3,North Auburn,Nevada ID,3110026,-,•,
3,Small communities,Self-supplied,-,•,-,
3,Rio Vista,City of Rio Vista,4810004,•,-,
3,Dixon,California Water Service Company,4810002,•,-,
3,Small communities,Self-supplied,N/A,•,-,
3,Vacaville,City of Vacaville,4810008,•,•,
3,"Northridge, McClellan Business
Park","Sacramento Suburban WD – NSA13, McClellan
(Placer County WA)",3410024,•,•,
3,Arcade – North Highlands,"Sacramento Suburban WD – NSA12
(Placer County WA)",3410025,•,•,
3,Antelope,Cal-Am WC (San Juan WD),3410031,•,•,
3,Lincoln Oaks,Cal-Am WC (San Juan WD),3410013,•,•,
3,"Rio Linda, Elverta15",Rio Linda Elverta CWD (San Juan WD),3410018,•,-17,
3,Carmichael,Carmichael WD,3410004,•,•,
3,City of Sacramento - North,City of Sacramento,3410020,•,•,
3,Arcade14,"Sacramento Suburban WD – SSA
(City of Sacramento)",3410001,•,•,
4,,"Cities, Towns, and
Communities","Water Agency
Retail (Wholesale)","ID2,3,4",,
4,,,,,GW,SW
4,,Arden,Golden State WC,3410003,•,-
4,,Del Paso Service Area,Del Paso Manor WD,3410007,•,-18
4,26N_NU513,,,,,
4,,Arden Park Vista Service Area,Sacramento County WA,3410002,•,-
4,,,,,,
4,,Arden,Cal-Am WC,3410045,•,-
4,26N_PU1,Roseville,City of Roseville,3110008,•13,•10
4,26N_PU2,San Juan Retail Service Area11,San Juan WD,3410021,-,•
4,,Orange Vale,Orange Vale WC (San Juan WD),3410016,•,•
4,,City of Citrus Heights,Citrus Heights WD (San Juan WD),3410006,•,•
4,26N_PU3,,,,,
4,,Fair Oaks,Fair Oaks WD (San Juan WD),3410009,•,•
4,,,,,,
4,,City of Folsom - Ashland,City of Folsom (San Juan WD ),3410030,-,•
4,,City of Sacramento - South,City of Sacramento,3410020,•,•
4,26S_NU1,,,,,
4,,,,,,
4,,Parkway,Cal-Am WC (City of Sacramento),3410017,•,•23
4,26S_NU2,Suburban,Cal-Am WC (City of Sacramento),3410010,•,•23
4,,Rosemont,Cal-Am WC (City of Sacramento),3410034,•,•23
4,,Florin,Florin County WD,3410033,•,-
4,26S_NU3,Fruitridge,Fruitridge Vista WC,3410023,•,-
4,,Tokay Park,Tokay Park WC (Sacramento County WA),3400172,•,-
4,,Groundwater remediation,Aerojet,"Non-potable
water",•,•
4,26S_NU4,,,,,
4,,,,,,
4,,City of Folsom,City of Folsom,3410014,•,•21
4,26S_PU1,,,,,
4,,Folsom State Prison,Folsom State Prison,3410032,-,•
4,,,,,,
4,26S_PU2,Rancho Cordova,Golden State WC,3410015,•22,•
4,,Folsom Lake shoreline,California Parks and Recreation,"Non-potable
water",-,•
4,26S_PU3,,,,,
4,,,,,,
4,26S_PU4,Laguna,Sacramento County WA – SSA,3410029,•,•
4,,City of Elk Grove,"Elk Grove WD, Tariff Area No.2 (Sacramento
County WA)",3410008,•,•
4,26S_PU5,,,,,
4,,,"Elk Grove WD, Tariff Area No.1",,•,-
4,,Vineyard,Sacramento County WA – CSA (Zone 40),,•,-20
4,26S_PU6,Mather-Sunrise,Sacramento County WA – NSA (Zone 40),3410704,•,-20
4,,Sunrise/Security Park,Cal-Am WC (Sacramento County WA),3410027,•,-20
5,,"Cities, Towns, and
Communities","Water Agency
Retail (Wholesale)","ID2,3,4",,
5,,,,,GW,SW
5,AMCYN,American Canyon,City of American Canyon,2810005,-,•
5,ANTOC,Antioch,City of Antioch,710001,-,•
5,,Benicia,City of Benicia,4810001,-,•
5,BNCIA,,,,,
5,,,,,,
5,CLLPT,Clear Lake communities,19 M&I water purveyors,N/A,•,•
5,CSPSO,Solano State Prison,California State Prison – Solano,4810800,-,•
5,ELDID_NU1,El Dorado Eastern Region,El Dorado ID,,-,•
5,ELDID_NU2,El Dorado Western Region,El Dorado ID,,-,•
