du_id,seed_gw,seed_sw,xlsx_gw_su,xlsx_sw_du,pdf_or_gw,pdf_or_sw,pdf_n_systems,in_pdf_extract,seed_xlsx_agree,xlsx_pdf_agree,seed_pdf_agree,pattern,seed_source,xlsx_note
02_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
02_PU,0,1,1,1,0,1,0,True,False,False,True,xlsx_adds_gw,"geopackage,calsim_report",
02_SU,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
03_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
03_PU1,0,1,1,1,1,1,0,True,False,True,False,xlsx_adds_gw,"geopackage,calsim_report",
03_PU2,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
03_PU3,0,1,1,0,0,1,0,True,False,False,True,mixed,"geopackage,calsim_report",James said this unit was not represented in calsim and to ignore for sw deliveries
03_SU,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
04_NU1,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
04_NU2,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
05_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
06_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
07N_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
07S_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
08N_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
08S_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
09_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
10_NU1,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
10_NU2,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
11_NU1,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
11_NU2,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
12_NU1,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
12_NU2,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
13_NU1,0,1,1,1,0,1,0,True,False,False,True,xlsx_adds_gw,"geopackage,calsim_report",
13_NU2,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
14_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
15N_NU,1,1,1,0,1,1,0,True,False,False,True,xlsx_clears_sw,"geopackage,calsim_report",
15S_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
16_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
16_PU,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
17N_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
17S_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
18_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
19_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
20_NU1,1,0,1,1,1,0,0,True,False,False,True,mixed,"geopackage,calsim_report",
20_NU2,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
21_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
21_PU,0,1,1,1,0,1,0,True,False,False,True,xlsx_adds_gw,"geopackage,calsim_report",
22_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
23_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
24_NU1,0,1,1,1,0,1,0,True,False,False,True,xlsx_adds_gw,"geopackage,calsim_report",
24_NU2,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
24_NU3,0,1,1,1,0,1,0,True,False,False,True,xlsx_adds_gw,"geopackage,calsim_report",
24_NU4,0,1,1,0,1,0,0,True,False,True,False,mixed,"geopackage,calsim_report",
25_NU,1,0,1,0,1,0,0,True,True,True,True,,"geopackage,calsim_report",
25_PU,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
26N_NU1,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
26N_NU2,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
26N_NU3,1,1,1,1,1,1,0,True,True,True,True,,"geopackage,calsim_report",
