,,,,,,
Historical Hydro Reference Version,Web Platform ID,Modeling Identifier,Study Name (with link to Google Drive),Short Description,Run/ Update Date,Notes
s0011,1.2,s0057,s0057_adjBL_cc95_wTUCP,DWR 2023 Baseline,2/14/2026,First version of zipped folder of model files was appended with 20250214 date - changed to 20260214 on 2026-03-23
s0020,1.1,s0056,s0056_DCRcc95_2020LU_wTUCP,DWR 2023 Baseline with TUCPs & 2020 land use,11/21/2025,
s0021,1.3,s0058,s0058_DCRadjBL_cc95_2020LU_woTUCP,DWR 2023 Baseline without TUCPs & 2020 land use,2/14/2025,
s0023,1.5,s0060,s0060_USBR24Alt2V1_adjBL_cc95_2020LU_woTUCP,USBR 2024 Alt2V1 with 2020 land use,3/9/2026,
s0024,1.4,s0059,s0059_USBR24Alt2V1_adjBL_cc95_2020LU_woTUCP,USBR 2024 Alt2V1 with 2020 land use & TUCPs,3/9/2026,
s0025,2.1,s0087,s0087_CC95_SJVgwLimit_20LU_wTUCP,Limiting groundwater pumping in the San Joaquin,2/14/2026,
s0026,2.2,s0088,s0088_SJVgwLimit_cc95_SGMALU_wTUCP,Reducing irrigated acreage in the San Joaquin,3/12/2026,Date appended to DV file name seems incorrect - likely should be in Feb/March?
s0027,2.3,s0063,s0063_CVgwLimit_cc95_2020LU_wTUCP,Limiting groundwater pumping in the Central Valley,11/24/2025,
s0028,2.4,s0089,s0089_CVgwLimit_cc95_SGMALU_wTUCP,Reducing irrigated acreage in the Central Valley,2/16/2026,
s0030,3.1,s0091,s0091_DCRadjHist_cc95_2020LU_NoFlowReqt,Remove minimum flow requirements throughout CV,2/15/2026,
s0031,3.4,s0092,s0092_DCRadjHist_cc95_2020LU_salmonflows,Salmon-friendly flows on the Sac & SJR with Shasta storage protections,2/18/2026,
s0032,3.3,s0093,s0093_DCRadjHist_cc95_CVgwLU_eflows,Functional flows for all sites with reduced irrigated acreage for CV,2/16/2026,
s0033,3.5,s0094,s0094_DCRadjHist_cc95_CVgwLU_salmonflows,Salmon-friendly flows on the Sac & SJR with Shasta storage protections and reduced irrigated acreage for CV,3/20/2026,Had to be re-run to fix an error in the first February version; use the zipped model files with 20260320jg appended to the file name
s0035,4.1,s0095,s0095_DCRadjBL_cc95_2020LU_PriorityHHS,Prioritizing health and human safety surface delivery levels to community water systems,3/6/2026,
s0036,4.2,s0096,s0096_DCRadjBL_cc95_2020LU_PriorityFuncCWN,Prioritizing functional delivery levels to community water systems,3/8/2026,
s0037,4.3,s0097,s0097_DCRadjBL_cc95_2020LU_PriorityFullCWN,Prioritizing full contract or demand levels to community water systems,3/8/2026,
s0039,5.4,s0098,s0098_USBRAlt3_cc95_2020LU_DeltaOut65,USBR Alt3 with 2020 land use - 65% unimpaired Delta outflow with upstream actions to protect storage,3/4/2026,
s0040,5.1,s0099,s0099_USBRAlt3_cc95_2020LU_DeltaOut35,USBR Alt3 with 2020 land use - 35% unimpaired Delta outflow with upstream actions to protect storage,3/5/2026,
s0041,5.2,s0100,s0100_USBRAlt3_cc95_2020LU_DeltaOut45,USBR Alt3 with 2020 land use - 45% unimpaired Delta outflow with upstream actions to protect storage,3/6/2026,
s0042,5.3,s0101,s0101_USBRAlt3_cc95_2020LU_DeltaOut55,USBR Alt3 with 2020 land use - 55% unimpaired Delta outflow with upstream actions to protect storage,3/6/2026,
s0044,6.1,s0102,s0102_DCRadjHist_cc95_2020LU_ShastaCarryover20,Target an increase in Shasta carryover of 20% compared to s0020 baseline,2/17/2026,
s0045,6.4,s0103,s0103_DCRadjBL_cc95_2020LU_RelaxFallX2,Remove the fall X2 requirement in the Delta,2/17/2026,
s0046,3.2,s0104,s0104_DCRadjHist_cc95_2020LU_EflowsV2,"Variation of functional flows that removes the downstream Sac, SJR, and Delta flow requirements",2/16/2026,
s0065,7.4,s0105,s0105_DWRadapt25_cc95_2020LU_DCP,An updated version of the Delta Conveyance Project with 2020 land use,2/19/2026,
