Index,Status,Include in Data Platform?,Platform Identifier,StudyName,HydroClimate,Land Use        (Ag Demands),GoogleDriveFolderName,ModelFilesLink,Scenario Description,ShortDescription,DV_Path,BaseScen,Source
s0001,FINAL,No,N/A,9.3.1_danube_hist,Historical,2004-2013,s0001_DCR2023_9.3.1_danube_hist,9.3.1_danube_hist.zip,,"DCR2023 baseline historical, current ops",s0001_DCR2023_9.3.1_danube_hist\Model_Files\DSS\output\DCR2023_DV_9.3.1_Danube_Hist_v1.7.dss,,DWR
s0002,FINAL,No,N/A,9.3.1_danube_adj,2023 DWR Historical Adjusted,2004-2013,s0002_DCR2023_9.3.1_danube_adj,9.3.1_danube_adj.zip,Description,"DCR2023 adjusted historical, current ops",s0002_DCR2023_9.3.1_danube_adj\Model_Files\DSS\output\DCR2023_DV_9.3.1_v2a_Danube_Adj_v1.8.dss,,DWR
s0003,FINAL,No,N/A,9.3.1_danube_cc50,2023DCR CC50-2043,2004-2013,s0003_DCR2023_9.3.1_danube_cc50,9.3.1_danube_cc50.zip,,"DCR2023 2043 50% climate, current ops",s0003_DCR2023_9.3.1_danube_cc50\Model_Files\DSS\output\DCR2023_DV_9.3.1_Danube_cc50_v1.8.dss,,DWR
s0004,FINAL,No,N/A,9.3.1_danube_cc75,2023DCR CC75-2043,2004-2013,s0004_DCR2023_9.3.1_danube_cc75,9.3.1_danube_cc75.zip,,"DCR2023 2043 75% climate, current ops",s0004_DCR2023_9.3.1_danube_cc75\Model_Files\DSS\output\DCR2023_DV_9.3.1_Danube_CC75_v1.8.dss,,DWR
s0005,FINAL,No,N/A,9.3.1_danube_cc95,2023DCR CC95-2043,2004-2013,s0005_DCR2023_9.3.1_danube_cc95,9.3.1_danube_cc95.zip,,"DCR2023 2043 95% climate, current ops",s0005_DCR2023_9.3.1_danube_cc95\Model_Files\DSS\output\DCR2023_DV_9.3.1_Danube_CC95_v1.8.dss,,DWR
s0006,FINAL,No,N/A,s0006_draftDCP_NDDOff_2020,Historical through 2015,2004-2013,s0006_draftDCP_NDDOff_2020,s0006_draftDCP_NDDOff_2020.zip,,"draft DCP baseline,  2020/historical, no tunnel",s0006_draftDCP_NDDOff_2020\Model_Files\DSS\output\0_DCR19_12.30_120621_NDDOff_2020.dss,,DWR
s0007,FINAL,No,N/A,s0007_draftDCP_NDD_SWP3000_2020,Historical through 2015,2004-2013,s0007_draftDCP_NDD_SWP3000_2020,s0007_draftDCP_NDD_SWP3000_2020.zip,,"draft DCP, 2020/historical, SWP tunnel 3000cfs",s0007_draftDCP_NDD_SWP3000_2020\Model_Files\DSS\output\1_DCR19_12.30_120621_NDD_SWP3000_2020.dss,,
s0008,FINAL,No,N/A,s0008_draftDCP_NDD_SWP4500_2020,Historical through 2015,2004-2013,s0008_draftDCP_NDD_SWP4500_2020,s0008_draftDCP_NDD_SWP4500_2020.zip,,"draft DCP, 2020/historical, SWP tunnel 4500cfs",s0008_draftDCP_NDD_SWP4500_2020\Model_Files\DSS\output\2_DCR19_12.30_120621_NDD_SWP4500_2020.dss,,
s0009,FINAL,No,N/A,s0009_draftDCP_NDD_SWP6000_2020,Historical through 2015,2004-2013,s0009_draftDCP_NDD_SWP6000_2020,s0009_draftDCP_NDD_SWP6000_2020.zip,,"draft DCP, 2020/historical, SWP tunnel 6000cfs",s0009_draftDCP_NDD_SWP6000_2020\Model_Files\DSS\output\3_DCR19_12.30_120621_NDD_SWP6000_2020.dss,,
s0010,FINAL,No,7.4,s0010_draftDCP_NDD_SWP6000_Beth_2020,Historical through 2015,2004-2013,s0010_draftDCP_NDD_SWP6000_Beth_2020,s0010_draftDCP_NDD_SWP6000_Beth_2020.zip,Description ,"draft DCP, 2020/historical, Bethany Alignment, SWP tunnel 6000cfs",s0010_draftDCP_NDD_SWP6000_Beth_2020\Model_Files\DSS\output\4_DCR19_12.30_120621_NDD_SWP6000_Beth_2020.dss,,
s0011,FINAL,Yes,1.2,s0011_adjBL_wTUCP,2023 DWR Historical Adjusted,2004-2013,s0011_adjBL_wTUCP,s0011_adjBL_wTUCP,Description,"DCR2023 adjusted historical, current ops withTUCP actions are enabled",,DWR DCR 2023 Adjusted Historical Current Operations,COEQWAL
s0012,FINAL,No,N/A,s0012_adj_SGMApump,2023 DWR Historical Adjusted,2004-2013,s0012_adj_SGMApump,s0012_adj_SGMApump,,"DCR2023 adjusted historical and current ops, no TUCPs, with estimated SGMA pumping restrictions in SJV",,,COEQWAL
