short_code,drive_folder_id,drive_folder_name,pinned_model_run_zip,pinned_trend_csv,download_status,notes
s0011,1H53N-bvjVcewuANZycz_XhXHBDgLDaAZ,s0011_adjBL_wTUCP,s0011_adjBL_wTUCP_03232026.zip,,ready,3 ZIPs on Drive; dated 03232026 version selected
s0020,1CmC1fbcmgYFT-x0oDXRMOHJSB1wVJntS,s0020_DCRadjBL_2020LU_wTUCP,,,ready,
s0021,1ZpVTHAI8Od94-rlGEuQ-5et7rT9br6Wb,s0021_DCRadjBL_2020LU_woTUCP,,,ready,
s0022,1nLbhc575rT0A9z1hb7awArH3BaRGihZT,s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP,,,ready,
s0023,1e3ib_v2IL2BCEFBno8XVMxhTBzIRpw-C,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP_v2_20260217.zip,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP_DV_v2_20260217.csv,ready,Multiple files on Drive; v2_20260217 selected per DV_Path
s0024,1aYuSB4tcoEXbTlLFFnbpIclSugNUjA9H,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP_v2_20260217.zip,,ready,Multiple ZIPs on Drive; v2_20260217 selected
s0025,1wkpiKMSlwaAEcMqxv3VC4rGFaMHmLdi_,s0025_SJVgwLimit_2020LU_wTUCP_v0.2_20251102,,,ready,
s0026,1WsnHVxPTzP3iSzmLxVJFSYS8LC2U6WY1,s0026_SJVgwLimit_SGMALU_wTUCP,,,ready,
s0027,16RFQ6y-n5nJWwDACWhbbSV2yP5u9dS8i,s0027_CVgwLimit_2020LU_wTUCP_v0.2_20251102,s0027_CVgwLimit_2020LU_wTUCP_v0.2_20251102.zip,,ready,Two Drive folders with this prefix; using corrected folder
s0028,18jbgLLpe5wrTL84cgkkcmPYXZRvm-ZD7,s0028_CVgwLimit_SGMALU_wTUCP,,,ready,
s0030,1YgwEwEk7ZPEvgO5STOPagjRpmHWDug5M,s0030_DCRadjHist_2020LU_NoFlowReqt,,,ready,
s0031,12WxyaU3yZcARXDikARc499brHzrlG3Pv,s0031_DCRadjHist_2020LU_salmonflows,s0031_DCRadjHist_2020LU_salmonflows_20260126v03.zip,,ready,Multiple ZIPs on Drive; 20260126v03 selected per DV_Path
s0032,154UWd1eBP2BHuqlGGAA0jsqkZxY6IF60,s0032_DCRadjHist_CVgwLU_eflows,,,ready,
s0033,1WxtUDlgWoEtLRPWivAjPcLTzctYAyhFj,s0033_DCRadjHist_CVgwLU_salmonflows,s0033_DCRadjHist_CVgwLU_salmonflows_20260126v03.zip,,ready,Multiple ZIPs on Drive; 20260126v03 selected per DV_Path
s0035,1oQPEcZd_V40yNIOQpXRldoeF4o-rhj09,s0035_DCRadjBL_2020LU_PriorityHHS,,,ready,
s0036,1sg4pO3g27TpzpHKI-vjVvWXI6vu9eJHa,s0036_DCRadjBL_2020LU_PriorityFuncCWN,,,ready,
