id,short_code,label,description,network_entity_type_id,model_source_id,source_id,is_active
1,CH,Channel,Channels and waterways,1,1,4,true
2,CT,Cross transfer,Cross transfer,1,1,4,true
3,D,Diversion,Water diversion structure,1,1,4,true
4,DA,Delta accretion,Delta accretion flow (definition needed),1,1,4,true
5,DD,Delta depletion,Delta depletion flow,1,1,4,true
6,IN,Inflow,Inflow to system,1,1,4,true
7,RT,Return flow,Return flow from system,1,1,4,true
8,SP,Spillway,Spillway flow,1,1,4,true
9,SR,Surface runoff,Surface runoff flow,1,1,4,true
10,NULL,No Type,No type specified,1,1,4,true
11,CH,Channel,Channel junctions and stream nodes,2,1,4,true
12,NP,Non-project,Non-project services,2,1,4,true
13,OM,Off-model,Off-model,2,1,4,true
14,PR,Project,Project districts,2,1,4,true
15,PS,Pump station,Pumping facilities,2,1,4,true
16,RFS,Return flow station,Return flow discharge points,2,1,4,true
17,S,Settlement contractor,Water source nodes,2,1,4,true
18,STR,Storage,Reservoirs and other surface water storage,2,1,4,true
19,WTP,Water treatment plant,Water treatment facilities,2,1,4,true
20,WWTP,Wastewater treatment plant,Wastewater treatment facilities,2,1,4,true
21,X,Unknown,Unknown type (external?),2,1,4,true
22,UNIMP,Unimpaired Flow,Unimpaired flow time series data,4,1,6,true
