short_code,name,common_name,description,model_source_id,source_id,is_active
CH,ch,ch,Network arc type: CH,1,geopackage,True
CH-BP,channel - bypass,channel,Channel bypass connection for flood control,1,geopackage,True
CH-CH,channel - channel,channel,Channel to channel connection,1,geopackage,True
CH-CL,channel - canal,channel,Canal or constructed channel connection,1,geopackage,True
CH-Canal,channel - canal,channel,Channel to canal connection,1,geopackage,True
CH-NA,channel,channel,General channel connection,1,geopackage,True
CH-NS,channel - non-simulated,channel,Non-simulated channel connection,1,geopackage,True
CH-ST,channel - stream,channel,Natural stream or river channel connection,1,geopackage,True
CT-NA,control,control,Flow control connection,1,geopackage,True
D,diversion,diversion,Diversion,1,geopackage,True
D-CL,diversion - canal,diversion,Water diversion via canal connection,1,geopackage,True
D-HIS,diversion - historical,diversion,Historical diversion connection,1,geopackage,True
D-NA,diversion,diversion,Water diversion connection,1,geopackage,True
D-NS,diversion - non-simulated,diversion,Non-simulated diversion connection,1,geopackage,True
D-PRP,diversion - pre-project,diversion,Pre-project water diversion connection,1,geopackage,True
D-ST,diversion - stream,diversion,Water diversion via stream connection,1,geopackage,True
IN-IM,inflow - import,inflow,Imported inflow connection,1,geopackage,True
IN-LI,inflow - lateral inflow,inflow,Inflow connection link,1,geopackage,True
RT-CL,return - canal,return flow,Return flow via canal connection,1,geopackage,True
RT-NA,return,return flow,Return flow connection,1,geopackage,True
RT-NS,return - non-simulated,return flow,Non-simulated return flow connection,1,geopackage,True
RT-ST,return - stream,return flow,Return flow via stream connection,1,geopackage,True
SP-BP,spill - bypass,spill,Spillway to bypass connection,1,geopackage,True
SP-NA,spill,spill,Spillway or overflow connection,1,geopackage,True
SP-ST,spill - stream,spill,Spillway to stream connection,1,geopackage,True
SR-NA,source,source,Water source connection,1,geopackage,True
