short_code,name,description,comment,entity_type_id,type_id,subtype_ids,model_list,source_list,has_gis,hydrologic_region_id,riv_sys,strm_code,network_version_id
02_NA, ,Non-District,,2,21,{11},{1},"{4,9}",True,1, , ,12
02_NU, ,"City of Anderson, Cottonwood WD, Small Communities",,2,21,{25},{1},"{4,9}",True,1, , ,12
02_PA, ,Clear Creek CSD,,2,21,{11},{1},"{4,9}",True,1, , ,12
02_PU, ,"Centerville CSD, Clear Creek CSD, Keswick CSA, Shasta CSD",,2,21,{25},{1},"{4,9}",True,1, , ,12
02_SA, ,"Anderson Cottonwood ID, Misc. Settlement Contractors",,2,21,{11},{1},"{4,9}",True,1, , ,12
02_SU, ,City of Redding,,2,21,{25},{1},"{4,9}",True,1, , ,12
03_NA, ,Non-District,,2,21,{11},{1},"{4,9}",True,1, , ,12
03_NU, ,Small Communities,,2,21,{25},{1},"{4,9}",True,1, , ,12
03_PA, ,Bella Vista WD,,2,21,{11},{1},"{4,9}",True,1, , ,12
03_PU1, ,"Jones Valley CSA, Shasta Lake CSD, Mountain Gate CSD",,2,21,{25},{1},"{4,9}",True,1, , ,12
03_PU2, ,Bella Vista WD,,2,21,{25},{1},"{4,9}",True,1, , ,12
03_PU3,"City of Redding ""Buckeye""",,,2,21,{25},{1},{4},True,1, , ,12
03_SA,Non-District Settlement Ag,"Anderson Cottonwood ID, Misc. Settlement Contractors",,2,21,{11},{1},"{4,9}",True,1, , ,12
03_SU,Urban Settlement Contractors,City of Redding,,2,21,{25},{1},"{4,9}",True,1, , ,12
04_NA, ,"Non-District, Misc. Settlement Contractors",,2,21,{11},{1},"{4,9}",True,1, , ,12
04_NU1,Red Bluff,City of Red Bluff (part),,2,21,{25},{1},"{4,9}",True,1, , ,12
04_NU2,"City of Corning, Gerber Water Works, Inc.","City of Corning, Gerber-Las Flores CSD, Small Communities",,2,21,{25},{1},"{4,9}",True,1, , ,12
04_PA1, ,"Corning WD, Proberta WD, Thomes Creek WD",,2,21,{25},{1},"{4,9}",True,1, , ,12
04_PA2, ,Kirkwood WD,,2,21,{25},{1},"{4,9}",True,1, , ,12
05_NA, ,"Los Molinos MWC, Non-District Misc Settlement Contractors",,2,21,{11},{1},"{4,9}",True,1, , ,12
05_NU, ,"City of Red Bluff (part) Los Molinos CSD, Small Communities",,2,21,{25},{1},"{4,9}",True,1, , ,12
06_NA, ,Non-District,,2,21,{11},{1},"{4,9}",True,1, , ,12
06_NU,City of Orland,City of Orland Small Communities,,2,21,{25},{1},"{4,9}",True,1, , ,12
06_PA, ,Orland Unit WUA,,2,21,{11},{1},"{4,9}",True,1, , ,12
07N_NA, ,Non-District,,2,21,{11},{1},"{4,9}",True,1, , ,12
07N_NU,Willows,"CalWater (Willows), Small Communities",,2,21,{25},{1},"{4,9}",True,1, , ,12
07N_PA, ,"Glide WD, Holthouse WD (part), Kanawha WD, Orland-Artois WD",,2,21,{11},{1},"{4,9}",True,1, , ,12
07S_NA,Groundwater,Non-District,,2,21,{11},{1},"{4,9}",True,1, , ,12
07S_NU, ,"Arbuckle PUD, Cachville CSD, Small Communities",,2,21,{25},{1},"{4,9}",True,1, , ,12
07S_PA, ,"4-M WD, Colusa County WD, Cortina WD, Davis WD, Dunnigan WD, Glenn Valley WD, Holthouse WD (part), La Grande WD, Myers-Marsh MWC, Westside WD",,2,21,{11},{1},"{4,9}",True,1, , ,12
08N_NA, ,Non-District,,2,21,{11},{1},"{4,9}",True,1, , ,12
