short_code,network_id,precision_level,geom_wkt,srid,estimated_accuracy_meters,source_id,network_version_id
02_NA,1,precise,POINT (-122.291256360261 40.3443376973288),4326,,4,12
02_NU,2,precise,POINT (-122.296986057724 40.4469693926986),4326,,4,12
02_PA,3,precise,POINT (-122.515680452241 40.4858981027312),4326,,4,12
02_PU,4,precise,POINT (-122.480823901094 40.520688536708),4326,,4,12
02_SA,5,precise,POINT (-122.25217385285 40.4163643820677),4326,,4,12
02_SU,6,precise,POINT (-122.398707356778 40.5674788102694),4326,,4,12
03_NA,7,precise,POINT (-122.096815816979 40.4823096725432),4326,,4,12
03_NU,8,precise,POINT (-122.078175210169 40.5013761753631),4326,,4,12
03_PA,9,precise,POINT (-122.293783454058 40.5836689369473),4326,,4,12
03_PU1,10,precise,POINT (-122.381173089878 40.6753607362613),4326,,4,12
03_PU2,11,precise,POINT (-122.252993988626 40.6366530197037),4326,,4,12
03_PU3,12,precise,POINT (-122.396011463375 40.6403939255806),4326,,4,12
03_SA,13,precise,POINT (-122.318809337937 40.492618862665),4326,,4,12
03_SU,14,precise,POINT (-122.419611349541 40.6048508635461),4326,,4,12
04_NA,15,precise,POINT (-122.156258610367 39.9326389092639),4326,,4,12
04_NU1,16,precise,POINT (-122.25400370033 40.1702130863706),4326,,4,12
04_NU2,17,precise,POINT (-122.184793459263 39.924482875724),4326,,4,12
04_PA1,18,precise,POINT (-122.205802365388 39.9926250728097),4326,,4,12
04_PA2,19,precise,POINT (-122.194667515852 39.8468038480148),4326,,4,12
05_NA,20,precise,POINT (-122.033881701306 39.9969447862991),4326,,4,12
05_NU,21,precise,POINT (-122.090652613933 40.0630958217846),4326,,4,12
06_NA,22,precise,POINT (-122.313438136286 39.8015710885902),4326,,4,12
06_NU,23,precise,POINT (-122.193298797273 39.7497383498727),4326,,4,12
06_PA,24,precise,POINT (-122.216314359848 39.7462493214978),4326,,4,12
07N_NA,25,precise,POINT (-122.157420421254 39.586434953479),4326,,4,12
07N_NU,26,precise,POINT (-122.199077020591 39.5266475278123),4326,,4,12
07N_PA,27,precise,POINT (-122.244693658022 39.5847810626097),4326,,4,12
07S_NA,28,precise,POINT (-122.31644878262 39.2328031386384),4326,,4,12
07S_NU,29,precise,POINT (-122.06032172007 39.0176175004103),4326,,4,12
07S_PA,30,precise,POINT (-122.150069444366 39.0638385579924),4326,,4,12
08N_NA,31,precise,POINT (-122.027096074469 39.5048600904691),4326,,4,12
08N_NU,32,precise,POINT (-122.012125779489 39.7419704621123),4326,,4,12
08N_PA,33,precise,POINT (-122.065608240445 39.3025646362405),4326,,4,12
08N_PR1,34,precise,POINT (-122.162913134565 39.4427884039545),4326,,4,12
08N_PR2,35,precise,POINT (-122.09391450831 39.3087366791475),4326,,4,12
08N_SA1,36,precise,POINT (-122.050300421473 39.3848925527937),4326,,4,12
08N_SA2,37,precise,POINT (-122.145852746222 39.5016615852642),4326,,4,12
08S_NA1,38,precise,POINT (-121.967961727523 39.1622367967973),4326,,4,12
08S_NA2,39,precise,POINT (-121.924141503203 39.0823721378397),4326,,4,12
08S_NU,40,precise,POINT (-122.151089607686 39.1541234977494),4326,,4,12
08S_PA,41,precise,POINT (-121.942835635712 38.918502647983),4326,,4,12
08S_PR,42,precise,POINT (-122.057664225453 39.1638235966625),4326,,4,12
08S_SA1,43,precise,POINT (-122.035921974466 39.2322149005538),4326,,4,12
08S_SA2,44,precise,POINT (-122.177095401341 39.1945115777878),4326,,4,12
08S_SA3,45,precise,POINT (-121.867204380554 38.8987712559938),4326,,4,12
09_NA,46,precise,POINT (-121.925706486227 39.600807662417),4326,,4,12
09_NU,47,precise,POINT (-121.956453829896 39.4203047729443),4326,,4,12
09_PR,48,precise,POINT (-121.940790331426 39.5793146038634),4326,,4,12
09_SA1,49,precise,POINT (-121.911100791183 39.6732264671513),4326,,4,12
09_SA2,50,precise,POINT (-121.942415443211 39.3195149382542),4326,,4,12
10_NA,51,precise,POINT (-121.727022712008 39.6139078043884),4326,,4,12
10_NU1,52,precise,POINT (-121.841610640896 39.754840044558),4326,,4,12
10_NU2,53,precise,POINT (-121.803962004865 39.6449320616554),4326,,4,12
11_NA,54,precise,POINT (-121.714258085543 39.108147055859),4326,,4,12
11_NU1,55,precise,POINT (-121.599503702193 39.5146114579312),4326,,4,12
11_NU2,56,precise,POINT (-121.662782999118 39.2749551627912),4326,,4,12
11_PR,57,precise,POINT (-121.861368053521 39.4374072272256),4326,,4,12
