short_code,network_id,riv_mi,c2vsim_gw,c2vsim_sw,nrest_gage,strm_code,rm_ii,model_source_id,source_id,network_version_id,is_active
02_NA,1,0.0, , , , ,0.0,1,4,12,True
02_NU,2,0.0, , , , ,0.0,1,4,12,True
02_PA,3,0.0, , , , ,0.0,1,4,12,True
02_PU,4,0.0, , , , ,0.0,1,4,12,True
02_SA,5,0.0, , , , ,0.0,1,4,12,True
02_SU,6,0.0, , , , ,0.0,1,4,12,True
03_NA,7,0.0, , , , ,0.0,1,4,12,True
03_NU,8,0.0, , , , ,0.0,1,4,12,True
03_PA,9,0.0, , , , ,0.0,1,4,12,True
03_PU1,10,0.0, , , , ,0.0,1,4,12,True
03_PU2,11,0.0, , , , ,0.0,1,4,12,True
03_PU3,12,0.0, , , , ,0.0,1,4,12,True
03_SA,13,0.0, , , , ,0.0,1,4,12,True
03_SU,14,0.0, , , , ,0.0,1,4,12,True
04_NA,15,0.0, , , , ,0.0,1,4,12,True
04_NU1,16,0.0, , , , ,0.0,1,4,12,True
04_NU2,17,0.0, , , , ,0.0,1,4,12,True
04_PA1,18,0.0, , , , ,0.0,1,4,12,True
04_PA2,19,0.0, , , , ,0.0,1,4,12,True
05_NA,20,0.0, , , , ,0.0,1,4,12,True
05_NU,21,0.0, , , , ,0.0,1,4,12,True
06_NA,22,0.0, , , , ,0.0,1,4,12,True
06_NU,23,0.0, , , , ,0.0,1,4,12,True
06_PA,24,0.0, , , , ,0.0,1,4,12,True
07N_NA,25,0.0, , , , ,0.0,1,4,12,True
07N_NU,26,0.0, , , , ,0.0,1,4,12,True
07N_PA,27,0.0, , , , ,0.0,1,4,12,True
07S_NA,28,0.0, , , , ,0.0,1,4,12,True
07S_NU,29,0.0, , , , ,0.0,1,4,12,True
07S_PA,30,0.0, , , , ,0.0,1,4,12,True
08N_NA,31,0.0, , , , ,0.0,1,4,12,True
08N_NU,32,0.0, , , , ,0.0,1,4,12,True
08N_PA,33,0.0, , , , ,0.0,1,4,12,True
08N_PR1,34,0.0, , , , ,0.0,1,4,12,True
08N_PR2,35,0.0, , , , ,0.0,1,4,12,True
08N_SA1,36,0.0, , , , ,0.0,1,4,12,True
08N_SA2,37,0.0, , , , ,0.0,1,4,12,True
08S_NA1,38,0.0, , , , ,0.0,1,4,12,True
08S_NA2,39,0.0, , , , ,0.0,1,4,12,True
08S_NU,40,0.0, , , , ,0.0,1,4,12,True
08S_PA,41,0.0, , , , ,0.0,1,4,12,True
08S_PR,42,0.0, , , , ,0.0,1,4,12,True
08S_SA1,43,0.0, , , , ,0.0,1,4,12,True
08S_SA2,44,0.0, , , , ,0.0,1,4,12,True
08S_SA3,45,0.0, , , , ,0.0,1,4,12,True
09_NA,46,0.0, , , , ,0.0,1,4,12,True
09_NU,47,0.0, , , , ,0.0,1,4,12,True
09_PR,48,0.0, , , , ,0.0,1,4,12,True
09_SA1,49,0.0, , , , ,0.0,1,4,12,True
09_SA2,50,0.0, , , , ,0.0,1,4,12,True
10_NA,51,0.0, , , , ,0.0,1,4,12,True
10_NU1,52,0.0, , , , ,0.0,1,4,12,True
10_NU2,53,0.0, , , , ,0.0,1,4,12,True
11_NA,54,0.0, , , , ,0.0,1,4,12,True
11_NU1,55,0.0, , , , ,0.0,1,4,12,True
11_NU2,56,0.0, , , , ,0.0,1,4,12,True
11_PR,57,0.0, , , , ,0.0,1,4,12,True
11_SA1,58,0.0, , , , ,0.0,1,4,12,True
11_SA2,59,0.0, , , , ,0.0,1,4,12,True
11_SA3,60,0.0, , , , ,0.0,1,4,12,True
11_SA4,61,0.0, , , , ,0.0,1,4,12,True
12_NA,62,0.0, , , , ,0.0,1,4,12,True
