id,outcome_category_id,short_code,name,description,unit_id,temporal_scale_id,spatial_scale_id,calc_note,metrics_version_id,is_active,created_by
1,1,community_delivery_tier,Community water systems delivery tier,"Tier (1-4) of water supply reliability determined by impact thresholds",1,4,1,"Tier classification based on delivery reliability thresholds",7,true,1
2,1,community_surface_delivery,Community water systems surface water delivery volume,Volumetric surface water deliveries to community (urban/municipal) demand units,2,1,1,"Monthly aggregation of surface water deliveries to municipal contractors",7,true,1
3,1,community_delivery_reliability,Community water systems surface water delivery reliability,"Water delivery shortage (%), expressed relative to exceedance value (95%)",3,4,1,"Probability that community experiences less than X% shortage in 95/100 years",7,true,1
4,2,agricultural_productivity_tier,Agricultural productivity tier,Tier (1-4) of agricultural productivity (revenue) determined by impact thresholds,1,4,2,"Tier classification based on revenue and productivity thresholds",7,true,1
5,2,agricultural_surface_delivery,Agricultural surface water delivery volume,Volumetric surface water deliveries to agricultural demand units,2,1,2,"Monthly aggregation of surface water deliveries to agricultural contractors",7,true,1
6,2,agricultural_gross_revenue,Agricultural Gross Revenues,Gross revenues in agricultural production per demand unit,4,2,2,"Annual economic analysis of crop production value",7,true,1
7,3,river_flow_tier,River environmental flow tier,Tier (1-4) flow condition determined by functional flow thresholds,1,4,3,"Tier classification based on functional flow criteria",7,true,1
8,3,river_flow_unimpaired_pct,River flows (% unimpaired),Percent of unimpaired natural flow,3,1,3,"Monthly flow as percentage of unimpaired baseline",7,true,1
9,3,refuge_water_delivery,Environmental water deliveries to wildlife refuges,Volumetric surface water deliveries to refuge demand units,2,1,4,"Monthly deliveries to Level 2 and Level 4 refuge water supplies",7,true,1
10,4,delta_outflow_volume,Delta outflow volumes,Monthly and annual outflow volumes from the Delta to San Francisco Bay,2,1,5,"Net Delta outflow calculated from Sacramento and San Joaquin inflows minus exports and consumptive use",7,true,1
11,4,delta_outflow_unimpaired_pct,Delta outflow volumes (% of unimpaired),Delta outflow expressed as percentage of unimpaired conditions,3,1,5,"Comparison of modeled outflow to historical unimpaired Delta outflow",7,true,1
12,5,april_x2,April X2,X2 salinity position in April (distance from Golden Gate in km),5,2,6,"Monthly average of daily X2 calculations during April",7,true,1
13,5,september_x2,September X2,X2 salinity position in September (distance from Golden Gate in km),5,2,6,"Monthly average of daily X2 calculations during September",7,true,1
14,6,salinity_constraint_tier,Salinity constraints on in-Delta uses tier,Tier 1-4 corresponding to suitable salinity conditions for in-delta uses,1,4,7,"Tier classification based on salinity thresholds for beneficial uses",7,true,1
15,7,delta_export_volume,Delta export volumes,Water exported from the Delta via state and federal pumping facilities,2,1,8,"Combined exports from Harvey O. Banks and C.W. Jones pumping plants",7,true,1
16,8,reservoir_storage_tier,Reservoir storage tier,Tier (1-4) of overall reservoir storage determined by historical reference thresholds,1,4,9,"Tier classification based on aggregate storage across major reservoirs",7,true,1
17,8,april_reservoir_storage,April reservoir storage volume,Storage volumes of major reservoirs (north and south of Delta) in April,2,2,9,"End-of-month storage aggregated across Shasta, Oroville, Folsom, and other major facilities",7,true,1
18,8,september_reservoir_storage,September reservoir storage volume,Storage volumes of major reservoirs (north and south of Delta) in September,2,2,9,"End-of-month storage aggregated across major facilities at end of irrigation season",7,true,1
19,9,groundwater_storage_tier,Groundwater storage tier,Tier (1-4) of overall groundwater storage determined by historical reference thresholds,1,4,10,"Tier classification based on storage relative to sustainable yield and historical levels",7,true,1
20,9,groundwater_level_change,Groundwater level change,Annual change in groundwater levels relative to baseline,5,2,10,"Water table elevation change measured at representative wells",7,true,1
21,9,groundwater_storage_change,Groundwater storage volume change,Annual change in groundwater storage volumes,2,2,10,"Volumetric storage change estimated from water table and specific yield",7,true,1
22,10,salmon_tier,Salmon tier,Tier (1-4) of population status of winter run chinook salmon,1,4,11,"Tier classification based on spawner abundance and population trends",7,true,1
23,10,salmon_abundance_change,Maximum percent change of 10-year rolling average spawner abundance,Maximum percent change in spawner abundance compared to initial population size,3,4,11,"Analysis of 1000 simulation runs to generate exceedance curves",7,true,1 
