WKT,CalSim_ID,Riv_Mi,Riv_Name,Comment,C2VSIM_GW,C2VSIM_SW,Type,Sub_Type,Nrest_Gage,Strm_Code,RM_II,HR
"POINT (-121.49288272133 38.6080381049684)",EMD001,1.24,Natomas East Main Drainage Canal,Conceptual inflow from RFS22,,,CH,CNL,,EMD,"1",SAC
"POINT (-122.116209879681 40.0828586992139)",SAC232,231.83,Sacramento River,Antelope Creek Confluence,"079","232",CH,STM,,SAC,"232",SAC
"POINT (-122.118061748561 40.0366012459284)",SAC228,228.02,Sacramento River,Elder Creek/Mill Creek Confluences (Elder Creek actually 0.5mi upstream)??,"086","236",CH,STM,,SAC,"228",SAC
"POINT (-122.095303346297 39.9907813585548)",SAC224,224,Sacramento River,Thomes Creek Confluence,"094","247",CH,STM,,SAC,"224",SAC
"POINT (-122.085127320657 39.9215205033056)",SAC218,218.23,Sacramento River,Deer Creek Confluence,"099","255",CH,STM,,SAC,"218",SAC
"POINT (-122.062843296628 39.8748231938971)",SAC214,214,Sacramento River,C2VSIM Node,"105","260",CH,STM,,SAC,"214",SAC
"POINT (-122.052568143912 39.8023852509814)",SAC207,206.55,Sacramento River,Glenn-Colusa Canal Diversion,"113","261",CH,STM,,SAC,"207",SAC
"POINT (-121.942632603754 39.6965644292454)",SAC196,195.71,Sacramento River,Big Chico Creek Confluence,"129","262",CH,STM,,SAC,"196",SAC
"POINT (-121.974536866373 39.6757787324338)",SAC193,192.56,Sacramento River,Stoney Creek Confluence,"140","274",CH,STM,,SAC,"193",SAC
"POINT (-121.992080992998 39.628938661153)",SAC185,185.36,Sacramento River,Closure Term (Ord Ferry) C2VSIM Node (Ord Ferry actually 0.5mi upstream) near USGS Gage - 11388700,,,CH,SG,11388700 / DWR A0-2570 (ORD),SAC,"185",SAC
"POINT (-121.999124612268 39.5965591120091)",SAC182,182,Sacramento River,C2VSIM Node,"155","276",CH,STM,,SAC,"182",SAC
"POINT (-122.002016930546 39.5539353086115)",SAC178,178,Sacramento River,C2VSIM Node. Sidds Landing Pump Station.,"171","277",CH,STM,,SAC,"178",SAC
"POINT (-121.994052925022 39.5083918257702)",SAC174,174,Sacramento River,C2VSIM Node,"186","278",CH,STM,,SAC,"174",SAC
"POINT (-121.996831601391 39.4404414193437)",SAC168,168,Sacramento River,C2VSIM Node (Should probably be located at real RM159.5 [Maxwell Pump Station])??,"202","279",CH,STM,,SAC,"168",SAC
"POINT (-122.01105479363 39.3698619797046)",SAC162,162,Sacramento River,C2VSIM Node,"221","280",CH,STM,,SAC,"162",SAC
"POINT (-122.030081136515 39.3399545533528)",SAC159,159.34,Sacramento River,Maxwell Pump Station - Diversion to 8NS. SACTO R AT MOULTON WEIR (CREST 76.8')',,,CH,SG,11389350 / DWR A0-2986 (MLW),SAC,"159",SAC
"POINT (-122.014603801811 39.2886594913749)",SAC154,154,Sacramento River,C2VSIM Node,"240","281",CH,STM,,SAC,"154",SAC
"POINT (-121.937387278281 39.1938708156423)",SAC141,140.63,Sacramento River,Butte Creek Confluence,"262","294",CH,STM,,SAC,"141",SAC
"POINT (-121.935511657673 39.1308394291463)",SAC134,134,Sacramento River,C2VSIM Node,"269","295",CH,STM,,SAC,"134",SAC
"POINT (-121.891681384946 39.0829003056676)",SAC129,129,Sacramento River,C2VSIM Node,"277","296",CH,STM,,SAC,"129",SAC
"POINT (-121.998302746115 39.2321213616247)",SAC148,148,Sacramento River,Colusa Weir. Colusa Weir Spill to Butte Basin near Colusa.,"254","282",CH,SG,11389470 / DWR A0-2981,SAC,"148",SAC
"POINT (-121.822414974841 39.0239923617066)",SAC122,121.76,Sacramento River,Tisdale Weir,"291","297",CH,STM,,SAC,"122",SAC
"POINT (-121.826503802137 39.0124579834957)",SAC121,120.87,Sacramento River,Diversion to RD108 at Wilkins Slough,,,CH,STM,"11390500",SAC,"121",SAC
"POINT (-121.832183561285 38.9602016175127)",SAC115,114.72,Sacramento River,C2VSIM Node (Pelger Pump Station),"303","298",CH,STM,,SAC,"115",SAC
"POINT (-121.805527183036 38.8935718072021)",SAC106,106,Sacramento River,C2VSIM Node,"315","299",CH,STM,,SAC,"106",SAC
"POINT (-121.727927118583 38.8529855577311)",SAC097,97,Sacramento River,C2VSIM Node (State Ranch Bend  Pump Station??),"327","300",CH,STM,,SAC,"97",SAC
"POINT (-121.715008369431 38.8023698689312)",SAC092,92.45,Sacramento River,Gage on Sacramento River at Knights Landing.,"339","301",CH,SG,11391000 / DWR (KNL),SAC,"92",SAC
