network_arc_id,short_code,name,description,subtype,entity_type_id,schematic_type_id,hydrologic_region_id,boundary_condition,from_node,to_node,length_m,has_tiers,is_main,has_gis_data,entity_version_id,source_ids,watershed_short_code,unimp_sv_variable,has_mif,has_eflows,channel_class
C_ABN000,East Side Canal/Natomas Cross Canal,,Canal,2,1,1,,ABN000,CRC002,7420.28975526427,,,1,1,1,"{1,3,4}",,,false,false,
C_ABN010,Auburn Ravine,,Stream,2,1,1,,ABN010,ABN006,6270.99051383392,,,1,1,1,"{1,3,4}",,,false,false,
C_ABN024,Auburn Ravine,,Stream,2,1,1,,ABN024,ABN014,15301.284302082,,,1,1,1,"{1,3,4}",,,false,false,
C_ABN027,Auburn Ravine,,Stream,2,1,1,,ABN027,ABN026,1685.94113250432,,,1,1,1,"{1,3,4}",,,false,false,
C_ALD001,Alder Creek,,Stream,2,1,1,,ALD001,SFA063,1435.22870456851,,,1,1,1,"{1,3,4}",,,false,false,
C_ALD004,Alder Creek,,Stream,2,1,1,,ALD004,ALD002,4469.78550440921,,,1,1,1,"{1,3,4}",,,false,false,
C_ALOHA,Pyramid Creek,,Stream,2,1,1,,ALOHA,PYR001,6035.73985119051,,,1,1,1,"{1,3,4}",,,false,false,
C_AMR004,American River below H Street,,Stream,2,1,1,SAC,AMR004,SAC063,6437.37601583722,,,1,1,1,"{1,3,4}",UPPER_AMERICAN,UNIMP_FOLS,true,true,stream
C_AMR007,American River,,Stream,2,1,1,,AMR007,AMR006,1222.80349061754,,,1,1,1,"{1,3,4}",,,false,false,
C_AMR015,American River,,Stream,2,1,1,,AMR015,AMR009,9656.1122833388,,,1,1,1,"{1,3,4}",,,false,false,
C_AMR020,American River,,Stream,2,1,1,,AMR020,AMR017,5511.65792080827,,,1,1,1,"{1,3,4}",,,false,false,
C_ANC000,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ANG010,Angels Creek,,Stream,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ANG014,Angels Creek,,Stream,2,1,2,,ANG014,STS072,23008.2953298029,,,1,1,1,"{1,3,4}",,,false,false,
C_ANG017,Angels  Creek,,Stream,2,1,2,,ANG017,ANG015,4568.73066044978,,,1,1,1,"{1,3,4}",,,false,false,
C_ANT011,Antelope Creek,,Stream,2,1,1,,ANT011,ANT010,2259.63860313049,,,1,1,1,"{1,3,4}",,,false,false,
C_ASL013,Ash Slough,,Stream,2,1,2,,ASL013,EBP022,20663.2532240635,,,1,1,1,"{1,3,4}",,,false,false,
C_BCC004,Big Chico Creek,,Stream,2,1,1,,BCC004,SAC196,6437.37603144149,,,1,1,1,"{1,3,4}",,,false,false,
C_BCC012,Big Chico Creek,,Stream,2,1,1,,BCC012,BCC006,9656.0640280873,,,1,1,1,"{1,3,4}",,,false,false,
C_BCK006,Bear Creek,,Stream,2,1,2,,BCK006,EBP048,9656.08334951595,,,1,1,1,"{1,3,4}",,,false,false,
C_BCK017,Bear Creek,,Stream,2,1,2,,BCK017,BCK010,11265.4304687753,,,1,1,1,"{1,3,4}",,,false,false,
C_BCK031,Bear Creek,,Stream,2,1,2,,BCK031,BCK024,11265.4304733647,,,1,1,1,"{1,3,4}",,,false,false,
C_BCK035,Bear Creek,,Stream,2,1,2,,BCK035,BCK033,2592.41776276704,,,1,1,1,"{1,3,4}",,,false,false,
C_BCM003,Bear Creek (Mokelumne),,Stream,2,1,2,,BCM003,MFM008,4305.86073459881,,,1,1,1,"{1,3,4}",,,false,false,
C_BCN010,Bear Creek (North),,Stream,2,1,1,,BCN010,BCN005,8046.70391393193,,,1,1,1,"{1,3,4}",,,false,false,
C_BEC000,Bear River Canal,,Canal,2,1,1,,BEC000,BEC021,34240.4166642802,,,1,1,1,"{1,3,4}",,,false,false,
C_BEC022,Halsey PH Penstock,,Canal,2,1,1,,BEC022,BEC024,2064.26734890472,,,1,1,1,"{1,3,4}",,,false,false,
C_BGC002,Big Grizzly Creek,,Stream,2,1,1,,BGC002,MFF088,2522.20247517771,,,1,1,1,"{1,3,4}",,,false,false,
C_BLKBT,Stony Creek,,Stream,2,1,1,,BLKBT,STN026,596.803692112069,,,1,1,1,"{1,3,4}",,,false,false,
C_BLUMD,,,Stream,2,1,2,,BLUMD,SLTSP,6694.50688200438,,,1,1,1,"{1,3,4}",,,false,false,
C_BOWMN_PWR,Canyon Creek Power,,Stream,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_BRC002,Bear Creek,,Stream,2,1,1,,BRC002,CCH058,2613.51391164739,,,1,1,1,"{1,3,4}",,,false,false,
C_BRR004,Bear River,,Stream,2,1,1,,BRR004,FTR012,6439.2582590619,,,1,1,1,"{1,3,4}",,,false,false,
C_BRR017,Bear River,,Stream,2,1,1,,BRR017,BRR011,8660.30974841533,,,1,1,1,"{1,3,4}",,,false,false,
C_BRR028,Bear River,,Stream,2,1,1,,BRR028,BRR023,7698.39776671299,,,1,1,1,"{1,3,4}",,,false,false,
C_BRR049,Bear River,,Stream,2,1,1,,BRR049,CMBIE,20288.111475987,,,1,1,1,"{1,3,4}",,,false,false,
C_BRR050_PGE,Bear River PGE,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_BRR060,Bear River,,Stream,2,1,1,,BRR060,RLLNS,16747.8591780965,,,1,1,1,"{1,3,4}",,,false,false,
C_BRR066,Bear River,,Stream,2,1,1,,BRR066,BRR061,8054.78382034604,,,1,1,1,"{1,3,4}",,,false,false,
C_BRR072,Bear River,,Stream,2,1,1,,BRR072,BRR067,8437.15964876272,,,1,1,1,"{1,3,4}",,,false,false,
C_BRR074,Bear River,,Stream,2,1,1,,BRR074,BRR073,1564.29360574516,,,1,1,1,"{1,3,4}",,,false,false,
C_BRT003,Bear River Tunnel,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_BRV002,Bear River (Mokelumne),,Stream,2,1,2,,BRV002,NFM024,2427.22033761959,,,1,1,1,"{1,3,4}",,,false,false,
C_BRV005,Bear River (Mokelumne),,Stream,2,1,2,,BRV005,BRV003,6162.24558248032,,,1,1,1,"{1,3,4}",,,false,false,
C_BSC000,Bowman-Spaulding Conduit,,Canal,2,1,1,,BSC000,BSC005,7616.93894606172,,,1,1,1,"{1,3,4}",,,false,false,
C_BSC009,Bowman-Spaulding Conduit,,Canal,2,1,1,,BSC009,BSC010,219.557003071551,,,1,1,1,"{1,3,4}",,,false,false,
C_BSC011,Bowman-Spaulding Conduit,,Canal,2,1,1,,BSC011,SPLDG,673.504205786377,,,1,1,1,"{1,3,4}",,,false,false,
C_BSH003,Brush Creek,,Stream,2,1,1,,BSH003,BSH002,107.430613784173,,,1,1,1,"{1,3,4}",,,false,false,
C_BSL001B,Butte Slough,,Stream,2,1,1,,BSL001,BSL004,4942.52875777672,,,1,1,1,"{1,3,4}",,,false,false,
C_BTC003,Butte Creek,,Stream,2,1,1,,BTC003,BSL001,5452.40455501291,,,1,1,1,"{1,3,4}",,,false,false,
C_BTC012,Butte Creek,,Stream,2,1,1,,BTC012,BTC007,8125.69499578106,,,1,1,1,"{1,3,4}",,,false,false,
C_BTC016,Butte Creek,,Stream,2,1,1,,BTC016,BTC015,1820.68586298208,,,1,1,1,"{1,3,4}",,,false,false,
C_BTC018,Butte Creek,,Stream,2,1,1,,BTC018,BTC017,2049.3266582552,,,1,1,1,"{1,3,4}",,,false,false,
C_BTC029,Butte Creek,,Stream,2,1,1,,BTC029,BTC024,8046.81793909944,,,1,1,1,"{1,3,4}",,,false,false,
C_BTC036,Butte Creek,,Stream,2,1,1,,BTC036,BTC032,7286.49313840663,,,1,1,1,"{1,3,4}",,,false,false,
C_BTC043,Butte Creek,,Stream,2,1,1,,BTC043,BTC041,3083.98477401356,,,1,1,1,"{1,3,4}",,,false,false,
C_BTC048,Butte Creek,,Stream,2,1,1,,BTC048,BTC045,4898.24213025656,,,1,1,1,"{1,3,4}",,,false,false,
C_BTL006,Battle Creek,,Stream,2,1,1,,BTL006,SAC269,9267.31746488793,,,1,1,1,"{1,3,4}",,,false,false,
C_BTT007,Butt Creek,,Stream,2,1,1,,BTT007,BTVLY,7868.52750405435,,,1,1,1,"{1,3,4}",,,false,false,
C_BUCKS,Bucks Creek,,Stream,2,1,1,,BUCKS,LBUCK,2096.79250156334,,,1,1,1,"{1,3,4}",,,false,false,
C_BUR005,Burns Creek,,Stream,2,1,2,,BUR005,BCK033,7378.28926928464,,,1,1,1,"{1,3,4}",,,false,false,
C_BVT000,Butt Valley Tunnel,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_BVT003,Butt Valley Tunnel,,Stream,2,1,1,,BVT003,BTT007,344.370332791627,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA002,California Aqueduct,,Canal,2,1,2,,CAA002,CAA003,2031.06995355134,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA003_DELTA,"California Aqueduct, Delta",,Canal,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CAA003_SWP,"California Aqueduct, Banks export for SWP",,Canal,8,1,2,DELTA,,,,,,,,1,"{1,3,4}",,,false,false,
C_CAA003_CVP,"California Aqueduct, Banks export for CVP",,Canal,8,1,2,DELTA,,,,,,,,1,"{1,3,4}",,,false,false,
C_CAA005,California Aqueduct,,Canal,2,1,2,,CAA005,CAA006,2232.08611450962,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA009,California Aqueduct,,Canal,2,1,2,,CAA009,CAA012,4910.81421044717,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA024,California Aqueduct,,Canal,2,1,2,,CAA024,CAA046,35470.6385194384,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA051,California Aqueduct,,Canal,2,1,2,,CAA051,CAA066,23528.7699784932,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA067,California Aqueduct,,Canal,2,1,2,,CAA067,CAA069,3546.23386943811,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA069_CVP,California Aqueduct 69 CVP,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CAA069_SWP,California Aqueduct 69 SWP,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CAA071,California Aqueduct,,Canal,2,1,2,,CAA071,CAA087,25525.3816623905,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA087_CVP,California Aqueduct 87 CVP,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CAA087_SWP,California Aqueduct 87 SWP,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_CAA095,California Aqueduct,,Canal,2,1,2,,CAA095,CAA109,21653.9325325102,,,1,1,1,"{1,3,4}",,,false,false,
C_CAA143,California Aqueduct,,Canal,2,1,2,,CAA143,CAA155,20135.1479540139,,,1,1,1,"{1,3,4}",,,false,false,
