id,calsim_id,name,description,channel_entity_id,variable_purpose,flow_type,unit_id,temporal_scale_id,variable_version_id,is_regulatory,regulatory_authority,outcome_category_short_code,variable_id,created_by,updated_by
3,C_ABN000,East Side Canal/Natomas Cross Canal,,3,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
4,C_ABN006,Auburn Ravine,,4,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
5,C_ABN010,Auburn Ravine,,5,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
6,C_ABN014,Auburn Ravine,,6,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
7,C_ABN024,Auburn Ravine,,7,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
8,C_ABN026,Auburn Ravine,,8,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
9,C_ABN027,Auburn Ravine,,9,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
10,C_ABT002,Auburn Tunnel,,10,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
11,C_ACP001,Alder Creek Pipeline,,11,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
12,C_ALD001,Alder Creek,,12,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
13,C_ALD002,Alder Creek,,13,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
14,C_ALD004,Alder Creek,,14,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
15,C_ALDER,,,15,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
16,C_ALMNR,North Fork Feather River,,16,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
17,C_ALOHA,Pyramid Creek,,17,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
18,C_ALPNE,,,18,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
19,C_AMADR,Jackson Creek,,19,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
20,C_AMR004,American River,,20,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
21,C_AMR006,American River,,21,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
22,C_AMR007,American River,,22,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
23,C_AMR009,American River,,23,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
24,C_AMR015,American River,,24,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
25,C_AMR017,American River,,25,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
26,C_AMR020,American River,,26,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
27,C_AMR022,American River,,27,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
28,C_ANC000,,,28,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
29,C_ANG010,Angels Creek,,29,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
30,C_ANG014,Angels Creek,,30,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
31,C_ANG015,Angels Creek,,31,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
32,C_ANG017,Angels  Creek,,32,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
33,C_ANT010,Antelope Creek,,33,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
34,C_ANT011,Antelope Creek,,34,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
35,C_ANTLP,Indian Creek,,35,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
36,C_ASL013,Ash Slough,,36,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
37,C_BANOS,Los Banos Creek,,37,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
38,C_BCC004,Big Chico Creek,,38,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
39,C_BCC006,Big Chico Creek,,39,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
40,C_BCC012,Big Chico Creek,,40,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
41,C_BCC014,Big Chico Creek,,41,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
42,C_BCK006,Bear Creek,,42,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
43,C_BCK010,Bear Creek,,43,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
44,C_BCK017,Bear Creek,,44,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
45,C_BCK024,Bear Creek,,45,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
46,C_BCK031,Bear Creek,,46,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
47,C_BCK033,Bear Creek,,47,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
48,C_BCK035,Bear Creek,,48,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
49,C_BCK040,Bear Creek,,49,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
50,C_BCM003,Bear Creek (Mokelumne),,50,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
51,C_BCN005,Bear Creek (North),,51,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
52,C_BCN010,Bear Creek (North),,52,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
53,C_BCT000,Brush Creek Tunnel,,53,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
54,C_BEARD,Middle Fork Stanislaus River,,54,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
55,C_BEC000,Bear River Canal,,55,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
56,C_BEC021,Bear River Canal,,56,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
57,C_BEC022,Halsey PH Penstock,,57,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
58,C_BEC024,Wise Canal,,58,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
59,C_BGC002,Big Grizzly Creek,,59,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
60,C_BGD000,Biggs+AC0-West Gridley Drain,,60,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
61,C_BLKBT,Stony Creek,,61,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
62,C_BLT000,Buck Island +AC0- Loon Lake Tunnel,,62,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
63,C_BLUMD,,,63,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
64,C_BOWMN,Canyon Creek (South),,64,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
65,C_BOWMN_PWR,,,65,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
66,C_BRC002,Bear Creek,,66,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
67,C_BRC003,Bear Creek,,67,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
68,C_BRR004,Bear River,,68,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
69,C_BRR011,Bear River,,69,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
70,C_BRR017,Bear River,,70,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
71,C_BRR023,Bear River,,71,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
72,C_BRR028,Bear River,,72,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
73,C_BRR031,Bear River,,73,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
74,C_BRR049,Bear River,,74,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
75,C_BRR050,Bear River,,75,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
76,C_BRR050_PGE,,,76,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
77,C_BRR060,Bear River,,77,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
78,C_BRR061,Bear River,,78,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
79,C_BRR066,Bear River,,79,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
80,C_BRR067,Bear River,,80,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
81,C_BRR072,Bear River,,81,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
82,C_BRR073,Bear River,,82,scenario_flow,main_channel,2,3,1,false,,reservoir_operations,,1,1
