element_id,conflict_type,resolution_method,geopackage_connection,xml_connections,resolution_summary
C_AMR006,"[""arc_as_source"", ""arc_as_destination"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""AMR006"", ""to_node"": ""AMR004"", ""arc_id"": ""C_AMR006""}","[{""from_xml_node_id"": 4587, ""to_xml_node_id"": 1295, ""from_text"": ""C_AMR006"", ""to_text"": ""AMR004""}, {""from_xml_node_id"": 4750, ""to_xml_node_id"": 4587, ""from_text"": ""AMR006"", ""to_text"": ""C_AMR006""}, {""from_xml_node_id"": 1295, ""to_xml_node_id"": 1661, ""from_text"": ""AMR004"", ""to_text"": ""C_AMR004""}, {""from_xml_node_id"": 1835, ""to_xml_node_id"": 1295, ""from_text"": ""SR_26N_AMR004"", ""to_text"": ""AMR004""}, {""from_xml_node_id"": 1843, ""to_xml_node_id"": 1295, ""from_text"": ""SG379_AMR004_66"", ""to_text"": ""AMR004""}, {""from_xml_node_id"": 1865, ""to_xml_node_id"": 4750, ""from_text"": ""C_AMR007"", ""to_text"": ""AMR006""}, {""from_xml_node_id"": 4750, ""to_xml_node_id"": 4587, ""from_text"": ""AMR006"", ""to_text"": ""C_AMR006""}, {""from_xml_node_id"": 4587, ""to_xml_node_id"": 1295, ""from_text"": ""C_AMR006"", ""to_text"": ""AMR004""}, {""from_xml_node_id"": 4999, ""to_xml_node_id"": 1295, ""from_text"": ""SG380_AMR004_66"", ""to_text"": ""AMR004""}]","Physical: AMR006->AMR004, Operational: 9 additional"
C_CCH075,"[""arc_as_source"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""CCH075"", ""to_node"": ""CCH058"", ""arc_id"": ""C_CCH075""}","[{""from_xml_node_id"": 1630, ""to_xml_node_id"": 1202, ""from_text"": ""C_CCH075"", ""to_text"": ""CCH075""}, {""from_xml_node_id"": 1630, ""to_xml_node_id"": 1207, ""from_text"": ""C_CCH075"", ""to_text"": ""CCH058""}, {""from_xml_node_id"": 1697, ""to_xml_node_id"": 1207, ""from_text"": ""C_CCH058"", ""to_text"": ""CCH058""}, {""from_xml_node_id"": 1698, ""to_xml_node_id"": 1202, ""from_text"": ""C_CCH083"", ""to_text"": ""CCH075""}, {""from_xml_node_id"": 1630, ""to_xml_node_id"": 1202, ""from_text"": ""C_CCH075"", ""to_text"": ""CCH075""}, {""from_xml_node_id"": 1630, ""to_xml_node_id"": 1207, ""from_text"": ""C_CCH075"", ""to_text"": ""CCH058""}, {""from_xml_node_id"": 1691, ""to_xml_node_id"": 1202, ""from_text"": ""C_NFC005"", ""to_text"": ""CCH075""}, {""from_xml_node_id"": 1693, ""to_xml_node_id"": 1207, ""from_text"": ""C_BRC002"", ""to_text"": ""CCH058""}]","Physical: CCH075->CCH058, Operational: 8 additional"
C_ELD012,"[""arc_as_source"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""ELD012"", ""to_node"": ""ELD005"", ""arc_id"": ""C_ELD012""}","[{""from_xml_node_id"": 546, ""to_xml_node_id"": 97, ""from_text"": ""C_ELD012"", ""to_text"": ""ELD005""}, {""from_xml_node_id"": 546, ""to_xml_node_id"": 85, ""from_text"": ""C_ELD012"", ""to_text"": ""ELD012""}, {""from_xml_node_id"": 544, ""to_xml_node_id"": 85, ""from_text"": ""C_ELD017"", ""to_text"": ""ELD012""}, {""from_xml_node_id"": 546, ""to_xml_node_id"": 97, ""from_text"": ""C_ELD012"", ""to_text"": ""ELD005""}, {""from_xml_node_id"": 547, ""to_xml_node_id"": 97, ""from_text"": ""C_ELD005"", ""to_text"": ""ELD005""}, {""from_xml_node_id"": 85, ""to_xml_node_id"": 530, ""from_text"": ""ELD012"", ""to_text"": ""D_ELD012_04_NA""}, {""from_xml_node_id"": 519, ""to_xml_node_id"": 97, ""from_text"": ""SG241_ELD005_42"", ""to_text"": ""ELD005""}, {""from_xml_node_id"": 546, ""to_xml_node_id"": 85, ""from_text"": ""C_ELD012"", ""to_text"": ""ELD012""}, {""from_xml_node_id"": 630, ""to_xml_node_id"": 85, ""from_text"": ""SG240_ELD012_42"", ""to_text"": ""ELD012""}, {""from_xml_node_id"": 4948, ""to_xml_node_id"": 97, ""from_text"": ""SG242_ELD005_42"", ""to_text"": ""ELD005""}]","Physical: ELD012->ELD005, Operational: 10 additional"
C_BRR023,"[""arc_as_source"", ""arc_as_destination"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""BRR023"", ""to_node"": ""CMPFW"", ""arc_id"": ""C_BRR023""}","[{""from_xml_node_id"": 1567, ""to_xml_node_id"": 1106, ""from_text"": ""C_BRR023"", ""to_text"": ""CMPFW""}, {""from_xml_node_id"": 1108, ""to_xml_node_id"": 1567, ""from_text"": ""BRR023"", ""to_text"": ""C_BRR023""}, {""from_xml_node_id"": 1106, ""to_xml_node_id"": 1548, ""from_text"": ""CMPFW"", ""to_text"": ""C_CMPFW""}, {""from_xml_node_id"": 1567, ""to_xml_node_id"": 1106, ""from_text"": ""C_BRR023"", ""to_text"": ""CMPFW""}, {""from_xml_node_id"": 1572, ""to_xml_node_id"": 1108, ""from_text"": ""C_BRR028"", ""to_text"": ""BRR023""}, {""from_xml_node_id"": 1595, ""to_xml_node_id"": 1106, ""from_text"": ""I_CMPFW"", ""to_text"": ""CMPFW""}, {""from_xml_node_id"": 1108, ""to_xml_node_id"": 1567, ""from_text"": ""BRR023"", ""to_text"": ""C_BRR023""}, {""from_xml_node_id"": 3952, ""to_xml_node_id"": 1106, ""from_text"": ""CT_WHEATLAND"", ""to_text"": ""CMPFW""}, {""from_xml_node_id"": 4753, ""to_xml_node_id"": 1108, ""from_text"": ""I_BRR023"", ""to_text"": ""BRR023""}, {""from_xml_node_id"": 1106, ""to_xml_node_id"": 3383, ""from_text"": ""CMPFW"", ""to_text"": ""E_CMPFW""}, {""from_xml_node_id"": 5023, ""to_xml_node_id"": 1106, ""from_text"": ""SG357_CMPFW_62"", ""to_text"": ""CMPFW""}]","Physical: BRR023->CMPFW, Operational: 11 additional"
C_SAC003,"[""arc_as_source"", ""arc_as_destination"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""SAC003"", ""to_node"": ""SAC000"", ""arc_id"": ""C_SAC003""}","[{""from_xml_node_id"": 1781, ""to_xml_node_id"": 1244, ""from_text"": ""C_SAC003"", ""to_text"": ""SAC000""}, {""from_xml_node_id"": 1257, ""to_xml_node_id"": 1781, ""from_text"": ""SAC003"", ""to_text"": ""C_SAC003""}, {""from_xml_node_id"": 1807, ""to_xml_node_id"": 1257, ""from_text"": ""SG416_SAC003_71"", ""to_text"": ""SAC003""}, {""from_xml_node_id"": 1825, ""to_xml_node_id"": 1244, ""from_text"": ""C_SJR006"", ""to_text"": ""SAC000""}, {""from_xml_node_id"": 1792, ""to_xml_node_id"": 1244, ""from_text"": ""SG417_SAC000_71"", ""to_text"": ""SAC000""}, {""from_xml_node_id"": 1257, ""to_xml_node_id"": 1781, ""from_text"": ""SAC003"", ""to_text"": ""C_SAC003""}, {""from_xml_node_id"": 1781, ""to_xml_node_id"": 1244, ""from_text"": ""C_SAC003"", ""to_text"": ""SAC000""}, {""from_xml_node_id"": 1244, ""to_xml_node_id"": 3781, ""from_text"": ""SAC000"", ""to_text"": ""DD_SAC000_SACW""}, {""from_xml_node_id"": 1758, ""to_xml_node_id"": 1257, ""from_text"": ""C_SAC007"", ""to_text"": ""SAC003""}, {""from_xml_node_id"": 1244, ""to_xml_node_id"": 4685, ""from_text"": ""SAC000"", ""to_text"": ""C_SAC000""}, {""from_xml_node_id"": 4758, ""to_xml_node_id"": 1244, ""from_text"": ""DA_SACW_SAC000_DV"", ""to_text"": ""SAC000""}, {""from_xml_node_id"": 4990, ""to_xml_node_id"": 1244, ""from_text"": ""SG418_SAC000_72"", ""to_text"": ""SAC000""}]","Physical: SAC003->SAC000, Operational: 12 additional"
C_SAC007,"[""arc_as_source"", ""arc_as_destination"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""SAC007"", ""to_node"": ""SAC003"", ""arc_id"": ""C_SAC007""}","[{""from_xml_node_id"": 1758, ""to_xml_node_id"": 1257, ""from_text"": ""C_SAC007"", ""to_text"": ""SAC003""}, {""from_xml_node_id"": 1236, ""to_xml_node_id"": 1758, ""from_text"": ""SAC007"", ""to_text"": ""C_SAC007""}, {""from_xml_node_id"": 1807, ""to_xml_node_id"": 1257, ""from_text"": ""SG416_SAC003_71"", ""to_text"": ""SAC003""}, {""from_xml_node_id"": 1809, ""to_xml_node_id"": 1236, ""from_text"": ""SG415_SAC007_71"", ""to_text"": ""SAC007""}, {""from_xml_node_id"": 1257, ""to_xml_node_id"": 1781, ""from_text"": ""SAC003"", ""to_text"": ""C_SAC003""}, {""from_xml_node_id"": 1758, ""to_xml_node_id"": 1257, ""from_text"": ""C_SAC007"", ""to_text"": ""SAC003""}, {""from_xml_node_id"": 1236, ""to_xml_node_id"": 1758, ""from_text"": ""SAC007"", ""to_text"": ""C_SAC007""}, {""from_xml_node_id"": 1774, ""to_xml_node_id"": 1236, ""from_text"": ""C_SAC011"", ""to_text"": ""SAC007""}]","Physical: SAC007->SAC003, Operational: 8 additional"
C_SAC017,"[""arc_as_source"", ""arc_as_destination"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""SAC017"", ""to_node"": ""SAC011"", ""arc_id"": ""C_SAC017""}","[{""from_xml_node_id"": 1754, ""to_xml_node_id"": 1255, ""from_text"": ""C_SAC017"", ""to_text"": ""SAC011""}, {""from_xml_node_id"": 1235, ""to_xml_node_id"": 1754, ""from_text"": ""SAC017"", ""to_text"": ""C_SAC017""}, {""from_xml_node_id"": 1754, ""to_xml_node_id"": 1255, ""from_text"": ""C_SAC017"", ""to_text"": ""SAC011""}, {""from_xml_node_id"": 1755, ""to_xml_node_id"": 1235, ""from_text"": ""C_SAC022"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 1235, ""to_xml_node_id"": 1754, ""from_text"": ""SAC017"", ""to_text"": ""C_SAC017""}, {""from_xml_node_id"": 1790, ""to_xml_node_id"": 1255, ""from_text"": ""SG414_SAC011_71"", ""to_text"": ""SAC011""}, {""from_xml_node_id"": 1682, ""to_xml_node_id"": 1235, ""from_text"": ""C_CSL004A"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 1255, ""to_xml_node_id"": 1774, ""from_text"": ""SAC011"", ""to_text"": ""C_SAC011""}, {""from_xml_node_id"": 1795, ""to_xml_node_id"": 1235, ""from_text"": ""SG389_SAC017_67"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 1235, ""to_xml_node_id"": 1763, ""from_text"": ""SAC017"", ""to_text"": ""DD_SAC017_SACS""}, {""from_xml_node_id"": 4708, ""to_xml_node_id"": 1235, ""from_text"": ""DA_SACS_SAC017_DV"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 4953, ""to_xml_node_id"": 1235, ""from_text"": ""SG413_SAC017_71"", ""to_text"": ""SAC017""}]","Physical: SAC017->SAC011, Operational: 12 additional"
C_SAC022,"[""arc_as_source"", ""arc_as_destination"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""SAC022"", ""to_node"": ""SAC017"", ""arc_id"": ""C_SAC022""}","[{""from_xml_node_id"": 1755, ""to_xml_node_id"": 1235, ""from_text"": ""C_SAC022"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 1240, ""to_xml_node_id"": 1755, ""from_text"": ""SAC022"", ""to_text"": ""C_SAC022""}, {""from_xml_node_id"": 1755, ""to_xml_node_id"": 1235, ""from_text"": ""C_SAC022"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 1235, ""to_xml_node_id"": 1754, ""from_text"": ""SAC017"", ""to_text"": ""C_SAC017""}, {""from_xml_node_id"": 1756, ""to_xml_node_id"": 1240, ""from_text"": ""C_SAC029A"", ""to_text"": ""SAC022""}, {""from_xml_node_id"": 1794, ""to_xml_node_id"": 1240, ""from_text"": ""SG388_SAC022_67"", ""to_text"": ""SAC022""}, {""from_xml_node_id"": 1240, ""to_xml_node_id"": 1755, ""from_text"": ""SAC022"", ""to_text"": ""C_SAC022""}, {""from_xml_node_id"": 1682, ""to_xml_node_id"": 1235, ""from_text"": ""C_CSL004A"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 1795, ""to_xml_node_id"": 1235, ""from_text"": ""SG389_SAC017_67"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 1235, ""to_xml_node_id"": 1763, ""from_text"": ""SAC017"", ""to_text"": ""DD_SAC017_SACS""}, {""from_xml_node_id"": 4708, ""to_xml_node_id"": 1235, ""from_text"": ""DA_SACS_SAC017_DV"", ""to_text"": ""SAC017""}, {""from_xml_node_id"": 4953, ""to_xml_node_id"": 1235, ""from_text"": ""SG413_SAC017_71"", ""to_text"": ""SAC017""}]","Physical: SAC022->SAC017, Operational: 12 additional"
C_SAC029a,"[""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""SAC029a"", ""to_node"": ""SAC022"", ""arc_id"": ""C_SAC029a""}","[{""from_xml_node_id"": 1756, ""to_xml_node_id"": 1240, ""from_text"": ""C_SAC029A"", ""to_text"": ""SAC022""}, {""from_xml_node_id"": 1794, ""to_xml_node_id"": 1240, ""from_text"": ""SG388_SAC022_67"", ""to_text"": ""SAC022""}, {""from_xml_node_id"": 1240, ""to_xml_node_id"": 1755, ""from_text"": ""SAC022"", ""to_text"": ""C_SAC022""}]","Physical: SAC029a->SAC022, Operational: 3 additional"
C_SAC036,"[""arc_as_source"", ""arc_as_destination"", ""node_connectivity_differs""]",layered_connectivity_with_source_hierarchy,"{""from_node"": ""SAC036"", ""to_node"": ""SAC030"", ""arc_id"": ""C_SAC036""}","[{""from_xml_node_id"": 1757, ""to_xml_node_id"": 1237, ""from_text"": ""C_SAC036"", ""to_text"": ""SAC030""}, {""from_xml_node_id"": 1238, ""to_xml_node_id"": 1757, ""from_text"": ""SAC036"", ""to_text"": ""C_SAC036""}, {""from_xml_node_id"": 1806, ""to_xml_node_id"": 1237, ""from_text"": ""SG387_SAC030_67"", ""to_text"": ""SAC030""}, {""from_xml_node_id"": 1237, ""to_xml_node_id"": 1820, ""from_text"": ""SAC030"", ""to_text"": ""C_SAC030""}, {""from_xml_node_id"": 1770, ""to_xml_node_id"": 1238, ""from_text"": ""C_SAC041"", ""to_text"": ""SAC036""}, {""from_xml_node_id"": 1238, ""to_xml_node_id"": 1757, ""from_text"": ""SAC036"", ""to_text"": ""C_SAC036""}, {""from_xml_node_id"": 1757, ""to_xml_node_id"": 1237, ""from_text"": ""C_SAC036"", ""to_text"": ""SAC030""}, {""from_xml_node_id"": 1237, ""to_xml_node_id"": 1765, ""from_text"": ""SAC030"", ""to_text"": ""D_SAC030_MOK014""}, {""from_xml_node_id"": 1793, ""to_xml_node_id"": 1238, ""from_text"": ""SG386_SAC036_67"", ""to_text"": ""SAC036""}]","Physical: SAC036->SAC030, Operational: 9 additional"
