"DU_ID","WBA_ID","hydrologic_region","Dups","Class","CS3_Type","total_acres","polygon_count","source","model_source","agency","provider","gw","sw","point_of_diversion","diversion_arc","river_reach","river_mile_start","river_mile_end","bank","area_acres","annual_diversion_taf","demand_unit","table_id","has_gis_data"
"02_NA","02","SAC","0","Agriculture","","139928.71584427","2","geopackage,calsim_report","calsim3","Non-district","","1","1","Cottonwood Creek, Sacramento River","D_SAC281_02_NA","Keswick to Bend Bridge","299.0","257.0","Right","800.0","1","02_NA","","True"
"02_SA","02","SAC","0","Agriculture","SA","23866.220474652004","3","geopackage,calsim_report","calsim3","Anderson-Cottonwood ID, misc. settlement contractors","CVP","1","1","Sacramento River","","","","","","","","02_SA","","True"
"02_PA","02","SAC","0","Agriculture","PA","17916.4964","1","geopackage,calsim_report","calsim3","Clear Creek CSD","CVP","1","1","Whiskeytown Lake","","","","","","","","02_PA","","True"
"03_NA","03","SAC","0","Agriculture","","137800.8169235308","2","geopackage,calsim_report","calsim3","Non-district","","1","1","Cow Creek, Battle Creek, Sacramento River","D_SAC273_03_NA","Keswick to Bend Bridge","299.0","257.0","Left","2200.0","5","03_NA","","True"
"03_SA","03","SAC","0","Agriculture","SA","3650.704402513","2","geopackage,calsim_report","calsim3","Anderson-Cottonwood ID, misc. settlement contractors","CVP","1","1","Sacramento River","","","","","","","","03_SA","","True"
"03_PA","03","SAC","0","Agriculture","PA","31015.6985801","1","geopackage,calsim_report","calsim3","Bella Vista WD","CVP","1","1","Sacramento River via Wintu Pumping Plant","","","","","","","","03_PA","","True"
"04_NA","04","SAC","0","Agriculture","","443810.1172437589","17","geopackage,calsim_report","calsim3","Non-district including misc. settlement contractors","","1","1","Elder Creek, Thomes Creek, Sacramento River","","","","","","","","04_NA","","True"
"04_PA1","04","SAC","0","Agriculture","PA","17980.087635199998","3","geopackage,calsim_report","calsim3","Corning WD, Proberta WD, Thomes Creek WD","CVP","1","1","Corning Canal","","","","","","","","04_PA1","","True"
"04_PA2","04","SAC","0","Agriculture","PA","1151.79169055","1","geopackage,calsim_report","calsim3","Kirkwood WD","CVP","1","1","Tehama-Colusa Canal","","","","","","","","04_PA2","","True"
"05_NA","05","SAC","0","Agriculture","","167231.2646121648","5","geopackage,calsim_report","calsim3","Los Molinos MWC, non-district including misc.","CVP","1","1","Antelope Creek, Mill Creek, Deer Creek, Sacramento River","","","","","","","","05_NA","","True"
