id,network_arc_id,short_code,name,description,to_node,entity_type_id,schematic_type_id,hydrologic_region_id,has_gis_data,entity_version_id,source_ids,created_by,updated_by
1,I_ALD002,Alder Creek accretion: dam site to Diversion Dam,,ALD002,3,1,1,1,"{1,3,4}",1,
2,I_ALD004,Alder Creek at proposed Alder Reservoir dam site,,ALD004,3,1,1,1,"{1,3,4}",1,
3,I_ALMNR,Lake Almanor local inflow,,ALMNR,3,1,1,1,"{1,3,4}",1,
4,I_ALOHA,Aloha Lake inflow,,ALOHA,3,1,1,1,"{1,3,4}",1,
5,I_AMADR,Amador Reservoir inflow,,AMADR,3,1,2,1,"{1,3,4}",1,
6,I_ANG017,Angels Creek above Diversion Dam,,ANG017,3,1,2,1,"{1,3,4}",1,
7,I_ANT011,Antelope Creek near Red Bluff,,ANT011,3,1,1,1,"{1,3,4}",1,
8,I_ANTLP,Antelope Lake inflow,,ANTLP,3,1,1,1,"{1,3,4}",1,
9,I_BANOS,Los Banos Creek,,BANOS,3,1,2,1,"{1,3,4}",1,
10,I_BCC014,Big Chico Creek near Chico,,BCC014,3,1,1,1,"{1,3,4}",1,
11,I_BCK040,Bear Creek below Bear Reservoir,,BCK040,3,1,2,1,"{1,3,4}",1,
12,I_BCM003,Bcm003,,BCM003,3,1,1,1,"{1,3,4}",1,
13,I_BCN010,Bear Creek (North) near Millville,,BCN010,3,1,1,1,"{1,3,4}",1,
14,I_BEARD,Beardsley Lake local inflow,,BEARD,3,1,2,1,"{1,3,4}",1,
15,I_BLKBT,Black Butte Lake local inflow,,BLKBT,3,1,1,1,"{1,3,4}",1,
16,I_BOWMN,Bowman Lake inflow,,BOWMN,3,1,1,1,"{1,3,4}",1,
17,I_BRC003,Bear Creek above Holsten Chimney,,BRC003,3,1,1,1,"{1,3,4}",1,
18,I_BRR023,Bear River accretion: Combie Dam to Garden Bar,,BRR023,3,1,1,1,"{1,3,4}",1,
19,I_BSH003,Brush Creek Reservoir inflow,,BSH003,3,1,1,1,"{1,3,4}",1,
20,I_BTC048,Butte Creek near Chico,,BTC048,3,1,1,1,"{1,3,4}",1,
21,I_BTL006,Battle Creek near Cottonwood,,BTL006,3,1,1,1,"{1,3,4}",1,
22,I_BTVLY,Butt Valley Reservoir inflow,,BTVLY,3,1,1,1,"{1,3,4}",1,
23,I_BUCKS,Bucks Creek Reservoir inflow,,BUCKS,3,1,1,1,"{1,3,4}",1,
24,I_BUR005,Burns Creek below Burns Reservoir,,BUR005,3,1,2,1,"{1,3,4}",1,
25,I_BVC007,Beaver Creek above Diversion Dam,,BVC007,3,1,2,1,"{1,3,4}",1,
26,I_CAP000,Capita Canyon Group,,CAP000,3,1,2,1,"{1,3,4}",1,
27,I_CAPLS,Caples Lake inflow,,CAPLS,3,1,1,1,"{1,3,4}",1,
28,I_CCH053,Cache Creek accretion: Clear Lake Dam to Rumsey,,CCH053,3,1,1,1,"{1,3,4}",1,
29,I_CFS001,Clark Fork inflow to Middle Stanislaus,,CFS001,3,1,2,1,"{1,3,4}",1,
30,I_CHC000,Corral Hollow and Minor Creeks,,CHC000,3,1,2,1,"{1,3,4}",1,
31,I_CHW031,Chowchilla River below Buchanan Dam local inflow,,CHW031,3,1,2,1,"{1,3,4}",1,
32,I_CHY006,Chy006,,CHY006,3,1,1,1,"{1,3,4}",1,
33,I_CLR011,Clear Creek Local Inflow Downstream of Whiskeytown Lake,,CLR011,3,1,1,1,"{1,3,4}",1,
34,I_CLRLK,Clear Lake inflow,,CLRLK,3,1,1,1,"{1,3,4}",1,
35,I_CLV026,Calaveras River below New Hogan Dam local inflow,,CLV026,3,1,2,1,"{1,3,4}",1,
36,I_CMBIE,Combie Reservoir local inflow,,CMBIE,3,1,1,1,"{1,3,4}",1,
37,I_CMCHE,Camanche Reservoir local inflow,,CMCHE,3,1,2,1,"{1,3,4}",1,
38,I_CMP001,Camp Creek near Somerset local inflow,,CMP001,3,1,2,1,"{1,3,4}",1,
39,I_CMP014,Camp Creek at Diversion Dam,,CMP014,3,1,2,1,"{1,3,4}",1,
40,I_CMPFW,Camp Far West Reservoir local inflow,,CMPFW,3,1,1,1,"{1,3,4}",1,
41,I_COL003,Cole Creek,,COL003,3,1,2,1,"{1,3,4}",1,
42,I_COT033,Cottonwood Creek,,COT033,3,1,2,1,"{1,3,4}",1,
43,I_COW014,Cow Creek,,COW014,3,1,1,1,"{1,3,4}",1,
44,I_CSM035,Cosumnes River at Michigan Bar local inflow,,CSM035,3,1,2,1,"{1,3,4}",1,
45,I_CVY009,Cvy009,,CVY009,3,1,1,1,"{1,3,4}",1,
46,I_CWD018,Cottonwood Creek near Olinda,,CWD018,3,1,1,1,"{1,3,4}",1,
47,I_CYN009,Canyon Creek at Towle Canal Diversion Dam,,CYN009,3,1,1,1,"{1,3,4}",1,
48,I_DAVIS,Davis Lake inflow,,DAVIS,3,1,1,1,"{1,3,4}",1,
49,I_DBC024,Dry Creek and Berenda Creek,,DBC024,3,1,2,1,"{1,3,4}",1,
50,I_DCC010,Duncan Canyon Creek above Diversion Dam,,DCC010,3,1,1,1,"{1,3,4}",1,
51,I_DCM027,"""Dry Creek",,DCM027,3,1,2,1,"{1,3,4}",1,
52,I_DCT050,"""Dry Creek",,DCT050,3,1,2,1,"{1,3,4}",1,
53,I_DED044,Deadman Creek and Dutchman Creek,,DED044,3,1,2,1,"{1,3,4}",1,
54,I_DEE023,Deer Creek,,DEE023,3,1,2,1,"{1,3,4}",1,
55,I_DER001,Deer Creek accretion: Keystone to Smartville gage,,DER001,3,1,1,1,"{1,3,4}",1,
56,I_DER004,Deer Creek accretion: Scott Flat Dam to Keystone,,DER004,3,1,1,1,"{1,3,4}",1,
57,I_DHC021,Dhc021,,DHC021,3,1,1,1,"{1,3,4}",1,
58,I_DONLL,Donnell Lake local inflow,,DONLL,3,1,2,1,"{1,3,4}",1,
59,I_DPC008,Del Puerto Creek,,DPC008,3,1,2,1,"{1,3,4}",1,
60,I_DRC012,Deer Creek near Vina,,DRC012,3,1,1,1,"{1,3,4}",1,
61,I_DSC035,Dry and Sutter Creek,,DSC035,3,1,2,1,"{1,3,4}",1,
62,I_EBF001,East Branch Feather River accretion,,EBF001,3,1,1,1,"{1,3,4}",1,
63,I_EBTML,Ebtml,,EBTML,3,1,1,1,"{1,3,4}",1,
64,I_ECHOL,Echol,,ECHOL,3,1,1,1,"{1,3,4}",1,
65,I_ELD027,Elder Creek Inflow near Paskenta,,ELD027,3,1,1,1,"{1,3,4}",1,
66,I_ELENR,Lake Eleanor inflow,,ELENR,3,1,2,1,"{1,3,4}",1,
67,I_ENGLB,Englebright Reservoir local inflow,,ENGLB,3,1,1,1,"{1,3,4}",1,
68,I_EPARK,East Park Reservoir inflow,,EPARK,3,1,1,1,"{1,3,4}",1,
69,I_ESTMN,Eastman Lake inflow,,ESTMN,3,1,2,1,"{1,3,4}",1,
70,I_FOLSM,Folsom Lake local inflow,,FOLSM,3,1,1,1,"{1,3,4}",1,
71,I_FRDYC,Fordyce Reservoir inflow,,FRDYC,3,1,1,1,"{1,3,4}",1,
72,I_FRMAN,Frenchman Lake inflow,,FRMAN,3,1,1,1,"{1,3,4}",1,
73,I_FRMDW,French Meadows Reservoir inflow,,FRMDW,3,1,1,1,"{1,3,4}",1,
74,I_FRNCH,French Lake inflow,,FRNCH,3,1,1,1,"{1,3,4}",1,
75,I_FRS046,Fresno River below Hidden Dam local inflow,,FRS046,3,1,2,1,"{1,3,4}",1,
76,I_FSL012,Fresno Slough,,FSL012,3,1,2,1,"{1,3,4}",1,
77,I_GERLE,Gerle Reservoir local inflow,,GERLE,3,1,1,1,"{1,3,4}",1,
78,I_GRZ012,Garzas Creek,,GRZ012,3,1,2,1,"{1,3,4}",1,
79,I_GZL009,Grizzly Creek above Diversion Dam,,GZL009,3,1,1,1,"{1,3,4}",1,
80,I_HHOLE,Hell Hole Reservoir local inflow,,HHOLE,3,1,1,1,"{1,3,4}",1,
81,I_HNSLY,Hensley Lake inflow,,HNSLY,3,1,2,1,"{1,3,4}",1,
82,I_HON021,South Fork Honcut Creek,,HON021,3,1,1,1,"{1,3,4}",1,
83,I_HTCHY,Hetch Hetchy Reservoir inflow,,HTCHY,3,1,2,1,"{1,3,4}",1,
84,I_ICEHS,Ice House Reservoir inflow,,ICEHS,3,1,1,1,"{1,3,4}",1,
85,I_INDVL,Indian Valley Reservoir inflow,,INDVL,3,1,1,1,"{1,3,4}",1,
86,I_ING008,Ingram Creek and Hospital Creek,,ING008,3,1,2,1,"{1,3,4}",1,
87,I_JBP006,James Bypass,,JBP006,3,1,2,1,"{1,3,4}",1,
88,I_JKSMD,Jackson Meadows inflow,,JKSMD,3,1,1,1,"{1,3,4}",1,
89,I_JNKSN,Jenkinson Lake inflow,,JNKSN,3,1,2,1,"{1,3,4}",1,
90,I_JWB001,Jwb001,,JWB001,3,1,1,1,"{1,3,4}",1,
91,I_LCBRF,"""Texas",,LCBRF,3,1,1,1,"{1,3,4}",1,
92,I_LCC038,Little Chico Creek near Chico,,LCC038,3,1,1,1,"{1,3,4}",1,
93,I_LDC029,Little Dry Creek,,LDC029,3,1,1,1,"{1,3,4}",1,
94,I_LGRSV,Little Grass Valley Reservoir inflow,,LGRSV,3,1,1,1,"{1,3,4}",1,
95,I_LJC022,Littlejohn and Rock Creek above Farmington,,LJC022,3,1,2,1,"{1,3,4}",1,
96,I_LKVLY,Lake Valley Reservoir inflow,,LKVLY,3,1,1,1,"{1,3,4}",1,
97,I_LLOYD,Lake Lloyd/Cherry Lake inflow,,LLOYD,3,1,2,1,"{1,3,4}",1,
98,I_LNG012,Long Canyon Creek near French Meadows accretion,,LNG012,3,1,1,1,"{1,3,4}",1,
99,I_LOONL,Loon Lake inflow,,LOONL,3,1,1,1,"{1,3,4}",1,
100,I_LOSVQ,Los Vaqueros Reservoir inflow,,LOSVQ,3,1,2,1,"{1,3,4}",1,
101,I_LPC007,Little Panoche Creek,,LPC007,3,1,2,1,"{1,3,4}",1,
102,I_LRB004,Buck Island Lake inflow,,LRB004,3,1,1,1,"{1,3,4}",1,
103,I_LWSTN,Lewiston Lake local inflow,,LWSTN,3,1,1,1,"{1,3,4}",1,
104,I_LYONS,Lyons Reservoir local inflow,,LYONS,3,1,2,1,"{1,3,4}",1,
105,I_MCD055,Merced River below Lake McClure local inflow,,MCD055,3,1,2,1,"{1,3,4}",1,
106,I_MCLRE,Lake McClure inflow,,MCLRE,3,1,2,1,"{1,3,4}",1,
107,I_MERLC,Merle Collins Reservoir inflow,,MERLC,3,1,1,1,"{1,3,4}",1,
108,I_MFA001,Middle Fork American River accretions: Foresthill to Auburn,,MFA001,3,1,1,1,"{1,3,4}",1,
109,I_MFA023,Middle Fork American River near Forest Hill accretion,,MFA023,3,1,1,1,"{1,3,4}",1,
110,I_MFA025,Middle Fork American River accretion: Interbay Dam to Ralston Afterbay,,MFA025,3,1,1,1,"{1,3,4}",1,
111,I_MFA036,Middle Fork American River accretion: French Meadows Dam to Interbay Dam,,MFA036,3,1,1,1,"{1,3,4}",1,
112,I_MFF019,Middle Fork Feather River accretion: Portola to Merrimac,,MFF019,3,1,1,1,"{1,3,4}",1,
113,I_MFF087,Middle Fork Feather River near Portola accretion,,MFF087,3,1,1,1,"{1,3,4}",1,
114,I_MFM008,Middle Fork Mokelumne River near West Point,,MFM008,3,1,2,1,"{1,3,4}",1,
115,I_MFS013,MF Stanislaus at Sand Bar Diversion Dam local inflow,,MFS013,3,1,2,1,"{1,3,4}",1,
116,I_MFS022,MF Stanislaus at Hells Half Acre Bridge local inflow,,MFS022,3,1,2,1,"{1,3,4}",1,
117,I_MFS047,MF Stanislaus at Kennedy local inflow,,MFS047,3,1,2,1,"{1,3,4}",1,
118,I_MFT000,Mft000,,MFT000,3,1,1,1,"{1,3,4}",1,
119,I_MFY013,Middle Fork Yuba River accretion: Milton Dam to Our House Diversion Dam,,MFY013,3,1,1,1,"{1,3,4}",1,
120,I_MIL003,Mill Creek above Hunters Reservoir,,MIL003,3,1,2,1,"{1,3,4}",1,
121,I_MLC006,Mill Creek near Los Molinos,,MLC006,3,1,1,1,"{1,3,4}",1,
122,I_MLRTN,Millerton Lake impaired inflow,,MLRTN,3,1,2,1,"{1,3,4}",1,
124,I_MNS000,Minor northeast streams,,MNS000,3,1,1,1,"{1,3,4}",1,
125,I_MOC003,Moc003,,MOC003,3,1,1,1,"{1,3,4}",1,
126,I_MOK079,Mokelumne River near Mokelumne Hill,,MOK079,3,1,2,1,"{1,3,4}",1,
127,I_MPS038,Mariposa Creek below Mariposa Reservoir,,MPS038,3,1,2,1,"{1,3,4}",1,
128,I_MSH015,Marsh Creek,,MSH015,3,1,2,1,"{1,3,4}",1,
129,I_MTMDW,Mountain Meadows Reservoir inflow,,MTMDW,3,1,1,1,"{1,3,4}",1,
130,I_NBLDB,New Bullards Bar Reservoir local inflow,,NBLDB,3,1,1,1,"{1,3,4}",1,
131,I_NFA016,North Fork American River at Auburn Tunnel Pump Station Diversion,,NFA016,3,1,1,1,"{1,3,4}",1,
132,I_NFA022,North Fork American River accretion: North Fork confluence to North Fork Dam,,NFA022,3,1,1,1,"{1,3,4}",1,
133,I_NFA054,North Fork American River above North Fork confluence,,NFA054,3,1,1,1,"{1,3,4}",1,
134,I_NFF029,North Fork Feather River accretion: Rock Creek Forebay to Poe Forebay,,NFF029,3,1,1,1,"{1,3,4}",1,
135,I_NFF046,Nff046,,NFF046,3,1,1,1,"{1,3,4}",1,
136,I_NFF058,Nff058,,NFF058,3,1,1,1,"{1,3,4}",1,
137,I_NFM010,North Fork Mokelumne below Tiger Creek Reservoir,,NFM010,3,1,2,1,"{1,3,4}",1,
138,I_NFS005,NF Stanislaus below McKays Point Dam local inflow,,NFS005,3,1,2,1,"{1,3,4}",1,
139,I_NFS009,North Fork Stanislaus near Avery local inflow,,NFS009,3,1,2,1,"{1,3,4}",1,
140,I_NFS033,North Fork Stanislaus at Diversion Dam,,NFS033,3,1,2,1,"{1,3,4}",1,
141,I_NFT008,Nft008,,NFT008,3,1,1,1,"{1,3,4}",1,
142,I_NFY029,North Fork Yuba River below Goodyears Bar,,NFY029,3,1,1,1,"{1,3,4}",1,
143,I_NHGAN,New Hogan Reservoir inflow,,NHGAN,3,1,2,1,"{1,3,4}",1,
144,I_NLC003,North Long Canyon Creek above Middle Fork Tunnel Diversion,,NLC003,3,1,1,1,"{1,3,4}",1,
145,I_NMA003,North Fork of Middle Fork American River near Foresthill,,NMA003,3,1,1,1,"{1,3,4}",1,
146,I_NNA013,North Fork of North Fork American River,,NNA013,3,1,1,1,"{1,3,4}",1,
147,I_OGN005,Oregon Creek above Log Cabin Diversion Dam,,OGN005,3,1,1,1,"{1,3,4}",1,
