id,calsim_id,name,description,inflow_entity_id,variable_type,unit_id,temporal_scale_id,variable_version_id,outcome_category_short_code,variable_id,created_by,updated_by
1,I_ALD002,Alder Creek accretion: dam site to Diversion Dam,Alder Creek accretion: dam site to Diversion Dam,1,inflow_rate,2,3,1,hydroclimate,,1,
2,I_ALD004,Alder Creek at proposed Alder Reservoir dam site,Alder Creek at proposed Alder Reservoir dam site,2,inflow_rate,2,3,1,hydroclimate,,1,
3,I_ALMNR,Lake Almanor local inflow,Lake Almanor local inflow,3,inflow_rate,2,3,1,hydroclimate,,1,
4,I_ALOHA,Aloha Lake inflow,Aloha Lake inflow,4,inflow_rate,2,3,1,hydroclimate,,1,
5,I_AMADR,Amador Reservoir inflow,Amador Reservoir inflow,5,inflow_rate,2,3,1,hydroclimate,,1,
6,I_ANG017,Angels Creek above Diversion Dam,Angels Creek above Diversion Dam,6,inflow_rate,2,3,1,hydroclimate,,1,
7,I_ANT011,Antelope Creek near Red Bluff,Antelope Creek near Red Bluff,7,inflow_rate,2,3,1,hydroclimate,,1,
8,I_ANTLP,Antelope Lake inflow,Antelope Lake inflow,8,inflow_rate,2,3,1,hydroclimate,,1,
9,I_BANOS,Los Banos Creek,Los Banos Creek,9,inflow_rate,2,3,1,hydroclimate,,1,
10,I_BCC014,Big Chico Creek near Chico,Big Chico Creek near Chico,10,inflow_rate,2,3,1,hydroclimate,,1,
11,I_BCK040,Bear Creek below Bear Reservoir,Bear Creek below Bear Reservoir,11,inflow_rate,2,3,1,hydroclimate,,1,
12,I_BCM003,Bcm003,Inflow variable I_BCM003,12,inflow_rate,2,3,1,hydroclimate,,1,
13,I_BCN010,Bear Creek (North) near Millville,Bear Creek (North) near Millville,13,inflow_rate,2,3,1,hydroclimate,,1,
14,I_BEARD,Beardsley Lake local inflow,Beardsley Lake local inflow,14,inflow_rate,2,3,1,hydroclimate,,1,
15,I_BLKBT,Black Butte Lake local inflow,Black Butte Lake local inflow,15,inflow_rate,2,3,1,hydroclimate,,1,
16,I_BOWMN,Bowman Lake inflow,Bowman Lake inflow,16,inflow_rate,2,3,1,hydroclimate,,1,
17,I_BRC003,+ACI-Bear Creek above Holsten Chimney, tributary to Cache Creek+ACI-,+ACI-Bear Creek above Holsten Chimney, tributary to Cache Creek+ACI-,17,inflow_rate,2,3,1,hydroclimate,,1,
18,I_BRR023,Bear River accretion: Combie Dam to Garden Bar,Bear River accretion: Combie Dam to Garden Bar,18,inflow_rate,2,3,1,hydroclimate,,1,
19,I_BSH003,Brush Creek Reservoir inflow,Brush Creek Reservoir inflow,19,inflow_rate,2,3,1,hydroclimate,,1,
20,I_BTC048,Butte Creek near Chico,Butte Creek near Chico,20,inflow_rate,2,3,1,hydroclimate,,1,
21,I_BTL006,Battle Creek near Cottonwood,Battle Creek near Cottonwood,21,inflow_rate,2,3,1,hydroclimate,,1,
22,I_BTVLY,Butt Valley Reservoir inflow,Butt Valley Reservoir inflow,22,inflow_rate,2,3,1,hydroclimate,,1,
23,I_BUCKS,Bucks Creek Reservoir inflow,Bucks Creek Reservoir inflow,23,inflow_rate,2,3,1,hydroclimate,,1,
24,I_BUR005,Burns Creek below Burns Reservoir,Burns Creek below Burns Reservoir,24,inflow_rate,2,3,1,hydroclimate,,1,
25,I_BVC007,Beaver Creek above Diversion Dam,Beaver Creek above Diversion Dam,25,inflow_rate,2,3,1,hydroclimate,,1,
26,I_CAP000,Capita Canyon Group,Capita Canyon Group,26,inflow_rate,2,3,1,hydroclimate,,1,
27,I_CAPLS,Caples Lake inflow,Caples Lake inflow,27,inflow_rate,2,3,1,hydroclimate,,1,
28,I_CCH053,Cache Creek accretion: Clear Lake Dam to Rumsey,Cache Creek accretion: Clear Lake Dam to Rumsey,28,inflow_rate,2,3,1,hydroclimate,,1,
29,I_CFS001,Clark Fork inflow to Middle Stanislaus,Clark Fork inflow to Middle Stanislaus,29,inflow_rate,2,3,1,hydroclimate,,1,
30,I_CHC000,Corral Hollow and Minor Creeks,Corral Hollow and Minor Creeks,30,inflow_rate,2,3,1,hydroclimate,,1,
31,I_CHW031,Chowchilla River below Buchanan Dam local inflow,Chowchilla River below Buchanan Dam local inflow,31,inflow_rate,2,3,1,hydroclimate,,1,
32,I_CHY006,Chy006,Inflow variable I_CHY006,32,inflow_rate,2,3,1,hydroclimate,,1,
33,I_CLR011,Clear Creek Local Inflow Downstream of Whiskeytown Lake,Clear Creek Local Inflow Downstream of Whiskeytown Lake,33,inflow_rate,2,3,1,hydroclimate,,1,
34,I_CLRLK,Clear Lake inflow,Clear Lake inflow,34,inflow_rate,2,3,1,hydroclimate,,1,
35,I_CLV026,Calaveras River below New Hogan Dam local inflow,Calaveras River below New Hogan Dam local inflow,35,inflow_rate,2,3,1,hydroclimate,,1,
36,I_CMBIE,Combie Reservoir local inflow,Combie Reservoir local inflow,36,inflow_rate,2,3,1,hydroclimate,,1,
37,I_CMCHE,Camanche Reservoir local inflow,Camanche Reservoir local inflow,37,inflow_rate,2,3,1,hydroclimate,,1,
38,I_CMP001,Camp Creek near Somerset local inflow,Camp Creek near Somerset local inflow,38,inflow_rate,2,3,1,hydroclimate,,1,
39,I_CMP014,Camp Creek at Diversion Dam,Camp Creek at Diversion Dam,39,inflow_rate,2,3,1,hydroclimate,,1,
40,I_CMPFW,Camp Far West Reservoir local inflow,Camp Far West Reservoir local inflow,40,inflow_rate,2,3,1,hydroclimate,,1,
41,I_COL003,Cole Creek,Cole Creek,41,inflow_rate,2,3,1,hydroclimate,,1,
42,I_COT033,Cottonwood Creek,Cottonwood Creek +AC0- tributary to Eastside Bypass,42,inflow_rate,2,3,1,hydroclimate,,1,
43,I_COW014,Cow Creek,Cow Creek,43,inflow_rate,2,3,1,hydroclimate,,1,
44,I_CSM035,Cosumnes River at Michigan Bar local inflow,Cosumnes River at Michigan Bar local inflow,44,inflow_rate,2,3,1,hydroclimate,,1,
45,I_CVY009,Cvy009,Inflow variable I_CVY009,45,inflow_rate,2,3,1,hydroclimate,,1,
46,I_CWD018,Cottonwood Creek near Olinda,Cottonwood Creek near Olinda,46,inflow_rate,2,3,1,hydroclimate,,1,
47,I_CYN009,Canyon Creek at Towle Canal Diversion Dam,Canyon Creek at Towle Canal Diversion Dam,47,inflow_rate,2,3,1,hydroclimate,,1,
48,I_DAVIS,Davis Lake inflow,Davis Lake inflow,48,inflow_rate,2,3,1,hydroclimate,,1,
