id,mi_contractor_id,delivery_arc,arc_type,is_active,created_at,created_by,updated_at,updated_by
1,1,D_SBA009_ACFC,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
2,1,D_SBA020_ACFC,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
3,2,D_SBA029_ACWD,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
4,3,D_ESB324_AVEK,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
5,4,D_CSB009_CLRTA1_DDWD,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
6,30,D_WSB032_CLRTA2,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
7,5,D204,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
8,6,D_ESB407_CCHLA,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
9,7,D201,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
10,8,D_CAA181_KINGS,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
11,9,D_SVRWD_CSTLN,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
12,10,D_ESB408_DESRT,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
13,11,D_CAA184_DUDLEY,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
14,12,D_CAA173_EMPIRE,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
15,29,D_CAA194_KERNA,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
16,13,D_CAA194_KERN,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
17,13,D_CAA242_Kern,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
18,13,D_CAA279_Kern,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
19,13,D_CSB015_KERN_BMWD,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
20,14,D_ESB355_LROCK,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
21,15,D_PRRIS_MWDSC,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
22,15,D_CAA194_KERNB,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
23,15,D_ESB413_MWDSC,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
24,15,D_WSB031_MWDSC,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
25,15,D_ESB433_MWDSC,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
26,16,D_ESB403_MOJVE,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
27,17,D_BKR004_NBA009_NAPA,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
28,18,D802A,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
29,19,D_ESB347_PLMDL,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
30,20,D_ESB414_BRDNO,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
31,21,D_ESB415_GABRL,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
32,22,D_ESB420_GRGNO,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
33,23,D_CSB038_OBISPO,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
34,24,D_CSB103_BRBRA,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
35,25,D_SBA036_SCVWD,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
36,26,D_BKR004_NBA009_SCWA,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
37,27,D_CAA183_TULARE,PAG,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
38,28,D_PYRMD_VNTRA,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
39,28,D_CSTIC_VNTRA,PMI,true,2026-02-02 00:00:00,1,2026-02-02 00:00:00,1
