short_code,river,arc_id,arc_type_id,name,description,type,sub_type,from_node_id,to_node_id,hydrologic_region_id,shape_length,model_source_id,source_id,is_reversible,flow_capacity,parent_arc_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
C_AMR006,AMR,C_AMR006,8.0,American River,,CH,ST,,,1,4037.69911216368,1,4,,,,1,12,True,connected,True
C_CCH075,CCH,C_CCH075,8.0,Cache Creek,,CH,ST,,,1,26668.5136743961,1,4,,,,1,12,True,connected,True
C_ELD012,ELD,C_ELD012,8.0,Elder Creek,,CH,ST,,,1,11265.4079514507,1,4,,,,1,12,True,connected,True
C_SFA084,SFA,C_SFA084,8.0,South Fork American River,,CH,ST,,,1,27207.0770759063,1,4,,,,1,12,True,connected,True
C_TRN111,TRN,C_TRN111,8.0,Trinity River,,CH,ST,,,1,178936.367356551,1,4,,,,1,12,True,connected,True
C_BRR023,BRR,C_BRR023,8.0,Bear River,,CH,ST,,,1,8395.13222346385,1,4,,,,1,12,True,connected,True
C_SAC003,SAC,C_SAC003,8.0,Sacramento River,,CH,ST,,,1,4828.03203972154,1,4,,,,1,12,True,connected,True
C_SAC007,SAC,C_SAC007,8.0,Sacramento River,,CH,ST,,,1,6437.37595516694,1,4,,,,1,12,True,connected,True
C_SAC017,SAC,C_SAC017,8.0,Sacramento River,,CH,ST,,,1,9256.70836743719,1,4,,,,1,12,True,connected,True
C_SAC022,SAC,C_SAC022,8.0,Sacramento River,,CH,ST,,,1,8446.04027897063,1,4,,,,1,12,True,connected,True
C_SAC029a,SAC,C_SAC029a,8.0,Sacramento River,,CH,ST,,,1,11458.3682729878,1,4,,,,1,12,True,connected,True
C_SAC036,SAC,C_SAC036,8.0,Sacramento River,,CH,ST,,,1,10099.1443252141,1,4,,,,1,12,True,connected,True
C_SAC048,SAC,C_SAC048,8.0,Sacramento River,,CH,ST,,,1,11265.5625362725,1,4,,,,1,12,True,connected,True
C_BRR031,BRR,C_BRR031,8.0,Bear River,,CH,ST,,,1,5043.98239876527,1,4,,,,1,12,True,connected,True
R_22_SA2_SAC083,,R_22_SA2_SAC083,,,,RT,,,,1,4396.8713000007,1,4,,,,1,12,True,connected,True
D_FTR003_22_SA2,,D_FTR003_22_SA2,10.0,,,D,,,,1,1598.05439999979,1,4,,,,1,12,True,connected,True
R_17S_SA_SAC085,,R_17S_SA_SAC085,,,,RT,,,,1,4187.84159002909,1,4,,,,1,12,True,connected,True
D_FTR003_17S_SA,,D_FTR003_17S_SA,10.0,,,D,,,,1,3315.49595935417,1,4,,,,1,12,True,connected,True
C_MCD009,MCD,C_MCD009,8.0,Merced River,,CH,ST,,,2,6437.38892681427,1,4,,,,1,12,True,connected,True
C_KLR006,KLR,C_KLR006,4.0,Knights Landing Ridgecut,,CH,CL,,,1,1517.3727363969,1,4,,,,1,12,True,connected,True
C_AMR007,AMR,C_AMR007,8.0,American River,,CH,ST,,,1,1222.80349061754,1,4,,,,1,12,True,connected,True
C_MFA001,MFA,C_MFA001,8.0,Middle Fork American River,,CH,ST,,,1,2290.88638266127,1,4,,,,1,12,True,connected,True
D_WEC005_11_SA1,,D_WEC005_11_SA1,11.0,,,D,CL,,,1,3566.976802616,1,4,,,,1,12,True,connected,True
D_WEC005_BTC032,,D_WEC005_BTC032,11.0,,,D,CL,,,1,7548.43850762419,1,4,,,,1,12,True,connected,True
C_ASL013,ASL,C_ASL013,8.0,Ash Slough,,CH,ST,,,2,20663.2532240635,1,4,,,,1,12,True,connected,True
C_BRS018,BRS,C_BRS018,8.0,Berenda Slough,,CH,ST,,,2,29186.7543621027,1,4,,,,1,12,True,connected,True
R_RFS72B_SJR106,,R_RFS72B_SJR106,,,,RT,,,,2,14491.9726300865,1,4,,,,1,12,True,connected,True
R_RFS72B_MSN004,,R_RFS72B_MSN004,,,,RT,,,,2,2900.31740000006,1,4,,,,1,12,True,connected,True
C_SJR053b,SJR,C_SJR053b,8.0,Old River,,CH,ST,,,1,12717.964245378,1,4,,,,1,12,True,connected,True
R_TCWWTP_OMR039,,R_TCWWTP_OMR039,,,,RT,,,,2,4075.46765851486,1,4,,,,1,12,True,connected,True
D_EBP048_63_PR3,,D_EBP048_63_PR3,10.0,,,D,,,,2,2315.83763132699,1,4,,,,1,12,True,connected,True
C_NFA022,NFA,C_NFA022,8.0,North Fork American River,,CH,ST,,,1,3465.65787236794,1,4,,,,1,12,True,connected,True
C_MFA023,MFA,C_MFA023,8.0,Middle Fork American River,,CH,ST,,,1,34847.7831611938,1,4,,,,1,12,True,connected,True
D_RVC005_11_PR,RVC,D_RVC005_11_PR,11.0,Richvale ID - Buttler Canal,,D,CL,,,1,16623.2486912921,1,4,,,,1,12,True,connected,True
D_JBC002_RVC005,,D_JBC002_RVC005,11.0,Biggs Extension,,D,CL,,,1,6271.73432095396,1,4,,,,1,12,True,connected,True
C_WLF021,WLF,C_WLF021,8.0,Wolf Creek,,CH,ST,,,1,6645.1571631476,1,4,,,,1,12,True,connected,True
I_WBF015,,I_WBF015,18.0,,,IN,LI,,,1,7499.99996034833,1,4,,,,1,12,True,connected,True
C_RVC000,RVC,C_RVC000,4.0,Richvale ID - Buttler Canal,,CH,CL,,,1,7364.97312011841,1,4,,,,1,12,True,connected,True
D_WEC005_11_PR,,D_WEC005_11_PR,10.0,,,D,,,,1,18530.7388446342,1,4,,,,1,12,True,connected,True
C_BSL001b,BSL,C_BSL001b,8.0,Butte Slough,,CH,ST,,,1,4942.52875777672,1,4,,,,1,12,True,connected,True
R_08N_PA_CBD044,,R_08N_PA_CBD044,,,,RT,,,,1,5814.72549999878,1,4,,,,1,12,True,connected,True
D_CBD049_08N_PA,,D_CBD049_08N_PA,10.0,,,D,,,,1,5097.23610000126,1,4,,,,1,12,True,connected,True
D_KLR005_21_PA,,D_KLR005_21_PA,10.0,,,D,,,,1,4667.97069999948,1,4,,,,1,12,True,connected,True
R_21_PA_YBP032,,R_21_PA_YBP032,,,,RT,,,,1,2730.28423905211,1,4,,,,1,12,True,connected,True
D_MNRRH_13_NU2,,D_MNRRH_13_NU2,10.0,Bangor Canal,,D,,,,1,18329.199792467,1,4,,,,1,12,True,connected,True
C_TTC002,TTC,C_TTC002,4.0,Toadtown Canal,,CH,CL,,,1,3698.3431812636,1,4,,,,1,12,True,connected,True
C_FTR068,FTR,C_FTR068,8.0,Feather River,,CH,ST,,,1,949.864727351537,1,4,,,,1,12,True,connected,True
D_FTR021_16_SA,,D_FTR021_16_SA,10.0,,,D,,,,1,11818.8913363946,1,4,,,,1,12,True,connected,True
C_SFA030,SFA,C_SFA030,8.0,South Fork American River,,CH,ST,,,1,47549.2309163967,1,4,,,,1,12,True,connected,True
C_SAC053,SAC,C_SAC053,8.0,Sacramento River,,CH,ST,,,1,4827.87098246476,1,4,,,,1,12,True,connected,True
C_SAC057,SAC,C_SAC057,8.0,Sacramento River,,CH,ST,,,1,6437.37599889044,1,4,,,,1,12,True,connected,True
C_SAC061,SAC,C_SAC061,8.0,Sacramento River,,CH,ST,,,1,8262.09210151904,1,4,,,,1,12,True,connected,True
D_WTPJAC_NAPA,,D_WTPJAC_NAPA,10.0,,,D,,,,1,7500.00005812631,1,4,,,,1,12,True,connected,True
C_SAC063,SAC,C_SAC063,8.0,Sacramento River,,CH,ST,,,1,625.165385534433,1,4,,,,1,12,True,connected,True
C_SAC065,SAC,C_SAC065,8.0,Sacramento River,,CH,ST,,,1,3379.84031239653,1,4,,,,1,12,True,connected,True
C_SAC074,SAC,C_SAC074,8.0,Sacramento River,,CH,ST,,,1,12280.8297192622,1,4,,,,1,12,True,connected,True
C_SAC076,SAC,C_SAC076,8.0,Sacramento River,,CH,ST,,,1,1609.34724514641,1,4,,,,1,12,True,connected,True
C_SAC078,SAC,C_SAC078,8.0,Sacramento River,,CH,ST,,,1,1609.34403887666,1,4,,,,1,12,True,connected,True
C_SAC082,SAC,C_SAC082,8.0,Sacramento River,,CH,ST,,,1,860.775817200138,1,4,,,,1,12,True,connected,True
C_SAC083,SAC,C_SAC083,8.0,Sacramento River,,CH,ST,,,1,1579.90198593392,1,4,,,,1,12,True,connected,True
C_SAC085,SAC,C_SAC085,8.0,Sacramento River,,CH,ST,,,1,4530.78991093354,1,4,,,,1,12,True,connected,True
C_SAC091,SAC,C_SAC091,8.0,Sacramento River,,CH,ST,,,1,9152.87796426811,1,4,,,,1,12,True,connected,True
C_SAC097,SAC,C_SAC097,8.0,Sacramento River,,CH,ST,,,1,6734.12662747326,1,4,,,,1,12,True,connected,True
C_SAC106,SAC,C_SAC106,8.0,Sacramento River,,CH,ST,,,1,10938.9715549695,1,4,,,,1,12,True,connected,True
C_SAC115,SAC,C_SAC115,8.0,Sacramento River,,CH,ST,,,1,9692.91718001249,1,4,,,,1,12,True,connected,True
C_SAC120,SAC,C_SAC120,8.0,Sacramento River,,CH,ST,,,1,9547.47633897296,1,4,,,,1,12,True,connected,True
C_SAC122,SAC,C_SAC122,8.0,Sacramento River,,CH,ST,,,1,1433.25104932103,1,4,,,,1,12,True,connected,True
D_FOLSM_WTPEDH,,D_FOLSM_WTPEDH,10.0,,,D,,,,1,7748.6062000012,1,4,,,,1,12,True,connected,True
D_WTPEDH_ELDID,,D_WTPEDH_ELDID,10.0,,,D,,,,1,6743.34400000051,1,4,,,,1,12,True,connected,True
R_ELDID_EDWWTP,,R_ELDID_EDWWTP,,,,RT,,,,1,5108.97140000015,1,4,,,,1,12,True,connected,True
D_WTPFBN_26N_NU4,,D_WTPFBN_26N_NU4,10.0,,,D,,,,1,11830.6546,1,4,,,,1,12,True,connected,True
C_STS050,STS,C_STS050,8.0,Stanislaus River,,CH,ST,,,2,3732.59444864253,1,4,,,,1,12,True,connected,True
C_ABT002,ABT,C_ABT002,4.0,Auburn Tunnel,,CH,CL,,,1,1544.2306088929,1,4,,,,1,12,True,connected,True
C_ABN027,ABN,C_ABN027,8.0,Auburn Ravine,,CH,ST,,,1,1685.94113250432,1,4,,,,1,12,True,connected,True
