short_code,calsim_id,node_type_id,name,description,riv_mi,riv_name,comment,c2vsim_gw,c2vsim_sw,type,sub_type,nrest_gage,strm_code,rm_ii,hydrologic_region_id,latitude,longitude,model_source_id,source_id,parent_node_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
EMD001,EMD001,2,EMD001,Conceptual inflow from RFS22,1.24,Natomas East Main Drainage Canal,Conceptual inflow from RFS22,,,CH,CNL,,EMD,1.0,1,38.6080381049684,-121.49288272133,1,4,,1,12,True,connected,True
SAC232,SAC232,7,SAC232,Antelope Creek Confluence,231.83,Sacramento River,Antelope Creek Confluence,079,232.0,CH,STM,,SAC,232.0,1,40.0828586992139,-122.116209879681,1,4,,1,12,True,connected,True
SAC228,SAC228,7,SAC228,Elder Creek/Mill Creek Confluences (Elder Creek actually 0.5mi upstream)??,228.02,Sacramento River,Elder Creek/Mill Creek Confluences (Elder Creek actually 0.5mi upstream)??,086,236.0,CH,STM,,SAC,228.0,1,40.0366012459284,-122.118061748561,1,4,,1,12,True,connected,True
SAC224,SAC224,7,SAC224,Thomes Creek Confluence,224.0,Sacramento River,Thomes Creek Confluence,094,247.0,CH,STM,,SAC,224.0,1,39.9907813585548,-122.095303346297,1,4,,1,12,True,connected,True
SAC218,SAC218,7,SAC218,Deer Creek Confluence,218.23,Sacramento River,Deer Creek Confluence,099,255.0,CH,STM,,SAC,218.0,1,39.9215205033056,-122.085127320657,1,4,,1,12,True,connected,True
SAC214,SAC214,7,SAC214,C2VSIM Node,214.0,Sacramento River,C2VSIM Node,105,260.0,CH,STM,,SAC,214.0,1,39.8748231938971,-122.062843296628,1,4,,1,12,True,connected,True
SAC207,SAC207,7,SAC207,Glenn-Colusa Canal Diversion,206.55,Sacramento River,Glenn-Colusa Canal Diversion,113,261.0,CH,STM,,SAC,207.0,1,39.8023852509814,-122.052568143912,1,4,,1,12,True,connected,True
SAC196,SAC196,7,SAC196,Big Chico Creek Confluence,195.71,Sacramento River,Big Chico Creek Confluence,129,262.0,CH,STM,,SAC,196.0,1,39.6965644292454,-121.942632603754,1,4,,1,12,True,connected,True
SAC193,SAC193,7,SAC193,Stoney Creek Confluence,192.56,Sacramento River,Stoney Creek Confluence,140,274.0,CH,STM,,SAC,193.0,1,39.6757787324338,-121.974536866373,1,4,,1,12,True,connected,True
SAC185,SAC185,6,SAC185,Closure Term (Ord Ferry) C2VSIM Node (Ord Ferry actually 0.5mi upstream) near USGS Gage - 11388700,185.36,Sacramento River,Closure Term (Ord Ferry) C2VSIM Node (Ord Ferry actually 0.5mi upstream) near USGS Gage - 11388700,,,CH,SG,11388700 / DWR A0-2570 (ORD),SAC,185.0,1,39.628938661153,-121.992080992998,1,4,,1,12,True,connected,True
