from_element_id,to_element_id,from_element_code,to_element_code,created_by,connection_type,source_id
5135,1254,03_PU2 Bella Vista WD,R_03_PU2_SWWWTP,2,operational,5
6939,2308,03_SU City of Redding,R_03_SU_SWWWTP,2,operational,5
522,963,CCWWTP,R_CCWWTP_SAC287,2,operational,5
52,1183,SR_03_SAC265,SAC265,2,storage_return,5
1152,731,SR_02_SAC271,SAC271,2,storage_return,5
517,1382,R_SWWWTP_SAC281,SAC281,2,return,5
3661,6939,D_WTPBUK_03_SU,03_SU City of Redding,2,diversion,5
2235,904,D_SAC294_WTPBLV,SAC294,2,diversion,5
5920,3661,WTP BUK,D_WTPBUK_03_SU,2,operational,5
1912,1554,SAC259,C_SAC259,2,operational,5
1746,950,SAC254,C_SAC254,2,operational,5
2411,1550,SAC250,C_SAC250,2,operational,5
2134,2126,C_COW007,COW003,2,operational,5
824,2134,COW007,C_COW007,2,operational,5
2126,2935,COW003,C_COW003,2,operational,5
844,729,I_BTL006,BTL006,2,operational,5
6663,844,Battle Creek,I_BTL006,2,operational,5
233,2100,WKYTN,D_WKYTN_WTPBUK,2,operational,5
553,4643,D_WKYTN_WTPCSD,WTP CSD,2,diversion,5
379,3640,D_WTPFTH_03_SU,WTP FTH,2,diversion,5
2557,2690,I_BCN010,BCN010,2,operational,5
3545,2557,Bear Creek (BCN),I_BCN010,2,operational,5
1073,147,C_BCN010,BCN005,2,operational,5
2690,1073,BCN010,C_BCN010,2,operational,5
729,1307,BTL006,C_BTL006,2,operational,5
2265,2668,I_CWD018,CWD018,2,operational,5
2702,1014,C_CWD009,CWD004,2,operational,5
1392,1956,D_WKYTN_SPT003,SPT003,2,diversion,5
1748,1014,R_02_NA_CWD004,CWD004,2,return,5
2495,2151,C_WKYTN,CLR011,2,operational,5
1504,2418,R_02_SA_SAC273,SAC273,2,return,5
5646,233,I_WKYTN,WKYTN,2,operational,5
940,256,I_SHSTA,SHSTA,2,operational,5
2538,4527,D_SHSTA_WTPJMS,WTP JMS,2,diversion,5
379,6939,D_WTPFTH_03_SU,03_SU City of Redding,2,diversion,5
1462,2931,R_03_PA_SAC287,SAC287,2,return,5
1626,5562,D_SAC289_03_SA,"03_SA Anderson Cottonwood ID, Misc. Settlement Contractors",2,diversion,5
1465,1382,R_03_SA_SAC281,SAC281,2,return,5
2816,824,C_COW014,COW007,2,operational,5
1232,6615,C_CWD018,CWD013,2,operational,5
1653,2354,C_LWSTN,TRN111,2,operational,5
2154,5689,D_WTPFTH_02_SU,02_SU City of Redding,2,diversion,5
1771,2070,I_SCW008,SCW008,2,operational,5
1687,2418,R_02_PA_SAC273,SAC273,2,return,5
5891,1208,Lewiston Local Inflow,I_LWSTN,2,operational,5
6727,5646,Clear Creek,I_WKYTN,2,operational,5
4963,940,"Sacramento, Pitt, and McCloud Rivers",I_SHSTA,2,operational,5
6802,1771,South Fork Cottonwood Creek,I_SCW008,2,operational,5
2907,582,SAC277,C_SAC277,2,operational,5
287,2816,COW014,C_COW014,2,operational,5
2061,606,SAC289,C_SAC289,2,operational,5
1382,721,SAC281,C_SAC281,2,operational,5
2931,1716,SAC287,C_SAC287,2,operational,5
904,1269,SAC294,C_SAC294,2,operational,5
1991,2658,CLR009,C_CLR009,2,operational,5
6357,2495,S_WKYTN,C_WKYTN,2,operational,5
2668,1232,CWD018,C_CWD018,2,operational,5
1656,2685,SAC275,C_SAC275,2,operational,5
1698,1339,SAC269,C_SAC269,2,operational,5
5878,116,"03_PU1 Jones Valley CSA, Shasta Lake CSD, Mountain Gate CSD",R_03_PU1_KSWCK,2,operational,5
5588,1687,02_PA Clear Creek CSD,R_02_PA_SAC273,2,operational,5
5562,1465,"03_SA Anderson Cottonwood ID, Misc. Settlement Contractors",R_03_SA_SAC281,2,operational,5
6821,1748,02_NA Non-District,R_02_NA_CWD004,2,operational,5
256,2538,SHSTA,D_SHSTA_WTPJMS,2,operational,5
233,553,WKYTN,D_WKYTN_WTPCSD,2,operational,5
1376,2334,CWD009,D_CWD009_02_NA,2,operational,5
2061,1626,SAC289,D_SAC289_03_SA,2,operational,5
287,1458,COW014,D_COW014_03_NA,2,operational,5
1183,2941,SAC265,C_SAC265,2,operational,5
2850,2550,C_TRNTY,LWSTN,2,operational,5
3837,1653,S_LWSTN,C_LWSTN,2,operational,5
784,2340,I_TRNTY,TRNTY,2,operational,5
2100,5920,D_WKYTN_WTPBUK,WTP BUK,2,diversion,5
5984,619,"02_PU Centerville CSD, Clear Creek CSD, Keswick CSA, Shasta CSD",R_02_PU_CCWWTP,2,operational,5
6919,1504,"02_SA Anderson Cottonwood ID, Misc. Settlement Contractors",R_02_SA_SAC273,2,operational,5
2866,6919,D_SAC296_02_SA,"02_SA Anderson Cottonwood ID, Misc. Settlement Contractors",2,diversion,5
619,522,R_02_PU_CCWWTP,CCWWTP,2,return,5
749,1698,R_03_NA_SAC269,SAC269,2,return,5
147,2302,BCN005,C_BCN005,2,operational,5
147,2380,BCN005,D_BCN005_03_NA,2,operational,5
1991,1541,CLR009,D_CLR009_02_NA,2,operational,5
4560,2931,SG208_SAC287_32,SAC287,2,operational,5
4268,1014,SG218_CWD004_35,CWD004,2,operational,5
4300,1929,SG225_PYN001_38,PYN001,2,operational,5
2396,21,SAC299,C_SAC299,2,operational,5
2096,4645,C_SCW008,SCW004,2,operational,5
2070,2096,SCW008,C_SCW008,2,operational,5
1033,2151,I_CLR011,CLR011,2,operational,5
