from_element_id,to_element_id,from_element_code,to_element_code,created_by,connection_type,source_id
950,2411,C_SAC254,SAC250,2,physical,4
1550,1661,C_SAC250,SAC247,2,physical,4
2935,2907,C_COW003,SAC277,2,physical,4
2499,2411,C_PYN001,SAC250,2,physical,4
1554,43,C_SAC259,SAC257,2,physical,4
1307,1698,C_BTL006,SAC269,2,physical,4
863,2396,C_KSWCK,SAC299,2,physical,4
582,1656,C_SAC277,SAC275,2,physical,4
560,2696,C_SHSTA,SAC301,2,physical,4
2658,2931,C_CLR009,SAC287,2,physical,4
2941,1912,C_SAC265,SAC259,2,physical,4
606,2931,C_SAC289,SAC287,2,physical,4
1269,2061,C_SAC294,SAC289,2,physical,4
1716,1382,C_SAC287,SAC281,2,physical,4
1339,1183,C_SAC269,SAC265,2,physical,4
1383,731,C_CWD003,SAC271,2,physical,4
721,2907,C_SAC281,SAC277,2,physical,4
397,731,C_SAC273,SAC271,2,physical,4
2302,1656,C_BCN005,SAC275,2,physical,4
2685,2418,C_SAC275,SAC273,2,physical,4
484,1698,C_SAC271,SAC269,2,physical,4
1984,2696,C_SPT003,SAC301,2,physical,4
2471,1746,C_SAC257,SAC254,2,physical,4
1934,1141,C_ANT010,SAC232,2,physical,4
2192,1441,C_SAC228,SAC224,2,physical,4
2710,1141,C_SAC240,SAC232,2,physical,4
946,2743,C_SAC232,SAC229,2,physical,4
1573,2761,C_SAC224,SAC218,2,physical,4
2712,2579,C_SAC218,SAC217,2,physical,4
752,1163,C_SAC207,SAC201,2,physical,4
1586,2743,C_ELD005,SAC229,2,physical,4
937,1819,C_STN004,SAC193,2,physical,4
1460,1178,C_SAC214,SAC207,2,physical,4
486,45,C_MLC004,SAC228,2,physical,4
1540,2761,C_DRC005,SAC218,2,physical,4
1019,1441,C_THM005,SAC224,2,physical,4
2710,1081,C_SAC240,SAC240,2,physical,4
1608,2429,C_SAC217,SAC214,2,physical,4
832,45,C_SAC229,SAC228,2,physical,4
459,1178,C_MNS000,SAC207,2,physical,4
204,2107,C_SAC178,SAC174,2,physical,4
2580,966,C_SAC159,SAC154,2,physical,4
474,2494,C_SAC154,SAC148,2,physical,4
760,2616,C_SAC182,SAC178,2,physical,4
2730,596,C_SAC188,SAC185,2,physical,4
48,1897,C_SAC115,SAC109,2,physical,4
2030,1970,C_SAC122,SAC121,2,physical,4
1371,1749,C_CBD000,SAC093,2,physical,4
2985,2483,C_SAC121,SAC120,2,physical,4
2678,534,C_SAC077,SAC075,2,physical,4
2977,659,C_SAC078,SAC077,2,physical,4
1296,2269,C_AMR004,SAC063,2,physical,4
770,1584,C_SAC066,SAC065,2,physical,4
209,591,C_SAC063,SAC062,2,physical,4
2330,2649,C_SAC049,SAC048,2,physical,4
1989,2366,C_SAC053,SAC050,2,physical,4
1886,2269,C_SAC064,SAC063,2,physical,4
2547,926,C_SAC065,SAC064,2,physical,4
59,2716,C_SAC081,SAC078,2,physical,4
2691,2792,C_SAC017,SAC011,2,physical,4
2510,30,C_SAC022,SAC017,2,physical,4
5083,1456,C_SAC029A,SAC022,2,physical,4
2805,2271,C_SJR022,SJR013,2,physical,4
2925,1978,C_MSH015,SJR009,2,physical,4
2827,2271,C_OMR002,SJR013,2,physical,4
1389,140,C_SJR006,SAC000,2,physical,4
2475,871,C_AMR015,AMR009,2,physical,4
732,917,C_SAC083,SAC083,2,physical,4
1805,1058,C_SAC185,SAC182,2,physical,4
485,1163,C_SAC201,SAC201,2,physical,4
439,1081,C_SAC247,SAC240,2,physical,4
21,240,C_SAC299,SAC296,2,physical,4
2025,2770,C_SAC050,SAC049,2,physical,4
360,926,C_EMD001,SAC064,2,physical,4
1425,2619,C_SAC162,SAC159,2,physical,4
1024,2818,C_SAC168,SAC162,2,physical,4
2052,2419,C_SAC148,SAC146,2,physical,4
2647,2212,C_SAC146,SAC141,2,physical,4
2534,504,C_SAC129,SAC122,2,physical,4
2108,51,C_SAC134,SAC129,2,physical,4
663,2474,C_SAC136,SAC134,2,physical,4
1482,1949,C_SAC141,SAC136,2,physical,4
2920,1576,C_SAC092,SAC091,2,physical,4
1345,2287,C_SAC093,SAC092,2,physical,4
372,2912,C_SAC193,SAC188,2,physical,4
1401,908,C_BCC004,SAC196,2,physical,4
485,908,C_SAC201,SAC196,2,physical,4
2623,687,C_SAC196,SAC195,2,physical,4
2086,1819,C_SAC195,SAC193,2,physical,4
732,1869,C_SAC083,SAC082,2,physical,4
1454,917,C_SAC085,SAC083,2,physical,4
1100,541,C_SAC174,SAC169,2,physical,4
1784,1978,C_SJR013,SJR009,2,physical,4
2057,377,C_SJR009,SJR006,2,physical,4
82,985,C_SAC169,SAC168,2,physical,4
2021,904,C_SAC296,SAC294,2,physical,4
1102,2852,C_AMR017,AMR015,2,physical,4
1816,1619,C_NTOMA,AMR022,2,physical,4
892,140,C_SAC003,SAC000,2,physical,4
1562,792,C_SAC030,SAC029,2,physical,4
340,1685,C_MOK004,SJR022,2,physical,4
394,2835,C_SAC082,SAC081,2,physical,4
967,2503,C_SAC075,SAC074,2,physical,4
2865,519,C_SAC074,SAC066,2,physical,4
2486,917,C_FTR003,SAC083,2,physical,4
1454,1560,C_SAC085,SAC085,2,physical,4
1873,585,C_SAC007,SAC003,2,physical,4
4817,30,C_CSL004A,SAC017,2,physical,4
2677,1718,C_AMR009,AMR007,2,physical,4
682,1560,C_SSL001,SAC085,2,physical,4
119,1749,C_SAC097,SAC093,2,physical,4
2877,847,C_SAC099,SAC097,2,physical,4
2705,1501,C_SAC106,SAC099,2,physical,4
1622,540,C_SAC109,SAC106,2,physical,4
1273,1302,C_SAC120,SAC115,2,physical,4
81,2661,C_SAC041,SAC036,2,physical,4
916,78,C_SAC036,SAC030,2,physical,4
249,1374,C_SAC011,SAC007,2,physical,4
1265,2981,C_SJR028,SJR026,2,physical,4
1758,1685,C_SJR023,SJR022,2,physical,4
128,584,C_SJR026,SJR023,2,physical,4
71,2115,C_AMR007,AMR006,2,physical,4
1287,789,C_AMR006,AMR004,2,physical,4
2434,2886,C_SAC062,SAC061,2,physical,4
555,1432,C_SAC057,SAC053,2,physical,4
438,87,C_SAC061,SAC057,2,physical,4
1595,1560,C_SAC091,SAC085,2,physical,4
2927,384,C_SJR070,SJR062,2,physical,4
411,1151,C_SJR048,SJR043,2,physical,4
1818,1694,C_SJR056,SJR053,2,physical,4
2091,2239,C_SJR033,SJR028,2,physical,4
2229,1164,C_SJR042,SJR038,2,physical,4
2165,2950,C_SJR053a,SJR048,2,physical,4
354,1610,C_SJR043,SJR042,2,physical,4
2018,1973,C_SJR038,SJR033,2,physical,4
1551,2286,C_SJR062,SJR056,2,physical,4
171,2655,C_SJR072,SJR070,2,physical,4
100,404,C_AMR020,AMR017,2,physical,4
1137,1529,C_AMR022,AMR020,2,physical,4
2560,1151,C_FCS006,SJR043,2,physical,4
130,1164,C_CLV004,SJR038,2,physical,4
666,717,C_TUO003,SJR081,2,physical,4
2566,1095,C_MCD002,SJR116,2,physical,4
153,1919,C_MRS000,SJR114,2,physical,4
2044,1095,C_SJR116,SJR116,2,physical,4
2044,64,C_SJR116,SJR115,2,physical,4
268,1919,C_SJR115,SJR114,2,physical,4
1241,1919,C_SJR114,SJR114,2,physical,4
1241,616,C_SJR114,SJR111,2,physical,4
1867,816,C_SJR111,SJR106,2,physical,4
2456,2842,C_SJR106,SJR105,2,physical,4
2505,5819,C_SJR105,SJR102,2,physical,4
2928,362,C_SJR101,SJR096,2,physical,4
1706,1342,C_SJR096,SJR091,2,physical,4
1235,149,C_SJR091,SJR090,2,physical,4
380,2449,C_SJR090,SJR087,2,physical,4
2249,2438,C_SJR087,SJR082,2,physical,4
1098,717,C_SJR082,SJR081,2,physical,4
2611,115,C_SJR081,SJR075,2,physical,4
1047,2889,C_SJR075,SJR072,2,physical,4
1508,2252,C_SJR195,SJR192,2,physical,4
1714,2128,C_SJR192,SJR185,2,physical,4
550,1878,C_FBW001,SJR195,2,physical,4
2779,1701,C_SJR117,SJR117,2,physical,4
2779,1095,C_SJR117,SJR116,2,physical,4
2659,1701,C_NMW004,SJR117,2,physical,4
600,1701,C_SJR119,SJR117,2,physical,4
600,1293,C_SJR119,SJR119,2,physical,4
466,827,C_SJR127,SJR127,2,physical,4
466,815,C_SJR127,SJR123,2,physical,4
1452,815,C_SJR123,SJR123,2,physical,4
1452,1293,C_SJR123,SJR119,2,physical,4
178,1293,C_MSN004,SJR119,2,physical,4
1600,827,C_SAL006,SJR127,2,physical,4
849,827,C_SJR131,SJR127,2,physical,4
482,2823,C_SJR134,SJR131,2,physical,4
482,2631,C_SJR134,SJR134,2,physical,4
189,2631,C_EBP050,SJR134,2,physical,4
1323,1503,C_SJR152,SJR145,2,physical,4
488,977,C_SJR145,SJR141,2,physical,4
2554,977,C_SJR141,SJR141,2,physical,4
2554,2631,C_SJR141,SJR134,2,physical,4
1466,1682,C_SJR166,SJR157,2,physical,4
1062,2164,C_SJR157,SJR152,2,physical,4
2533,1670,C_SJR180,SJR179,2,physical,4
2784,887,C_SJR179,SJR173,2,physical,4
1986,525,C_SJR173,SJR166,2,physical,4
2735,1385,C_SJR185,SJR180,2,physical,4
25,816,C_ORT001,SJR106,2,physical,4
429,1342,C_DPC008,SJR091,2,physical,4
2847,1399,C_SJR200,SJR198,2,physical,4
2207,1399,C_SJR198,SJR198,2,physical,4
1965,2971,C_SJR201,SJR201,2,physical,4
1965,862,C_SJR201,SJR200,2,physical,4
2847,862,C_SJR200,SJR200,2,physical,4
2207,1878,C_SJR198,SJR195,2,physical,4
2808,2971,C_MDOTA,SJR201,2,physical,4
2629,1117,C_SJR227,SJR225,2,physical,4
2289,1036,C_SJR249,SJR242,2,physical,4
2480,1710,C_SJR213,SJR205,2,physical,4
1514,1480,C_SJR214,SJR213,2,physical,4
1535,1918,C_SJR242,SJR235,2,physical,4
2398,1712,C_SJR235,SJR227,2,physical,4
1242,2759,C_SJR265,SJR263,2,physical,4
2777,571,C_SJR258,SJR256,2,physical,4
2291,700,C_SJR221,SJR214,2,physical,4
728,795,C_SJR225,SJR221,2,physical,4
511,630,C_SJR263,SJR258,2,physical,4
1899,1942,C_SJR256,SJR249,2,physical,4
1108,2193,C_MLRTN,SJR265,2,physical,4
2127,2449,C_WWW001,SJR087,2,physical,4
548,115,C_ING008,SJR075,2,physical,4
5103,2889,C_STS004,SJR072,2,physical,4
4295,1647,C_SJR102,SJR101,2,physical,4
3781,4989,C_SJR280,SJR279,2,physical,4
4679,3628,C_KPA008,SJR280,2,physical,4
6220,6013,C_SJR279,SJR278,2,physical,4
3714,3628,C_SJR287,SJR280,2,physical,4
4691,4499,C_KRCKH,SJR287,2,physical,4
6970,4432,C_SJR290,SJR289,2,physical,4
7047,5625,C_SJR295,SJR290,2,physical,4
5008,3838,C_SJR296,SJR295,2,physical,4
