from_element_code,to_element_code,arc_code,connection_type,source_id,confidence_level,is_primary
AMR006,AMR004,C_AMR006,physical_infrastructure,4,high,True
CCH075,CCH058,C_CCH075,physical_infrastructure,4,high,True
ELD012,ELD005,C_ELD012,physical_infrastructure,4,high,True
BRR023,CMPFW,C_BRR023,physical_infrastructure,4,high,True
SAC003,SAC000,C_SAC003,physical_infrastructure,4,high,True
SAC007,SAC003,C_SAC007,physical_infrastructure,4,high,True
SAC017,SAC011,C_SAC017,physical_infrastructure,4,high,True
SAC022,SAC017,C_SAC022,physical_infrastructure,4,high,True
SAC029a,SAC022,C_SAC029a,physical_infrastructure,4,high,True
SAC036,SAC030,C_SAC036,physical_infrastructure,4,high,True
SAC048,SAC041,C_SAC048,physical_infrastructure,4,high,True
BRR031,BRR028,C_BRR031,physical_infrastructure,4,high,True
22_SA2,SAC083,R_22_SA2_SAC083,physical_infrastructure,4,high,True
FTR003,22_SA2,D_FTR003_22_SA2,physical_infrastructure,4,high,True
17S_SA,SAC085,R_17S_SA_SAC085,physical_infrastructure,4,high,True
FTR003,17S_SA,D_FTR003_17S_SA,physical_infrastructure,4,high,True
MCD009,MCD005,C_MCD009,physical_infrastructure,4,high,True
KLR006,YBP034,C_KLR006,physical_infrastructure,4,high,True
AMR007,AMR006,C_AMR007,physical_infrastructure,4,high,True
MFA001,NFA019,C_MFA001,physical_infrastructure,4,high,True
WEC005,11_SA1,D_WEC005_11_SA1,physical_infrastructure,4,high,True
WEC005,BTC032,D_WEC005_BTC032,physical_infrastructure,4,high,True
ASL013,EBP022,C_ASL013,physical_infrastructure,4,high,True
BRS018,EBP019,C_BRS018,physical_infrastructure,4,high,True
RFS72B,SJR106,R_RFS72B_SJR106,physical_infrastructure,4,high,True
RFS72B,MSN004,R_RFS72B_MSN004,physical_infrastructure,4,high,True
SJR053b,OMR039,C_SJR053b,physical_infrastructure,4,high,True
TCWWTP,OMR039,R_TCWWTP_OMR039,physical_infrastructure,4,high,True
EBP048,63_PR3,D_EBP048_63_PR3,physical_infrastructure,4,high,True
NFA022,NFA019,C_NFA022,physical_infrastructure,4,high,True
MFA023,MFA001,C_MFA023,physical_infrastructure,4,high,True
RVC005,11_PR,D_RVC005_11_PR,physical_infrastructure,4,high,True
JBC002,RVC005,D_JBC002_RVC005,physical_infrastructure,4,high,True
WLF021,WLF017,C_WLF021,physical_infrastructure,4,high,True
RVC000,RVC005,C_RVC000,physical_infrastructure,4,high,True
WEC005,11_PR,D_WEC005_11_PR,physical_infrastructure,4,high,True
BSL001b,BSL004,C_BSL001b,physical_infrastructure,4,high,True
08N_PA,CBD044,R_08N_PA_CBD044,physical_infrastructure,4,high,True
CBD049,08N_PA,D_CBD049_08N_PA,physical_infrastructure,4,high,True
KLR005,21_PA,D_KLR005_21_PA,physical_infrastructure,4,high,True
21_PA,YBP032,R_21_PA_YBP032,physical_infrastructure,4,high,True
MNRRH,13_NU2,D_MNRRH_13_NU2,physical_infrastructure,4,high,True
TTC002,BTC060,C_TTC002,physical_infrastructure,4,high,True
FTR068,FTR067,C_FTR068,physical_infrastructure,4,high,True
FTR021,16_SA,D_FTR021_16_SA,physical_infrastructure,4,high,True
SFA030,FOLSM,C_SFA030,physical_infrastructure,4,high,True
SAC053,SAC050,C_SAC053,physical_infrastructure,4,high,True
SAC057,SAC053,C_SAC057,physical_infrastructure,4,high,True
SAC061,SAC057,C_SAC061,physical_infrastructure,4,high,True
WTPJAC,NAPA,D_WTPJAC_NAPA,physical_infrastructure,4,high,True
SAC063,SAC062,C_SAC063,physical_infrastructure,4,high,True
SAC065,SAC064,C_SAC065,physical_infrastructure,4,high,True
SAC074,SAC066,C_SAC074,physical_infrastructure,4,high,True
SAC076,SAC075,C_SAC076,physical_infrastructure,4,high,True
SAC078,SAC077,C_SAC078,physical_infrastructure,4,high,True
SAC082,SAC081,C_SAC082,physical_infrastructure,4,high,True
SAC083,SAC082,C_SAC083,physical_infrastructure,4,high,True
SAC085,SAC083,C_SAC085,physical_infrastructure,4,high,True
SAC091,SAC085,C_SAC091,physical_infrastructure,4,high,True
SAC097,SAC093,C_SAC097,physical_infrastructure,4,high,True
SAC106,SAC099,C_SAC106,physical_infrastructure,4,high,True
SAC115,SAC109,C_SAC115,physical_infrastructure,4,high,True
SAC120,SAC115,C_SAC120,physical_infrastructure,4,high,True
SAC122,SAC121,C_SAC122,physical_infrastructure,4,high,True
FOLSM,WTPEDH,D_FOLSM_WTPEDH,physical_infrastructure,4,high,True
ELDID,EDWWTP,R_ELDID_EDWWTP,physical_infrastructure,4,high,True
WTPFBN,26N_NU4,D_WTPFBN_26N_NU4,physical_infrastructure,4,high,True
STS050,STS048,C_STS050,physical_infrastructure,4,high,True
ABT002,ABN026,C_ABT002,physical_infrastructure,4,high,True
ABN027,ABN026,C_ABN027,physical_infrastructure,4,high,True
SAC129,SAC122,C_SAC129,physical_infrastructure,4,high,True
SAC134,SAC129,C_SAC134,physical_infrastructure,4,high,True
SAC141,SAC136,C_SAC141,physical_infrastructure,4,high,True
SAC146,SAC141,C_SAC146,physical_infrastructure,4,high,True
SAC154,SAC148,C_SAC154,physical_infrastructure,4,high,True
SAC159,SAC154,C_SAC159,physical_infrastructure,4,high,True
SAC162,SAC159,C_SAC162,physical_infrastructure,4,high,True
SAC168,SAC162,C_SAC168,physical_infrastructure,4,high,True
SAC174,SAC169,C_SAC174,physical_infrastructure,4,high,True
SAC178,SAC174,C_SAC178,physical_infrastructure,4,high,True
SAC182,SAC178,C_SAC182,physical_infrastructure,4,high,True
SAC185,SAC182,C_SAC185,physical_infrastructure,4,high,True
