from_element_code,to_element_code,arc_code,connection_type,primary_source_id,conflict_resolution_method,all_sources,confidence_score,xml_supplement_count
AMR006,AMR004,C_AMR006,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,9
CCH075,CCH058,C_CCH075,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,8
ELD012,ELD005,C_ELD012,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,10
BRR023,CMPFW,C_BRR023,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,11
SAC003,SAC000,C_SAC003,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,12
SAC007,SAC003,C_SAC007,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,8
SAC017,SAC011,C_SAC017,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,12
SAC022,SAC017,C_SAC022,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,12
SAC029a,SAC022,C_SAC029a,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,3
SAC036,SAC030,C_SAC036,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,9
SAC048,SAC041,C_SAC048,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,13
BRR031,BRR028,C_BRR031,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,7
22_SA2,SAC083,R_22_SA2_SAC083,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,11
FTR003,22_SA2,D_FTR003_22_SA2,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,8
17S_SA,SAC085,R_17S_SA_SAC085,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,7
FTR003,17S_SA,D_FTR003_17S_SA,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,8
MCD009,MCD005,C_MCD009,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,8
KLR006,YBP034,C_KLR006,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,8
AMR007,AMR006,C_AMR007,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,8
MFA001,NFA019,C_MFA001,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,8
WEC005,11_SA1,D_WEC005_11_SA1,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,6
WEC005,BTC032,D_WEC005_BTC032,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,11
ASL013,EBP022,C_ASL013,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,9
BRS018,EBP019,C_BRS018,resolved_infrastructure,4,geopackage_authoritative_with_xml_supplement,"[""geopackage"", ""xml_schematic""]",0.95,10
