short_code,schematic_type,type,sub_type,hydrologic_region_id,network_version_id,is_active,connectivity_status,has_gis,from_node,to_node
C_AMR006,arc,CH,ST,1,12,True,connected,True,,
C_CCH075,arc,CH,ST,1,12,True,connected,True,,
C_ELD012,arc,CH,ST,1,12,True,connected,True,,
C_SFA084,arc,CH,ST,1,12,True,connected,True,,
C_TRN111,arc,CH,ST,1,12,True,connected,True,,
C_BRR023,arc,CH,ST,1,12,True,connected,True,,
C_SAC003,arc,CH,ST,1,12,True,connected,True,,
C_SAC007,arc,CH,ST,1,12,True,connected,True,,
C_SAC017,arc,CH,ST,1,12,True,connected,True,,
C_SAC022,arc,CH,ST,1,12,True,connected,True,,
C_SAC029a,arc,CH,ST,1,12,True,connected,True,,
C_SAC036,arc,CH,ST,1,12,True,connected,True,,
C_SAC048,arc,CH,ST,1,12,True,connected,True,,
C_BRR031,arc,CH,ST,1,12,True,connected,True,,
R_22_SA2_SAC083,arc,RT,,1,12,True,connected,True,,
D_FTR003_22_SA2,arc,D,,1,12,True,connected,True,,
R_17S_SA_SAC085,arc,RT,,1,12,True,connected,True,,
D_FTR003_17S_SA,arc,D,,1,12,True,connected,True,,
C_MCD009,arc,CH,ST,2,12,True,connected,True,,
C_KLR006,arc,CH,CL,1,12,True,connected,True,,
C_AMR007,arc,CH,ST,1,12,True,connected,True,,
C_MFA001,arc,CH,ST,1,12,True,connected,True,,
D_WEC005_11_SA1,arc,D,CL,1,12,True,connected,True,,
D_WEC005_BTC032,arc,D,CL,1,12,True,connected,True,,
C_ASL013,arc,CH,ST,2,12,True,connected,True,,
C_BRS018,arc,CH,ST,2,12,True,connected,True,,
R_RFS72B_SJR106,arc,RT,,2,12,True,connected,True,,
R_RFS72B_MSN004,arc,RT,,2,12,True,connected,True,,
C_SJR053b,arc,CH,ST,1,12,True,connected,True,,
R_TCWWTP_OMR039,arc,RT,,2,12,True,connected,True,,
D_EBP048_63_PR3,arc,D,,2,12,True,connected,True,,
C_NFA022,arc,CH,ST,1,12,True,connected,True,,
C_MFA023,arc,CH,ST,1,12,True,connected,True,,
D_RVC005_11_PR,arc,D,CL,1,12,True,connected,True,,
D_JBC002_RVC005,arc,D,CL,1,12,True,connected,True,,
C_WLF021,arc,CH,ST,1,12,True,connected,True,,
I_WBF015,arc,IN,LI,1,12,True,connected,True,,
C_RVC000,arc,CH,CL,1,12,True,connected,True,,
D_WEC005_11_PR,arc,D,,1,12,True,connected,True,,
C_BSL001b,arc,CH,ST,1,12,True,connected,True,,
R_08N_PA_CBD044,arc,RT,,1,12,True,connected,True,,
D_CBD049_08N_PA,arc,D,,1,12,True,connected,True,,
D_KLR005_21_PA,arc,D,,1,12,True,connected,True,,
R_21_PA_YBP032,arc,RT,,1,12,True,connected,True,,
D_MNRRH_13_NU2,arc,D,,1,12,True,connected,True,,
C_TTC002,arc,CH,CL,1,12,True,connected,True,,
C_FTR068,arc,CH,ST,1,12,True,connected,True,,
D_FTR021_16_SA,arc,D,,1,12,True,connected,True,,
C_SFA030,arc,CH,ST,1,12,True,connected,True,,
C_SAC053,arc,CH,ST,1,12,True,connected,True,,
C_SAC057,arc,CH,ST,1,12,True,connected,True,,
C_SAC061,arc,CH,ST,1,12,True,connected,True,,
D_WTPJAC_NAPA,arc,D,,1,12,True,connected,True,,
C_SAC063,arc,CH,ST,1,12,True,connected,True,,
C_SAC065,arc,CH,ST,1,12,True,connected,True,,
C_SAC074,arc,CH,ST,1,12,True,connected,True,,
C_SAC076,arc,CH,ST,1,12,True,connected,True,,
C_SAC078,arc,CH,ST,1,12,True,connected,True,,
C_SAC082,arc,CH,ST,1,12,True,connected,True,,
C_SAC083,arc,CH,ST,1,12,True,connected,True,,
C_SAC085,arc,CH,ST,1,12,True,connected,True,,
C_SAC091,arc,CH,ST,1,12,True,connected,True,,
C_SAC097,arc,CH,ST,1,12,True,connected,True,,
C_SAC106,arc,CH,ST,1,12,True,connected,True,,
C_SAC115,arc,CH,ST,1,12,True,connected,True,,
C_SAC120,arc,CH,ST,1,12,True,connected,True,,
C_SAC122,arc,CH,ST,1,12,True,connected,True,,
D_FOLSM_WTPEDH,arc,D,,1,12,True,connected,True,,
D_WTPEDH_ELDID,arc,D,,1,12,True,connected,True,,
R_ELDID_EDWWTP,arc,RT,,1,12,True,connected,True,,
D_WTPFBN_26N_NU4,arc,D,,1,12,True,connected,True,,
C_STS050,arc,CH,ST,2,12,True,connected,True,,
C_ABT002,arc,CH,CL,1,12,True,connected,True,,
C_ABN027,arc,CH,ST,1,12,True,connected,True,,
C_SAC129,arc,CH,ST,1,12,True,connected,True,,
C_SAC134,arc,CH,ST,1,12,True,connected,True,,
C_SAC141,arc,CH,ST,1,12,True,connected,True,,
C_SAC146,arc,CH,ST,1,12,True,connected,True,,
C_SAC154,arc,CH,ST,1,12,True,connected,True,,
C_SAC159,arc,CH,ST,1,12,True,connected,True,,
C_SAC162,arc,CH,ST,1,12,True,connected,True,,
C_SAC168,arc,CH,ST,1,12,True,connected,True,,
C_SAC174,arc,CH,ST,1,12,True,connected,True,,
C_SAC178,arc,CH,ST,1,12,True,connected,True,,
C_SAC182,arc,CH,ST,1,12,True,connected,True,,
C_SAC185,arc,CH,ST,1,12,True,connected,True,,
C_SAC193,arc,CH,ST,1,12,True,connected,True,,
C_SAC201,arc,CH,ST,1,12,True,connected,True,,
C_SAC214,arc,CH,ST,1,12,True,connected,True,,
C_SAC224,arc,CH,ST,1,12,True,connected,True,,
C_SAC240,arc,CH,ST,1,12,True,connected,True,,
C_SAC247,arc,CH,ST,1,12,True,connected,True,,
C_SAC254,arc,CH,ST,1,12,True,connected,True,,
C_SAC265,arc,CH,ST,1,12,True,connected,True,,
C_SAC269,arc,CH,ST,1,12,True,connected,True,,
C_SAC273,arc,CH,ST,1,12,True,connected,True,,
C_SAC281,arc,CH,ST,1,12,True,connected,True,,
C_SAC287,arc,CH,ST,1,12,True,connected,True,,
C_SAC289,arc,CH,ST,1,12,True,connected,True,,
C_SAC294,arc,CH,ST,1,12,True,connected,True,,
C_SAC296,arc,CH,ST,1,12,True,connected,True,,
C_SAC299,arc,CH,ST,1,12,True,connected,True,,
C_SHSTA,arc,CH,ST,1,12,True,connected,True,,
C_STN009,arc,CH,ST,1,12,True,connected,True,,
C_FTR008,arc,CH,ST,1,12,True,connected,True,,
C_SBP012,arc,CH,BP,1,12,True,connected,True,,
C_CSL005b,arc,CH,ST,1,12,True,connected,True,,
C_YUB006,arc,CH,ST,1,12,True,connected,True,,
C_YUB039,arc,CH,ST,1,12,True,connected,True,,
D_STH000_ABN027,arc,D,CL,1,12,True,connected,True,,
C_LBC001,arc,CH,CL,1,12,True,connected,True,,
C_DSC008,arc,CH,ST,2,12,True,connected,True,,
C_SFF008,arc,CH,ST,1,12,True,connected,True,,
C_SFF002,arc,CH,ST,1,12,True,connected,True,,
C_SFF039,arc,CH,ST,1,12,True,connected,True,,
C_SFF028,arc,CH,ST,1,12,True,connected,True,,
C_CSM011,arc,CH,ST,2,12,True,connected,True,,
C_SAC277,arc,CH,ST,1,12,True,connected,True,,
C_SAC250,arc,CH,ST,1,12,True,connected,True,,
C_SAC232,arc,CH,ST,1,12,True,connected,True,,
C_SAC228,arc,CH,ST,1,12,True,connected,True,,
C_SAC217,arc,CH,ST,1,12,True,connected,True,,
C_SAC195,arc,CH,ST,1,12,True,connected,True,,
C_WKYTN,arc,CH,ST,1,12,True,connected,True,,
C_CLR011,arc,CH,ST,1,12,True,connected,True,,
C_CLR009,arc,CH,ST,1,12,True,connected,True,,
C_CBD012,arc,CH,CL,1,12,True,connected,True,,
C_GCC060,arc,CH,CL,1,12,True,connected,True,,
C_FSC015,arc,CH,CL,2,12,True,connected,True,,
C_LBC010,arc,CH,CL,1,12,True,connected,True,,
C_BEC000,arc,CH,CL,1,12,True,connected,True,,
D_ABN024_24_NA1,arc,D,CL,1,12,True,connected,True,,
R_24_NA1_CCK022,arc,RT,CL,1,12,True,connected,True,,
C_BEC022,arc,CH,CL,1,12,True,connected,True,,
D_CBD001_KLR005,arc,D,,1,12,True,connected,True,,
C_JBC000,arc,CH,CL,1,12,True,connected,True,,
D_WSE004_24_NA1,arc,D,,1,12,True,connected,True,,
DA_OMR_OMR027,arc,DA,,2,12,True,connected,True,,
DA_MOK_MOK004,arc,DA,,2,12,True,connected,True,,
D_MIO023_10_NA,arc,D,,1,12,True,connected,True,,
C_CWD018,arc,CH,ST,1,12,True,connected,True,,
C_BEC024,arc,CH,CL,1,12,True,connected,True,,
C_WSE003,arc,CH,CL,1,12,True,connected,True,,
D_WBF015_MIO023,arc,D,CL,1,12,True,connected,True,,
D_MIO023_12_NU1,arc,D,,1,12,True,connected,True,,
C_CRC002,arc,CH,CL,1,12,True,connected,True,,
C_COW014,arc,CH,ST,1,12,True,connected,True,,
C_COW007,arc,CH,ST,1,12,True,connected,True,,
C_COW003,arc,CH,ST,1,12,True,connected,True,,
C_BTL006,arc,CH,ST,1,12,True,connected,True,,
C_CWD009,arc,CH,ST,1,12,True,connected,True,,
C_CWD003,arc,CH,ST,1,12,True,connected,True,,
C_PYN001,arc,CH,ST,1,12,True,connected,True,,
C_ANT010,arc,CH,ST,1,12,True,connected,True,,
C_MLC006,arc,CH,ST,1,12,True,connected,True,,
SR_02_SAC257,arc,SR,,1,12,True,connected,True,,
SR_02_CWD003,arc,SR,,1,12,True,connected,True,,
SR_02_KSWCK,arc,SR,,1,12,True,connected,True,,
C_MLC004,arc,CH,ST,1,12,True,connected,True,,
C_ELD027,arc,CH,ST,1,12,True,connected,True,,
C_ELD022,arc,CH,ST,1,12,True,connected,True,,
C_ELD017,arc,CH,ST,1,12,True,connected,True,,
C_ELD005,arc,CH,ST,1,12,True,connected,True,,
C_THM026,arc,CH,ST,1,12,True,connected,True,,
C_THM021,arc,CH,ST,1,12,True,connected,True,,
C_THM017,arc,CH,ST,1,12,True,connected,True,,
C_THM012,arc,CH,ST,1,12,True,connected,True,,
C_THM005,arc,CH,ST,1,12,True,connected,True,,
C_DRC010,arc,CH,ST,1,12,True,connected,True,,
C_DRC005,arc,CH,ST,1,12,True,connected,True,,
C_BCC012,arc,CH,ST,1,12,True,connected,True,,
