short_code,source_mask,geopackage_source_id,xml_source_id,has_spatial_data,has_connectivity_data,schematic_type,name,type,sub_type,shape_length,hydrologic_region_id,network_version_id,is_active,created_by
C_CAA024,3,4.0,5.0,True,True,arc,California Aqueduct,CH,CL,35470.6385194384,2.0,12,True,2
D_GCC065_08S_PA,3,4.0,5.0,True,True,arc,,D,,26417.6057427674,1.0,12,True,2
SR_26S_NTOMA,3,4.0,5.0,True,True,arc,,SR,,2499.99994791735,1.0,12,True,2
SLV016,3,4.0,5.0,True,True,node,SLV016,CH,STM,,1.0,12,True,2
C_DMC024,3,4.0,5.0,True,True,arc,Delta-Mendota Canal,CH,CL,8684.20930349855,2.0,12,True,2
SR_23_ABN000,3,4.0,5.0,True,True,arc,,SR,,2500.00003252676,1.0,12,True,2
C_MOK028,3,4.0,5.0,True,True,arc,Mokelumne River,CH,ST,10174.6427803222,2.0,12,True,2
OMR021,3,4.0,5.0,True,True,node,OMR021,CH,STM,,1.0,12,True,2
C_RLLNS,3,4.0,5.0,True,True,arc,Bear River,CH,ST,204.326154112888,1.0,12,True,2
C_GCC007,3,4.0,5.0,True,True,arc,Glenn Colusa Canal,CH,CL,4828.03195601187,1.0,12,True,2
I_THM028,3,4.0,5.0,True,True,arc,,IN,LI,7500.0000124589,1.0,12,True,2
C_CSM035,3,4.0,5.0,True,True,arc,Cosumnes River,CH,ST,3344.50155152495,2.0,12,True,2
C_PTH021,3,4.0,5.0,True,True,arc,Putah Creek,CH,ST,2382.12822580229,1.0,12,True,2
D_PSC003_20_PA,3,4.0,5.0,True,True,arc,,D,,19003.5794999991,1.0,12,True,2
C_CCT011,3,4.0,5.0,True,True,arc,Clear Creek Tunnel Outfall,CH,CL,126.974539596145,1.0,12,True,2
C_NLL016,3,4.0,5.0,True,True,arc,North Channel Little Last Chance Creek,CH,ST,25315.6110836308,1.0,12,True,2
D_STN004_GCC007,3,4.0,5.0,True,True,arc,,D,HIS,1984.51320000086,1.0,12,True,2
LBC043,3,4.0,5.0,True,True,node,LBC043,CH,CNL,,1.0,12,True,2
SFA035,3,4.0,5.0,True,True,node,SFA035,CH,STM,,1.0,12,True,2
SR_72_MSN004,3,4.0,5.0,True,True,arc,,SR,,2500.00005999017,2.0,12,True,2
C_SAC299,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,4634.64143187482,1.0,12,True,2
CT_YOLO,3,4.0,5.0,True,True,arc,,CT,,7500.00000251896,1.0,12,True,2
C_FTR030,3,4.0,5.0,True,True,arc,Feather River,CH,ST,2341.12752007736,1.0,12,True,2
72_NA2,3,4.0,5.0,True,True,node,72_NA2,NP,A,,2.0,12,True,2
