id,calsim_id,name,description,reservoir_entity_id,variable_type,is_aggregate,aggregated_variable_ids,trigger_threshold,unit_id,temporal_scale_id,variable_version_id,variable_id,created_by,updated_by
1,S_ALMNR,Almanor Reservoir Storage,Lake Almanor storage,1,storage,false,,,1,3,1,94227a04-2b84-42e7-9d13-993eaa10edf7,1,
2,S_ALOHA,Aloha Reservoir Storage,Aloha Lake storage,2,storage,false,,,1,3,1,c2871e12-d412-4fce-83da-6cfe31290aef,1,
3,S_ALPNE,Alpine Reservoir Storage,Alpine Lake storage,3,storage,false,,,1,3,1,297f6ffb-ae12-4f21-99a6-dba3b77bb70f,1,
4,S_AMADR,Amador Reservoir Storage,Amador Lake storage,4,storage,false,,,1,3,1,d89aab01-fa9a-4570-81eb-e96ac0c5e617,1,
5,S_ANTLP,Antelope Reservoir Storage,Antelope Lake storage,5,storage,false,,,1,3,1,d368df93-df07-42d3-828c-7cb7a7f855c9,1,
6,S_BEARD,Beardsley Reservoir Storage,Beardsley Lake storage,6,storage,false,,,1,3,1,b0f582b0-f7cf-47a1-bf29-de011c232964,1,
7,S_BLKBT,Black Butte Reservoir Storage,Black Butte Lake storage,7,storage,false,,,1,3,1,2441bc7a-3f7d-4f8b-bf4d-d31701a7f232,1,
8,S_BLUMD,Blue Lakes Storage,Upper and Lower Blue Twin Meadow storage,8,storage,false,,,1,3,1,1c364294-0795-4770-80ee-251fa5c6753e,1,
9,S_BOWMN,Bowman Reservoir Storage,Bowman Lake storage,9,storage,false,,,1,3,1,b8948b52-1e46-4f44-9f65-2dc106aa06ea,1,
10,S_BRYSA,Berryessa Reservoir Storage,Lake Berryessa storage,10,storage,false,,,1,3,1,07dc55c6-95bd-487a-8816-16039d8e05a4,1,
11,S_BTVLY,Butt Valley Reservoir Storage,Butt Valley Reservoir storage,11,storage,false,,,1,3,1,b1dfa8ac-e413-4d34-be34-4df876c1b42a,1,
12,S_BUCKS,Bucks Lake Storage,Bucks Lake storage,12,storage,false,,,1,3,1,991d8764-ba94-4ef4-ab30-d00c4fdfca15,1,
13,S_CAPLS,Caples Lake Storage,Caples Lake storage,13,storage,false,,,1,3,1,f85c290d-6177-417c-a5b8-1e1e4f473db4,1,
14,S_CLRLK,Clear Lake Storage,Clear Lake storage,14,storage,false,,,1,3,1,650d85c8-65a7-4dff-a913-e09ae86fd791,1,
15,S_CMBIE,Combie Reservoir Storage,Combie Lake storage,15,storage,false,,,1,3,1,2de3cd57-ae12-465a-bf89-5c17975d34a6,1,
16,S_CMCHE,Camanche Reservoir Storage,Camanche Lake storage,16,storage,false,,,1,3,1,4bd50f55-d1ab-4441-9fe1-421511c51a15,1,
17,S_CMPFW,Camp Far West Storage,Camp Far West Reservoir storage,17,storage,false,,,1,3,1,d5a12b57-d678-4d95-8940-61f06af8f0b0,1,
18,S_CSTIC,Castaic Lake Storage,Castaic Lake storage,85,storage,false,,,1,3,1,6f16e6bc-e953-4ad2-9779-bd3283d69efd,1,
19,S_DAVIS,Davis Reservoir Storage,Davis Reservoir storage,18,storage,false,,,1,3,1,59963e95-b315-45bb-827c-394e189c8fa6,1,
20,S_DELVE,Del Valle Storage,Del Valle Reservoir storage,86,storage,false,,,1,3,1,09222e21-0984-4a6f-bf4c-899b0f5c9cf4,1,
21,S_DONLL,Donnell Reservoir Storage,Donnell Lake storage,19,storage,false,,,1,3,1,0842736a-d05b-4a79-bde4-62b522b35d7f,1,
22,S_EBTML,EBMUD Terminal Storage,EBMUD terminal reservoirs storage,21,storage,false,,,1,3,1,9e33183f-1d64-4c31-a358-c8ba099e8c52,1,
23,S_ECHOL,Echo Lake Storage,Echo Lake storage,22,storage,false,,,1,3,1,4a62515d-43b8-4586-ac02-780aab7f528c,1,
