scenario_id,operation_id
1,20
1,10
1,23
1,24
1,25
1,26
1,27
2,20
2,10
2,23
2,24
2,25
2,26
2,27
3,20
3,22
3,23
3,24
3,25
3,26
3,27
4,19
4,22
4,23
4,24
4,25
4,26
4,27
5,19
5,10
5,23
5,24
5,25
5,26
5,27
6,20
6,10
6,11
6,24
6,25
6,26
6,27
7,20
7,10
7,13
7,24
7,25
7,26
7,27
8,20
8,10
8,23
8,24
8,17
8,26
8,27
9,20
9,10
9,11
9,24
9,25
9,26
9,27
10,20
10,10
10,13
10,24
10,25
10,26
10,27
11,20
11,10
11,23
11,24
11,16
11,26
11,27
12,20
12,10
12,23
12,24
12,18
12,26
12,27
13,20
13,10
13,13
13,24
13,17
13,26
13,27
14,20
14,10
14,13
14,24
14,18
14,26
14,27
15,21
15,10
15,23
15,24
15,25
15,7
15,28
16,21
16,10
16,23
16,24
16,25
16,4
16,28
17,21
17,10
17,23
17,24
17,25
17,5
17,28
18,21
18,10
18,23
18,24
18,25
18,6
18,28
19,21
19,10
19,23
19,24
19,25
19,26
19,8
20,21
20,10
20,23
20,24
20,25
20,26
20,27
20,9
21,20
21,10
21,23
21,24
21,16
21,27
22,20
22,10
22,23
22,14
22,25
22,26
22,27
