theme_id,outcome_measure_id,focus_level,analytical_emphasis,tier_relevance,created_by,created_at,updated_at,updated_by
1,1,primary,Baseline reliability assessment across all community types,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,2,primary,Comprehensive volumetric delivery tracking,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,4,primary,Agricultural economic baseline for comparison scenarios,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,5,primary,Baseline surface water allocation patterns,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,7,primary,Environmental flow baseline conditions,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,10,primary,Baseline Delta outflow patterns and variability,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,16,primary,System-wide storage baseline for drought analysis,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,19,primary,Groundwater sustainability baseline assessment,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,22,primary,Salmon population baseline for ecosystem indicators,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,7,primary,Environmental flow performance under restoration scenarios,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,8,primary,Functional flow achievement and ecosystem benefits,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,9,primary,Refuge water delivery reliability under flow constraints,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,10,primary,Enhanced outflow for estuarine ecosystem restoration,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,11,primary,Outflow restoration relative to natural conditions,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,22,primary,Salmon population response to flow restoration,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,23,primary,Population trajectory analysis under different flow scenarios,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,1,secondary,Community supply impacts of environmental flow restoration,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,5,secondary,Agricultural adaptation to environmental flow requirements,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
3,19,primary,Groundwater sustainability under agricultural transformation,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
3,20,primary,Groundwater level trends and depletion rates,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
3,21,primary,Volumetric storage changes and safe yield analysis,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
3,1,primary,Community water security under groundwater restrictions,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
3,2,primary,Urban water supply alternatives to groundwater,False,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
