scenario_short_code,tier_short_code,tier_1_value,tier_2_value,tier_3_value,tier_4_value,norm_tier_1,norm_tier_2,norm_tier_3,norm_tier_4,total_value,single_tier_level
s0011,AG_REV,64,41,13,14,0.485,0.311,0.098,0.106,132,
s0011,DELTA_ECO,,,,,,,,,,4
s0011,ENV_FLOWS,0,5,12,0,0.0,0.294,0.706,0.0,17,
s0011,FW_DELTA_USES,,,,,,,,,,2
s0011,FW_EXP,,,,,,,,,,1
s0011,GW_STOR,7,19,13,3,0.167,0.452,0.31,0.071,42,
s0011,RES_STOR,0,3,5,0,0.0,0.375,0.625,0.0,8,
s0011,WRC_SALMON_AB,,,,,,,,,,4
s0020,AG_REV,70,35,13,14,0.53,0.265,0.098,0.106,132,
s0020,CWS_DEL,87,1,0,3,0.956,0.011,0.0,0.033,91,
s0020,DELTA_ECO,,,,,,,,,,3
s0020,ENV_FLOWS,0,6,11,0,0.0,0.353,0.647,0.0,17,
s0020,FW_DELTA_USES,,,,,,,,,,2
s0020,FW_EXP,,,,,,,,,,1
s0020,GW_STOR,8,16,13,5,0.19,0.381,0.31,0.119,42,
s0020,RES_STOR,0,3,4,1,0.0,0.375,0.5,0.125,8,
s0020,WRC_SALMON_AB,,,,,,,,,,4
s0021,AG_REV,70,35,13,14,0.53,0.265,0.098,0.106,132,
s0021,CWS_DEL,83,1,0,7,0.912,0.011,0.0,0.077,91,
s0021,DELTA_ECO,,,,,,,,,,3
s0021,ENV_FLOWS,0,6,11,0,0.0,0.353,0.647,0.0,17,
s0021,FW_DELTA_USES,,,,,,,,,,2
s0021,FW_EXP,,,,,,,,,,1
s0021,GW_STOR,8,16,13,5,0.19,0.381,0.31,0.119,42,
s0021,RES_STOR,0,3,4,1,0.0,0.375,0.5,0.125,8,
s0021,WRC_SALMON_AB,,,,,,,,,,4
s0023,CWS_DEL,87,1,0,3,0.956,0.011,0.0,0.033,91,
s0024,CWS_DEL,86,2,0,3,0.945,0.022,0.0,0.033,91,
s0025,CWS_DEL,86,2,0,3,0.945,0.022,0.0,0.033,91,
s0027,CWS_DEL,86,2,0,3,0.945,0.022,0.0,0.033,91,
s0029,CWS_DEL,80,5,3,3,0.879,0.055,0.033,0.033,91,
s0023,AG_REV,64,42,11,15,0.485,0.318,0.083,0.114,132,
s0024,AG_REV,64,42,11,15,0.485,0.318,0.083,0.114,132,
s0025,AG_REV,72,36,10,14,0.545,0.273,0.076,0.106,132,
s0027,AG_REV,74,32,12,14,0.561,0.242,0.091,0.106,132,
s0029,AG_REV,57,35,16,24,0.432,0.265,0.121,0.182,132,
s0023,DELTA_ECO,,,,,,,,,,3
s0024,DELTA_ECO,,,,,,,,,,3
s0025,DELTA_ECO,,,,,,,,,,3
s0027,DELTA_ECO,,,,,,,,,,3
s0029,DELTA_ECO,,,,,,,,,,3
s0023,FW_DELTA_USES,,,,,,,,,,2
s0024,FW_DELTA_USES,,,,,,,,,,3
s0025,FW_DELTA_USES,,,,,,,,,,2
s0027,FW_DELTA_USES,,,,,,,,,,2
s0029,FW_DELTA_USES,,,,,,,,,,1
s0023,FW_EXP,,,,,,,,,,1
s0024,FW_EXP,,,,,,,,,,1
s0025,FW_EXP,,,,,,,,,,1
s0027,FW_EXP,,,,,,,,,,1
s0029,FW_EXP,,,,,,,,,,1
s0023,RES_STOR,0,3,4,1,0.0,0.375,0.5,0.125,8,
s0024,RES_STOR,0,3,4,1,0.0,0.375,0.5,0.125,8,
s0025,RES_STOR,0,4,4,0,0.0,0.5,0.5,0.0,8,
s0027,RES_STOR,0,4,4,0,0.0,0.5,0.5,0.0,8,
s0029,RES_STOR,0,1,4,3,0.0,0.125,0.5,0.375,8,
s0023,GW_STOR,13,11,8,10,0.31,0.262,0.19,0.238,42,
s0024,GW_STOR,13,10,9,10,0.31,0.238,0.214,0.238,42,
s0025,GW_STOR,6,16,17,3,0.143,0.381,0.405,0.071,42,
s0027,GW_STOR,5,18,17,2,0.119,0.429,0.405,0.048,42,
s0029,GW_STOR,7,16,14,5,0.167,0.381,0.333,0.119,42,
s0023,WRC_SALMON_AB,,,,,,,,,,4
s0024,WRC_SALMON_AB,,,,,,,,,,4
s0029,WRC_SALMON_AB,,,,,,,,,,4
