,scenario,region,tier
0,s0011,02_NA,2
1,s0011,02_PA,4
2,s0011,02_SA,1
3,s0011,03_NA,1
4,s0011,03_PA,2
5,s0011,03_SA,1
6,s0011,04_NA,2
7,s0011,04_PA1,4
8,s0011,04_PA2,4
9,s0011,05_NA,2
10,s0011,06_NA,1
11,s0011,06_PA,3
12,s0011,07N_NA,1
13,s0011,07N_PA,4
14,s0011,07S_NA,1
15,s0011,07S_PA,4
16,s0011,08N_NA,1
17,s0011,08N_PA,2
18,s0011,08N_SA1,2
19,s0011,08N_SA2,2
20,s0011,08S_NA1,1
21,s0011,08S_NA2,1
22,s0011,08S_PA,2
23,s0011,08S_SA1,1
24,s0011,08S_SA2,2
25,s0011,08S_SA3,2
26,s0011,09_NA,2
27,s0011,09_SA1,3
28,s0011,09_SA2,1
29,s0011,10_NA,4
30,s0011,11_NA,2
31,s0011,11_SA1,2
32,s0011,11_SA2,2
33,s0011,11_SA3,2
34,s0011,11_SA4,2
35,s0011,12_NA,1
36,s0011,12_SA,1
37,s0011,13_NA,1
38,s0011,14_NA,1
39,s0011,15N_NA1,1
40,s0011,15N_NA2,2
41,s0011,15N_SA,1
42,s0011,15S_NA1,1
43,s0011,15S_NA2,2
44,s0011,15S_SA,2
45,s0011,16_NA1,1
46,s0011,16_NA2,1
47,s0011,16_PA,4
48,s0011,16_SA,2
49,s0011,17N_NA,1
50,s0011,17S_NA,2
51,s0011,17S_SA,1
52,s0011,18_NA,1
53,s0011,18_SA,2
54,s0011,19_SA,2
55,s0011,20_NA1,3
56,s0011,20_NA2,1
57,s0011,20_PA,1
58,s0011,21_NA,1
59,s0011,21_PA,3
60,s0011,21_SA,1
61,s0011,22_NA,1
62,s0011,22_SA1,1
63,s0011,22_SA2,1
64,s0011,23_NA,2
65,s0011,24_NA1,2
66,s0011,24_NA2,2
67,s0011,24_NA3,1
68,s0011,25_NA,2
69,s0011,25_PA1,2
70,s0011,25_PA2,1
71,s0011,26N_NA,1
72,s0011,26S_NA,1
73,s0011,50_PA1,4
74,s0011,50_PA2,1
75,s0011,60N_NA1,1
76,s0011,60N_NA2,1
77,s0011,60N_NA3,2
78,s0011,60N_NA4,2
79,s0011,60N_NA5,2
80,s0011,60S_NA1,1
81,s0011,60S_NA2,1
82,s0011,60S_PA1,2
83,s0011,60S_PA2,3
84,s0011,61_NA1,1
85,s0011,61_NA2,2
86,s0011,61_NA3,1
87,s0011,61_NA4,1
88,s0011,61_NA5,1
89,s0011,61_NA6,1
90,s0011,61_PA1,3
91,s0011,61_PA2,2
