scenario,02_PU,02_SU,03_PU1,03_PU2,03_SU,11_NU1,12_NU1,13_NU1,16_PU,20_NU1,21_PU,24_NU1,24_NU2,24_NU3,25_PU,26N_NU1,26N_NU2,26N_NU3,26N_PU1,26N_PU2,26N_PU3,26S_NU1,26S_PU1,26S_PU2,26S_PU4,26S_PU5,26S_PU6,50_PU,60N_NU2,60S_NU1,61_NU2,90_PU,ACFC,AMADR,AMCYN,ANTOC,BNCIA,CCWD,CSB038,CSB103,CSPSO,EBMUD,ELDID_NU1,ELDID_NU2,ELDID_NU3,ESB324,ESB347,ESB355,ESB414,ESB420,FRFLD,GDPUD_NU,GRSVL,JLIND,KCWA,MHILL_NU,MWD,NAPA,NAPA2,PCWA3,PLMAS,SBA029,SBA036,SBCWD,SCVWD,SUISN,SVWRD,TLMNE,TVAFB,UNION,UPANG,VLLJO,WLDWD,WSB032
s0011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.14457920792079,1.0,1.0,1.726,1.0,3.0980198019802,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.9405,1.0,1.0,3.85522277227723,1,1.0,1.0,1.594,3.49009900990099,1,1.0,1.0,1,1,4.41413366336634,3.2450495049505,2.5445,1.0,1,1,1.0,3.1960396039604,3.49009900990099,3.0490099009901,3.0490099009901,1.0,1,1.0,2.198,1.0,3.1470297029703,1,3.44108910891089,1,1.0,1.0,3.0980198019802,3.63712871287129,3.49009900990099,1.0,1.0,3.0490099009901,3.68613861386139,1,1.0,1.594,1.594,2.198,1.858,3.0980198019802
s0020,1.0,1.825,1.198,2.198,1.0,1.0,1.0,1.0,1.0,2.21809405940594,1.0,1.0,1.693,1.0,3.0980198019802,4.41413366336634,1.0,1.0,1.594,1.0,1.0,1.0,1.0,1.0,3.09556930693069,1.0,1.0,3.73514851485149,1,1.0,1.0,1.825,3.49009900990099,1,1.0,1.0,1,1,4.42638613861386,3.29405940594059,2.5445,1.0,1,1,1.0,3.2450495049505,3.53910891089109,3.0490099009901,3.0490099009901,1.165,1,1.0,2.198,1.0,3.2450495049505,1,3.49009900990099,1,1.0,1.0,3.0980198019802,3.68613861386139,3.53910891089109,1.0,1.0,3.0980198019802,3.68613861386139,1,1.0,1.594,1.594,2.297,1.858,3.1470297029703
s0021,1.0,1.825,1.891,2.198,1.297,1.0,1.0,1.0,1.0,2.24259900990099,1.0,1.0,1.693,1.0,3.1470297029703,4.41413366336634,1.0,1.0,2.1485,1.0,1.0,1.0,1.0,1.0,3.1960396039604,1.0,1.0,3.70819306930693,1,1.0,1.0,1.0,3.49009900990099,1,1.0,1.0,1,1,4.40188118811881,3.29405940594059,2.5445,1.0,1,1,1.0,3.2450495049505,3.53910891089109,3.0490099009901,3.0490099009901,1.0,1,1.0,2.198,1.0,3.2450495049505,1,3.44108910891089,1,1.0,1.0,3.0980198019802,3.68613861386139,3.63712871287129,1.0,1.0,3.0980198019802,3.68613861386139,1,1.0,1.594,1.594,2.198,1.858,3.0980198019802
s0023,1.0,2.0495,2.198,2.9405,1.0,1.0,1.0,1.0,1.0,2.29160891089109,1.0,1.0,1.693,1.0,3.1470297029703,4.32346534653465,1.0,1.0,1.594,1.0,1.0,1.0,1.0,1.0,3.58811881188119,3.44108910891089,1.0,3.88217821782178,1,1.297,1.0,1.858,3.34306930693069,1,1.0,1.0,1,1,4.42638613861386,3.34306930693069,2.5445,1.0,1,1,1.0,3.2450495049505,3.39207920792079,3.0980198019802,3.0980198019802,1.0,1,1.0,1.132,1.0,3.2450495049505,1,3.34306930693069,1,1.0,1.0,3.0980198019802,3.49009900990099,3.34306930693069,1.957,1.0,3.0980198019802,3.58811881188119,1,1.0,1.594,1.594,1.0,1.858,3.0980198019802
s0024,1.0,1.066,1.88217821782178,1.78415841584158,1.0,1.0,1.0,1.0,1.0,2.24259900990099,1.0,1.0,1.693,1.0,3.1470297029703,4.32346534653465,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,3.63712871287129,3.44108910891089,1.0,3.78415841584158,1,1.297,1.0,2.8415,3.39207920792079,1,1.0,1.0,1,1,4.42638613861386,3.39207920792079,2.5445,1.0,1,1,1.0,3.2450495049505,3.44108910891089,3.0980198019802,3.0980198019802,1.0,1,1.0,1.132,1.0,3.29405940594059,1,3.39207920792079,1,1.0,1.0,3.0980198019802,3.49009900990099,3.39207920792079,2.297,1.0,3.0980198019802,3.58811881188119,1,1.0,1.594,1.594,1.0,1.858,3.0980198019802
s0025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.09556930693069,1.0,1.0,1.693,1.0,3.0980198019802,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.9405,1.0,1.0,3.68368811881188,1,1.0,1.0,1.0,3.44108910891089,1,1.0,1.0,1,1,4.42638613861386,3.2450495049505,2.5445,1.0,1,1,1.0,3.1960396039604,3.44108910891089,3.0490099009901,3.0490099009901,1.0,1,1.0,2.198,1.0,3.0980198019802,1,3.39207920792079,1,1.0,1.0,3.0980198019802,3.58811881188119,3.44108910891089,1.0,1.0,3.0980198019802,3.68613861386139,1,1.0,1.594,1.594,1.891,1.858,3.0980198019802
s0026,1.0,1.066,1.198,1.132,1.0,1.0,1.0,1.0,1.0,2.16908415841584,1.0,1.0,1.693,1.0,3.0980198019802,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.9405,1.0,1.0,3.65918316831683,1,1.0,1.0,1.0,3.44108910891089,1,1.0,1.0,1,1,4.47539603960396,3.34306930693069,2.5445,1.0,1,1,1.0,3.1960396039604,3.44108910891089,3.0490099009901,2.9405,1.0,1,1.0,2.198,1.0,3.1470297029703,1,3.34306930693069,1,1.0,1.0,3.0980198019802,3.58811881188119,3.49009900990099,1.0,1.0,3.0980198019802,3.63712871287129,1,1.0,1.594,1.594,2.297,1.858,3.1470297029703
s0027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.693,1.0,1.0,1.759,2.396,3.0980198019802,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.9405,1.0,1.0,3.68368811881188,1,1.0,1.0,1.0,3.39207920792079,1,1.0,1.0,1,1,4.41413366336634,3.2450495049505,3.0490099009901,1.0,1,1,1.0,3.1960396039604,3.39207920792079,3.0980198019802,3.0490099009901,1.0,1,1.0,2.198,1.0,3.1470297029703,1,3.39207920792079,1,3.0490099009901,1.0,3.0980198019802,3.53910891089109,3.44108910891089,1.0,1.0,3.0980198019802,3.63712871287129,1,1.0,1.594,1.594,2.0495,1.858,3.1470297029703
s0028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.09556930693069,1.0,1.0,1.693,1.0,2.9405,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.9405,1.0,1.0,3.58566831683168,1,1.0,1.0,1.0,3.34306930693069,1,1.0,1.0,1,1,4.57341584158416,3.29405940594059,1.33,1.0,1,1,1.0,3.1960396039604,3.34306930693069,3.0980198019802,3.0490099009901,1.0,1,1.0,1.0,1.0,3.0980198019802,1,3.39207920792079,1,1.0,1.0,3.0980198019802,3.53910891089109,3.44108910891089,1.0,1.0,2.594,3.49009900990099,1,1.0,1.594,1.594,1.528,1.858,3.1470297029703
s0030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.726,1.0,1.0,1.693,1.0,3.0980198019802,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.495,1.0,1.0,3.61017326732673,1,1.0,1.0,1.0,3.44108910891089,1,1.0,1.0,1,1,4.62242574257426,3.2450495049505,1.825,1.0,1,1,1.0,3.0980198019802,3.44108910891089,3.1470297029703,2.7425,1.0,1,1.0,1.0,1.0,3.0980198019802,1,3.49009900990099,1,1.0,1.0,1.0,3.49009900990099,3.49009900990099,1.0,1.0,3.0490099009901,3.58811881188119,1,1.0,1.594,1.594,1.726,2.3465,3.1470297029703
s0031,1.0,3.63712871287129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.16908415841584,1.0,1.0,1.693,1.0,3.1470297029703,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.9405,1.0,1.0,4.58566831683168,1,1.0,3.0980198019802,1.0,3.1470297029703,1,1.0,1.0,1,1,4.65918316831683,3.0490099009901,2.5445,1.0,1,1,1.0,2.594,3.1470297029703,1.891,1.033,1.0,1,1.0,2.198,1.0,2.396,1,3.1470297029703,1,1.0,1.0,3.0980198019802,3.2450495049505,3.1960396039604,1.0,1.0,3.0980198019802,3.29405940594059,1,1.0,1.594,1.594,2.0,1.858,3.0490099009901
s0032,3.2450495049505,3.1470297029703,3.1470297029703,3.1960396039604,3.0980198019802,1.165,1.0,1.0,1.0,1.98019801980198,1.0,1.0,1.693,1.0,3.0490099009901,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.9405,1.0,1.0,4.92873762376238,1,1.0,3.0490099009901,1.0,3.34306930693069,1,1.0,1.0,1,1,4.46314356435644,3.0980198019802,1.825,1.099,1,1,1.0,3.0490099009901,3.34306930693069,3.0490099009901,2.8415,1.0,1,1.0,1.0,1.0,3.0490099009901,1,3.34306930693069,1,1.0,1.0,3.0980198019802,3.53910891089109,3.34306930693069,1.0,1.0,3.0490099009901,3.68613861386139,1,1.0,1.594,1.594,1.924,1.858,3.0980198019802
s0033,1.0,3.63712871287129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.09556930693069,1.0,1.0,1.693,1.0,3.0490099009901,4.41413366336634,1.0,1.0,1.495,1.0,1.0,1.0,1.0,1.0,2.9405,1.0,1.0,4.58566831683168,1,1.0,3.0490099009901,1.0,3.0490099009901,1,1.0,1.0,1,1,4.65918316831683,2.4455,2.5445,1.0,1,1,1.0,1.297,3.0490099009901,1.0,1.0,1.0,1,1.0,1.0,1.0,1.132,1,3.0490099009901,1,1.0,1.0,3.0980198019802,3.0980198019802,3.0490099009901,1.0,1.0,3.0490099009901,3.1470297029703,1,1.0,1.594,1.594,2.0,1.858,3.0490099009901
s0035,1.0,1.429,1.198,1.0,1.0,1.0,1.0,1.0,1.0,2.19358910891089,1.0,1.0,1.693,1.0,3.0980198019802,4.41413366336634,1.0,1.0,1.594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0490099009901,1,1.0,1.0,1.0,2.792,1,1.0,1.0,1,1,4.57831683168317,2.891,2.5445,1.0,1,1,1.0,2.5445,3.63712871287129,1.0,1.0,1.0,1,1.0,2.198,1.0,2.099,1,2.6435,1,1.0,1.0,3.0980198019802,2.6435,2.6435,1.0,1.0,3.0980198019802,2.8415,1,1.0,1.594,1.594,1.792,1.858,1.198
