scenario,NDO
s0011,3.174701052
s0020,3.219762579
s0021,3.216241781
s0023,3.208176619
s0024,3.202084934
s0025,3.184890879
s0026,3.183119745
s0027,3.169619261
s0028,3.158542216
s0030,3.015727993
s0031,3.151609953
s0032,3.014716784
s0033,3.101270265
s0035,3.199004171
s0037,3.200615461
s0039,3.061305203
s0040,3.143036358
s0041,3.124181465
s0042,3.105131909
s0044,3.183119745
s0045,3.175739894
s0046,3.110618708
s0065,3.233246029
s0047,3.199263141
s0048,3.187313236
s0049,3.207165852
s0050,3.198166474
s0051,3.191395356
s0062,3.143371325
s0067,3.136214613
s0068,3.15076471
s0069,3.128778852
s0071,2.938954454
s0072,3.080430826
s0073,3.018139481
s0074,3.188942301
s0075,3.145634717
s0077,3.158289136
s0078,3.011587597
s0079,3.095251364
s0080,3.071883532
s0081,3.022350986
s0082,3.144243557
s0083,3.135854374
s0084,3.113912588
s0085,3.250952796
s0100,3.179927886
s0101,3.17385557
s0102,3.283839329
s0103,3.293019747
s0104,3.165875624
s0105,3.322446882
s0056,3.321531195
s0057,3.295690118
s0058,3.330668907
s0059,3.307812897
s0060,3.301017736
s0063,3.268215707
s0087,3.184890879
s0088,3.285389511
s0089,3.239058028
s0091,3.021621386
s0092,3.191453785
s0093,3.093124862
s0094,3.159028918
s0095,3.29660544
s0097,3.29660544
s0098,3.159486704
s0099,3.19632269
s0107,3.664299956
s0108,3.602739434
s0109,3.597289684
s0110,3.66110195
s0111,3.664299956
s0112,3.54890196
s0113,3.585355819
s0114,3.541984166
s0115,3.585355819
s0117,3.209607486
s0118,3.517883609
s0119,3.367834305
s0120,3.500851048
s0121,3.609682176
s0123,3.605121108
s0124,3.475399284
s0125,3.544078034
s0126,3.493716829
s0127,3.485062781
s0128,3.528561779
s0129,3.592007581
s0130,3.470069845
s0131,3.660715566
s0133,2.933747765
s0134,2.942455052
s0135,2.946297562
s0136,2.914002738
s0137,2.89631529
s0138,2.89421197
s0139,2.88297077
s0140,2.881387111
s0141,2.834457959
s0143,2.719438718
s0144,2.915000251
s0145,2.770651451
s0146,2.86214637
s0147,2.91111185
s0149,2.944594834
s0150,2.809794954
s0151,2.840094011
s0152,2.835328808
s0153,2.819160245
s0154,2.878634522
s0155,2.922493115
s0156,2.870583929
s0157,2.958542132
