scenario,AMR004,TRN111,FTR029,FTR003,MOK028,MCD005,SAC000,SAC049,SAC122,SAC148,SAC257,SJR127,SAC289,SJR070,STS011,TUO003,YUB002
s0011,3.09,4.48,4.2,4.32,4.6,4.73,3.0,3.0,3.09,3.0,4.18,4.84,3.09,3.0,2.64,4.67,3.46
s0020,2.27,3.27,4.02,2.27,4.45,4.16,2.55,2.18,2.27,2.27,1.17,4.7,1.66,2.46,2.0,2.73,2.27
s0021,3.09,4.49,4.26,4.32,4.6,4.7,3.0,3.0,3.18,3.09,4.19,4.98,3.27,3.0,2.73,4.56,3.18
s0023,2.18,3.27,4.01,2.27,4.45,4.11,2.36,2.09,2.18,1.83,1.17,4.68,1.83,2.46,2.0,4.2,2.46
s0024,2.55,3.27,4.02,2.27,4.45,4.11,2.55,2.18,2.18,1.83,1.17,4.68,1.66,2.46,2.0,4.21,2.46
s0025,2.27,3.27,4.04,2.27,4.46,4.12,2.46,2.18,2.18,2.18,1.17,4.6,2.09,2.36,2.0,2.82,4.0
s0026,3.09,4.49,4.26,4.28,4.6,4.24,3.0,3.0,3.09,3.0,4.18,4.89,3.09,2.82,2.64,4.39,3.27
s0027,2.27,3.27,4.04,2.27,4.46,4.12,2.46,2.18,2.27,2.18,1.17,4.6,2.09,2.36,2.0,2.46,4.0
s0028,3.09,4.45,4.28,4.27,4.6,4.24,3.0,3.0,3.09,3.0,4.17,4.89,3.09,2.82,2.55,4.37,3.27
s0030,4.13,4.98,4.54,4.12,4.54,4.7,2.18,1.0,3.64,3.18,4.16,4.98,3.18,3.0,1.5,4.58,2.0
s0031,3.09,4.53,4.27,2.73,4.6,2.36,3.0,2.73,3.09,3.0,4.16,4.91,3.18,2.27,4.32,4.65,2.73
s0032,2.0,1.33,1.33,1.0,2.09,1.5,1.33,1.0,1.33,1.0,1.17,2.27,1.5,1.0,1.17,1.66,4.0
s0033,3.09,4.51,4.26,2.73,4.59,2.27,3.0,2.73,3.0,3.0,4.18,4.9,3.09,2.09,2.73,4.47,3.18
s0035,3.09,4.49,4.26,4.29,4.6,4.7,3.0,3.0,3.09,3.0,4.18,4.98,3.09,3.0,2.73,4.56,3.18
s0037,3.09,4.49,4.26,4.27,4.6,4.7,3.0,3.0,3.09,3.0,4.18,4.98,3.18,3.0,2.73,4.55,3.18
s0039,3.09,4.4,4.11,4.56,4.6,4.68,3.0,3.0,3.36,3.27,4.21,4.98,3.18,3.09,2.46,4.6,4.11
s0040,3.09,4.36,4.12,4.55,4.61,4.69,3.0,3.0,3.27,3.0,4.17,4.98,3.18,3.09,2.46,4.6,4.11
s0041,3.09,4.38,4.11,4.53,4.61,4.68,3.0,3.0,3.18,3.0,4.17,4.98,3.36,3.09,2.46,4.6,4.11
s0042,3.09,4.39,4.11,4.54,4.6,4.68,3.0,3.0,3.18,3.09,4.18,4.98,3.18,3.09,2.46,4.59,4.11
s0044,3.09,4.44,4.26,4.28,4.6,4.69,3.0,3.0,3.18,3.0,4.18,4.98,3.09,3.0,2.82,4.56,3.27
s0045,3.09,4.49,4.24,4.29,4.6,4.7,3.0,3.0,3.09,3.0,4.18,4.98,3.09,3.0,2.73,4.56,3.18
s0046,1.66,1.33,1.33,1.0,2.09,2.0,3.0,1.17,1.5,1.0,1.17,2.0,1.5,2.0,2.0,1.66,1.0
s0047,2.55,3.27,4.03,2.46,4.61,4.25,2.73,2.27,2.36,2.36,1.33,4.76,2.0,2.46,2.0,4.3,2.27
s0048,3.18,4.45,4.15,4.33,4.71,4.78,3.0,3.0,3.09,3.0,4.17,4.87,3.36,3.09,2.91,4.86,4.19
