scenario,Salinity_Export_Tier
s0002,2.495707369
s0011,2.485944835
s0020,2.719898361
s0021,2.718350978
s0022,2.304843821
s0023,2.507365014
s0024,2.496290944
s0025,2.510463853
s0026,2.31459938
s0027,2.470650311
s0028,1.989438298
s0030,2.516216322
s0031,1.320383948
s0032,3.215959511
s0033,1.001
s0035,2.449662334
s0037,2.683513331
s0039,4.269340414
s0040,4.18753588
s0041,4.2069612
s0042,4.234416183
s0044,3.169436188
s0045,2.396367367
s0046,2.864311547
s0047,3.325106958
s0048,3.315225481
s0049,3.356725769
s0050,3.165256023
s0051,3.176727506
s0056,3.832163609
s0057,3.872733217
s0058,3.882869607
s0059,3.667322087
s0060,3.654844819
s0062,3.146593916
s0063,3.569237772
s0065,1.930510694
s0067,3.153533698
s0068,3.101848688
s0069,2.886043088
s0070,3.593427728
s0071,2.878709689
s0072,2.392702818
s0073,3.558864755
s0074,2.491195958
s0075,3.200351532
s0077,3.327125817
s0078,4.354926993
s0079,4.229388494
s0080,4.254773088
s0081,4.306606125
s0082,3.739428799
s0083,3.114219588
s0084,3.302956724
s0085,3.011500678
s0087,3.583635586
s0088,3.628060427
s0089,3.425872494
s0090,3.889485024
s0091,3.221297189
s0092,2.837505658
s0093,3.843463645
s0094,2.831334319
s0095,3.717821307
s0097,3.802356129
s0098,4.407278814
s0099,4.282194384
s0100,4.314214901
s0101,4.361673193
s0102,4.028108057
s0103,3.671299697
s0104,3.6342398
s0105,3.544793917
s0107,4.127952709
s0108,4.111919459
s0109,4.121410901
s0110,4.078964491
s0111,4.077286114
s0112,4.077760815
s0113,4.108663692
s0114,4.071980287
s0115,4.107977667
s0117,4.023292842
s0118,3.338290245
s0119,4.067678883
s0120,3.448121918
s0121,4.092343346
s0123,4.108971175
s0124,4.482461788
s0125,4.352153931
s0126,4.38074403
s0127,4.42567287
s0128,4.156501882
s0129,4.09823563
s0130,4.040943497
s0131,4.05821067
