scenario,WBA2,WBA3,WBA4,WBA5,WBA6,WBA7N,WBA7S,WBA8N,WBA8S,WBA9,WBA10,WBA11,WBA12,WBA13,WBA14,WBA15N,WBA15S,WBA16,WBA17N,WBA17S,WBA18,WBA19,WBA20,WBA21,WBA22,WBA23,WBA24,WBA25,WBA26N,WBA26S,WBA50,WBA60N,WBA60S,WBA61,WBA62,WBA63,WBA64,WBA71,WBA72,WBA73,WBA90,DETAW
s0000,1.502992314,1.232166517,2.791042708,3.043169851,1.211882861,3.010773168,3.814773475,3.16223054,3.228136935,3.057140033,3.119704371,2.341910909,3.121014333,3.031472765,3.083659426,3.120141677,1.502575953,3.027323929,1.845358069,3.007352542,3.049862994,3.181491783,2.757101259,3.016978631,1.501000007,1.507156348,1.509625444,2.910708519,1.502114387,3.00664495,1.230831401,3.163538597,2.599255462,3.413760498,3.174808015,3.529140038,4.999,1.099213594,2.204192751,3.589567925,1.51497996,3.003244913
s0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s0011,3.009636253,2.018383257,2.004765194,2.040083585,2.017849593,2.014106086,1.997703135,2.010287249,1.996693765,2.096996286,2.022222737,2.035556737,2.049084556,2.057230791,2.042386362,2.048141849,3.109202714,3.017565967,2.037650368,3.020216775,3.020577994,3.073347498,2.018564393,3.003824824,3.098026735,3.342578846,3.64494553,2.023103753,3.106940298,2.059836513,1.981733908,2.000882103,1.988892969,1.990663621,3.364702947,4.999,4.999,1.910494303,1.903554599,3.339662065,4.999,2.007509904
s0020,3.007651206,1.934921671,2.010255196,1.73100832,2.278873133,2.735191059,2.148314447,2.358977456,2.138614838,1.938572425,1.975728458,1.939528943,2.275603301,2.022682673,2.578489098,2.798971323,3.530746144,3.018552712,1.941940331,3.017826472,3.017275466,3.080975573,1.771463756,3.003056352,3.113037269,3.601523276,4.999,2.184421557,3.186712147,2.595326699,2.237385115,2.906814524,2.559604659,1.933989795,3.44217278,4.999,4.999,3.007351353,3.371521146,4.999,4.999,2.360491607
s0021,3.00721468,1.931413652,2.00757468,1.724698551,2.262043198,2.724866228,2.15114527,2.349535088,2.134441265,1.917477587,1.970988669,1.931870953,2.302220201,2.011414701,2.653039439,2.891869497,3.54798275,3.017543411,1.934688035,3.016787377,3.017193743,3.078410822,1.749765769,3.00257131,3.109643592,3.604375792,4.999,2.116617333,3.177800295,2.531329055,2.214082657,2.900076042,2.561890468,1.929078515,3.440655276,4.999,4.999,3.005987347,3.366036717,4.999,4.999,2.334449331
s0022,1.503961363,1.103436151,2.222920079,1.404469162,2.458241809,2.984023766,2.97503609,2.531953174,3.452582555,1.070785994,1.204017598,2.47194779,4.999,4.999,4.999,4.999,4.999,1.501232359,1.370584448,3.367309264,3.157745902,4.999,2.623358402,1.500114245,1.501304871,1.500440554,1.500019761,2.998889776,1.500010752,2.971624546,2.309384335,3.002236024,2.968145738,3.263337322,4.999,4.999,4.999,3.137498043,2.999045218,1.500009698,3.00141565,2.962534537
s0023,1.503971753,1.178515771,2.361930918,1.37389831,2.446382373,3.004970294,2.973352591,2.408429818,3.56201938,1.077983264,1.273344143,3.173261071,4.999,4.999,4.999,4.999,4.999,1.500989306,1.642375947,3.627986608,3.204483867,4.999,2.606240299,1.500085965,1.50106189,1.500476096,1.500020401,2.999325388,1.500011351,2.962426667,2.465013177,3.002595783,3.000879652,4.999,4.999,4.999,4.999,3.137310835,2.99917281,1.500006734,3.00342605,2.964914311
s0024,1.503947407,1.184706952,2.368312372,1.383397206,2.46256803,3.012827105,2.9746691,2.428198929,3.56360723,1.085364409,1.278564353,3.18245729,4.999,4.999,4.999,4.999,4.999,1.500985744,1.656342993,3.635647787,3.204278704,4.999,2.610184592,1.500083159,1.501049575,1.500463192,1.500019822,2.999466063,1.500010787,2.963805127,2.476216152,3.002624647,3.000968809,4.999,4.999,4.999,4.999,3.137299578,2.999185578,1.500006846,3.003492589,2.966901245
s0025,3.008666303,1.95593228,2.009777991,1.758059934,2.258264546,2.718974109,2.131460304,2.358117371,2.12473069,2.085623209,1.991260694,1.956297583,2.187211732,2.063311508,2.32471435,2.403388364,3.209236787,3.015338488,1.97019978,3.019979199,3.022859243,3.081000566,1.70817616,3.002656009,3.106689314,3.483282204,4.999,2.24624406,3.177306766,3.001074993,2.655376717,3.275248646,3.188002575,3.010753139,3.221889046,3.727064532,4.999,2.918406996,2.838586336,3.410440427,4.999,2.865543527
s0026,3.008083836,1.946678446,2.004218228,1.735405217,2.229004433,2.691356547,2.120322749,2.335634846,2.118386214,2.033619293,1.982790994,1.958580096,2.181982583,2.047849387,2.363926245,2.47310173,3.3290141,3.018747269,1.969961903,3.021352262,3.023350694,3.081614786,1.758750573,3.00336162,3.107095398,3.481060199,4.999,2.17700164,3.165224328,2.614735549,1.972792857,2.811845875,2.373548593,1.962260693,1.500141884,3.118857655,1.504700301,2.316437302,2.263943377,3.263244547,4.999,2.336893802
