scenario,S_SHSTA_Storage_Tier,S_TRNTY_Storage_Tier,S_OROVL_Storage_Tier,S_FOLSM_Storage_Tier,S_MELON_Storage_Tier,S_MLRTN_Storage_Tier,S_SLUIS_CVP_Storage_Tier,S_SLUIS_SWP_Storage_Tier
s0011,1.7714285714285716,1.9571428571428573,1.9142857142857144,1.6285714285714286,1.414285714285714,3.999999,3.4375,4.076086956521739
s0020,1.842857142857143,1.9714285714285715,1.942857142857143,1.6285714285714286,1.4428571428571428,4.043478260869565,2.6818181818181825,4.054347826086956
s0021,1.842857142857143,1.9571428571428573,1.942857142857143,1.685714285714286,1.4428571428571428,4.043478260869565,2.9545454545454555,4.065217391304348
s0023,1.7142857142857144,1.8857142857142857,1.9428571428571428,1.657142857142857,1.3285714285714283,4.695652173913043,2.4090909090909096,3.4375
s0024,1.6714285714285717,1.8857142857142857,1.9285714285714288,1.5571428571428572,1.3142857142857145,4.695652173913043,2.181818181818182,3.25
s0025,1.7000000000000002,1.9,1.8142857142857145,1.585714285714286,1.4428571428571428,3.875,1.9428571428571428,3.812499999999999
s0026,1.7857142857142858,1.9142857142857144,1.8714285714285717,1.585714285714286,1.3714285714285714,3.75,1.7428571428571429,2.9545454545454546
s0027,1.685714285714286,1.9,1.7999999999999998,1.585714285714286,1.4428571428571428,3.875,1.957142857142857,3.5625
s0028,1.6571428571428573,1.8571428571428568,1.7428571428571429,1.585714285714286,1.3714285714285714,3.75,1.7000000000000002,2.5000000000000004
s0030,1.5142857142857142,1.4142857142857144,1.5571428571428572,1.3571428571428572,1.085714285714286,4.043478260869565,2.3181818181818183,4.304347826086956
s0031,1.9142857142857144,1.999999,1.8142857142857145,1.542857142857143,4.369565217391305,4.119565217391305,1.6285714285714286,1.842857142857143
s0032,4.054347826086957,4.228260869565218,4.065217391304348,4.032608695652174,4.336956521739131,4.3478260869565215,1.5571428571428574,2.545454545454546
s0033,1.8285714285714287,1.9285714285714288,1.6857142857142855,1.5142857142857142,4.119565217391305,3.875,1.2571428571428571,1.4857142857142858
s0035,1.7857142857142858,1.942857142857143,1.9,1.6142857142857143,1.4428571428571428,4.043478260869565,2.636363636363637,4.021739130434782
s0037,1.7857142857142858,1.942857142857143,1.9,1.6,1.4428571428571428,4.043478260869565,2.5000000000000004,4.0978260869565215
s0039,1.542857142857143,1.842857142857143,2.409090909090909,1.9428571428571428,1.3571428571428572,4.695652173913043,3.9375,4.0978260869565215
s0040,1.4714285714285715,1.8285714285714283,1.7000000000000002,1.6428571428571428,1.3571428571428572,4.695652173913043,2.681818181818182,2.181818181818182
s0041,1.4714285714285715,1.842857142857143,1.9285714285714288,1.7142857142857144,1.3571428571428572,4.695652173913043,2.8181818181818183,2.5000000000000004
s0042,1.5142857142857142,1.8285714285714283,2.272727272727273,1.8285714285714287,1.3571428571428572,4.695652173913043,3.5,3.125000000000001
s0044,1.685714285714286,1.8285714285714283,1.842857142857143,1.5714285714285716,1.4428571428571428,4.065217391304348,1.5285714285714285,2.863636363636364
s0045,1.7857142857142856,1.9142857142857144,1.9,1.6142857142857143,1.4428571428571428,4.043478260869565,2.363636363636364,3.937499999999999
