scenario,tier_score_cont
s0011,4.87
s0020,4.84
s0021,4.83
s0023,4.83
s0024,4.84
s0025,4.75
s0026,4.82
s0027,4.74
s0028,4.62
s0030,4.62
s0031,4.6
s0032,4.85
s0033,4.2
s0035,4.82
s0036,4.81
s0037,4.81
s0039,4.83
s0040,4.76
s0041,4.82
s0042,4.87
s0044,4.67
s0045,4.83
s0046,4.84
s0048,4.83
s0047,4.82
s0049,4.82
s0051,4.84
s0050,4.86
s0067,4.76
s0068,4.75
s0062,4.74
s0069,4.59
s0071,4.82
s0072,4.76
s0073,4.93
s0074,4.85
s0075,4.78
s0076,4.75
s0077,4.77
s0078,4.85
s0079,4.67
s0080,4.74
s0081,4.8
s0082,4.65
s0083,4.79
s0084,4.93
s0057,4.93
s0056,4.92
s0058,4.88
s0060,4.95
s0059,4.94
s0087,4.86
s0088,4.89
s0063,4.85
s0089,4.8
s0091,4.78
s0092,4.94
s0093,4.95
s0094,4.89
s0095,4.91
s0096,4.91
s0097,4.91
s0098,4.91
s0099,4.89
s0100,4.89
s0101,4.93
s0102,4.85
s0103,4.92
s0104,4.95
