Scenario,Salinity_Export_Tier
s0011,2.4859448351485085
s0020,2.719898361076358
s0020-R,2.719898361076358
s0021,2.7183509782341075
s0023,2.507365013878343
s0024,2.496290943694611
s0025,2.5104638525089205
s0026,2.314599380471917
s0027,2.470650310626118
s0028,1.9894382978073606
s0030,2.516216321876687
s0031,1.3203839480444122
s0031-R,1.3203839480444122
s0032,3.215959511271669
s0032-R,3.215959511271669
s0033,1.001
s0033-R,1.001
s0035,2.7319096747227465
s0037,2.683513330692545
s0039,4.269340414221749
s0040,4.187535880463722
s0041,4.2069611999560355
s0042,4.234416182906968
s0044,3.169436188126953
s0045,2.396367366919755
s0046,2.8643115465984783
s0046-R,2.8643115465984783
s0047,3.3251069580267774
s0047-R,3.3251069580267774
s0048,3.315225480821295
s0049,3.3567257694726327
s0050,3.1652560229817137
s0051,3.17672750637971
s0056,3.832163609433733
s0056-R,3.832163609433733
s0057,3.8727332165298267
s0058,3.88286960732148
s0059,3.6673220866375407
s0060,3.654844819408443
s0062,3.1465939158672254
s0063,3.569237772262489
s0065,1.9305106936451617
s0067,3.15353369839357
s0068,3.101848688288453
s0069,2.88604308753841
s0071,2.8787096893486566
s0072,2.3927028183898162
s0072-R,2.3927028183898162
s0073,3.558864755044687
s0073-R,3.558864755044687
s0074,2.4911959582009557
s0074-R,2.4911959582009557
s0075,3.3413982122911374
s0077,3.3271258168807636
s0078,4.354926992549493
s0079,4.229388493617063
s0080,4.254773088028197
s0081,4.306606125082734
s0082,3.7394287994339632
s0083,3.114219587669834
s0084,3.30295672387366
s0084-R,3.30295672387366
s0085,3.011500678397318
s0087,3.5836355863232114
s0088,3.6280604270355514
s0089,3.4258724941460477
s0091,3.221297188662159
s0092,2.837505657891881
s0092-R,2.837505657891881
s0093,3.843463645145092
s0093-R,3.843463645145092
s0094,2.8313343194453338
s0094-R,2.8313343194453338
s0095,3.823600738980323
s0097,3.8023561289605827
s0098,4.407278813550524
s0099,4.282194384274053
s0100,4.314214900934444
s0101,4.3616731932127095
s0102,4.028108057044401
s0103,3.67129969720983
s0104,3.634239800201618
s0104-R,3.634239800201618
s0105,3.544793917074794
s0107,4.127952708513775
s0108,4.111919459360716
s0108-R,4.111919459360716
s0109,4.121410900788571
s0110,4.078964490509048
s0111,4.077286113934523
s0112,4.0777608154776095
s0113,4.108663691773811
s0114,4.071980286784931
s0115,4.10797766732308
s0117,4.023292841920803
s0118,3.338290244948436
s0118-R,3.338290244948436
s0119,4.067678882912837
s0119-R,4.067678882912837
s0120,3.448121917920859
s0120-R,3.448121917920859
s0121,4.106179710239368
s0123,4.108971175101678
s0124,4.482461787655193
s0125,4.352153930970378
s0126,4.38074403033112
s0127,4.425672870293716
s0128,4.156501882472565
s0129,4.098235630454094
s0130,4.040943497193033
s0130-R,4.040943497193033
s0131,4.0582106697189495
s0133,3.200469196382102
s0134,3.1513424790277424
s0134-R,3.1513424790277424
s0135,3.190912949092287
s0136,2.981571765157826
s0137,2.979170445127961
s0138,3.032727956325926
s0139,2.9875711617616516
s0140,2.9745124079945713
s0141,2.715548268765726
s0143,2.736639077482083
s0144,2.787064811451116
s0144-R,2.787064811451116
s0145,3.3083668006678946
s0145-R,3.3083668006678946
s0146,2.4774728478090093
s0146-R,2.4774728478090093
s0147,3.015263074019657
s0149,3.134091028197844
s0150,4.315768253379956
s0151,4.233563490304198
s0152,4.2467567959064345
s0153,4.279864074267361
s0154,3.579729252404161
s0155,2.969463630052237
s0156,3.099815873877886
s0156-R,3.099815873877886
s0157,2.621725961446205
