scenario,WBA2,WBA3,WBA4,WBA5,WBA6,WBA7N,WBA7S,WBA8N,WBA8S,WBA9,WBA10,WBA11,WBA12,WBA13,WBA14,WBA15N,WBA15S,WBA16,WBA17N,WBA17S,WBA18,WBA19,WBA20,WBA21,WBA22,WBA23,WBA24,WBA25,WBA26N,WBA26S,WBA50,WBA60N,WBA60S,WBA61,WBA62,WBA63,WBA64,WBA71,WBA72,WBA73,WBA90,DETAW
s0011,3.023304205592264,2.008837380202868,2.0036840459554166,2.018392267569058,2.033177429924507,2.022859498002217,1.9970728852958197,2.012646165677558,1.9962538514867956,2.0489977963304984,2.0152417584161846,2.0411469948532774,2.0238035425731526,2.0161869899188813,2.029490007229392,2.0311506252115072,3.208039591465037,3.0079727754726133,2.0387124687180664,3.0095097869130716,3.010094225273671,3.051946559013591,2.0134116506217925,3.0030019147060036,3.0646557894806867,3.3289901221694436,3.8135231709786304,2.0198843806417974,3.156820384397708,2.025127533033679,1.9880085746067782,1.9982258823835162,1.974496040681085,1.9658057137886888,3.3022974490757715,4.184063227693863,4.709300891823531,1.9558862079664379,1.9181148779796016,3.2729866511131003,4.943711247499375,2.0062671404888093
s0020,3.021617555820993,1.9464045952166744,2.04701682051841,1.7923864705215231,3.000189191738177,3.8854659088467627,2.218080663799599,2.737142555594501,2.2126557484163856,1.9849707622646713,1.92659699684548,1.956256896349293,1.9762043768254887,1.9521068566471664,2.0022074967579853,2.0687732432674473,3.3936339331631817,3.007760882339309,1.9582717491446093,3.008311239672622,3.0084728251815367,3.0514387261541756,1.810695816599737,3.0031100934067414,3.104092121708169,3.611850240837267,4.326631069230372,2.2416756268443043,3.3238643421201983,2.8617426762901363,2.357499741586511,2.9655236303677652,3.0223505555314185,2.2704627243007134,3.4384410778255683,4.493061863723909,4.812653347441589,3.0022349714899383,3.3541674888207256,4.054926859995727,4.965451946672035,2.5448630494097455
s0020-R,3.021617555820993,1.9464045952166744,2.04701682051841,1.7923864705215231,3.000189191738177,3.8854659088467627,2.218080663799599,2.737142555594501,2.2126557484163856,1.9849707622646713,1.92659699684548,1.956256896349293,1.9762043768254887,1.9521068566471664,2.0022074967579853,2.0687732432674473,3.3936339331631817,3.007760882339309,1.9582717491446093,3.008311239672622,3.0084728251815367,3.0514387261541756,1.810695816599737,3.0031100934067414,3.104092121708169,3.611850240837267,4.326631069230372,2.2416756268443043,3.3238643421201983,2.8617426762901363,2.357499741586511,2.9655236303677652,3.0223505555314185,2.2704627243007134,3.4384410778255683,4.493061863723909,4.812653347441589,3.0022349714899383,3.3541674888207256,4.054926859995727,4.965451946672035,2.5448630494097455
s0021,3.0219858444158914,1.956236163707872,2.0453221593352073,1.7964185874229437,2.970209626360555,3.8575121145953473,2.2227288850170965,2.7310570334476445,2.207296101735216,2.0359558586292583,1.9209940487189607,1.8778979972808543,2.014198626005367,1.9537283983075047,2.1114131361289274,2.201803041961135,3.4150534386583145,3.007257781044565,1.8942040169648635,3.0082309016719617,3.008781271981817,3.050559540908696,1.7849310306162267,3.0029207454515183,3.1037452180047413,3.616745351621781,4.3267541099891735,2.1759536898784173,3.3230279707179813,2.837436504907601,2.3566071104836435,2.9622504217013677,3.0227482356674265,2.272246794744724,3.437822768829728,4.492250770326176,4.812502203649667,3.0022184186127063,3.353186126657727,4.054141943239533,4.9653976561582684,2.5168858183302394
s0023,1.0426425577016005,1.783944721922007,2.5875223963053964,1.9123792863258187,2.2224948660819646,3.180194263608334,2.994791915361283,2.478573581280781,3.6738990387718746,1.1168983326476303,1.2421774729928945,3.526165286151868,4.7245381870248195,4.985092518068255,4.972918652069955,4.983132481453286,4.937985297940527,1.0660822671340995,3.0416121636807993,3.816708070570543,3.238348613299906,4.570616824029585,2.5088162592667054,1.2524337943026163,1.304462547591846,1.4774215668982438,1.4994398852653346,3.0005889199131652,1.4999677709189605,2.9782230601554742,2.3582507592272557,3.0030257075219278,3.008916956937189,4.13012404849403,4.371068845938853,4.235979753612858,4.897373800814433,3.189719658359749,2.9993143739176786,3.0001368841373597,3.005050663252515,2.9682146739964628
s0024,1.0427266868920084,1.8024972434219193,2.588934716984803,1.9297733592949018,2.2287407716034084,3.180135235224453,2.995376345403615,2.493171332910592,3.674136102797677,1.1237714734597932,1.2458965033728884,3.5384564024358403,4.724397409475759,4.985042178929436,4.972913305655857,4.983132231772588,4.93798906105637,1.066206490674793,3.0443548722872613,3.8253558776403382,3.2382720158866136,4.569527981091343,2.510833710611921,1.2532747503780381,1.3043446742129179,1.4778501615990847,1.4994463976847494,3.0005861293213743,3.000001085616467,2.978808536477474,2.370180213674468,3.003031737302759,3.009139837422993,4.131304000845982,4.371108544352248,4.236644707910941,4.89742607655515,3.189713769084338,2.9993170642512923,3.0001297505634326,3.0051263442032408,2.969093649161658
s0025,3.022102519995105,1.9496460138827347,2.046176151201878,1.8060285803768896,2.973359521374566,3.835938239156058,2.191047964860418,2.730651024017442,2.1874782919903053,2.0813244301065645,1.9349602895004232,2.0090861140796727,2.0102525113310463,1.9864933643635698,2.0475085323153124,2.07686104048572,3.3421539224013435,3.007530394181911,2.0401797012719403,3.009295177554003,3.011233363262069,3.052201169462775,1.777918502048653,3.003085179057267,3.0957898975233364,3.5234042977781277,4.240355047168565,2.319964828518441,3.300543907715282,3.0423842424784953,3.004720517821932,3.308368830825565,3.3149002625000774,3.037565946642528,3.2178427397298885,3.8726609510575427,4.45758830622305,2.839197247619281,2.8663208198728385,3.402524938279559,4.915324411690372,3.0758051838012506
s0026,3.022172944135093,1.9503792953857666,2.0436015763368207,1.7906759768408949,2.9595171421498394,3.8095653497060695,2.2001734084024385,2.7176126295124776,2.1957882959933968,2.026243124989566,1.927478876792398,1.9898564013631805,1.9882348132831422,1.977290275544898,2.0003427976223036,2.0247915264894245,3.2358479688203174,3.007860579996395,2.018477282377125,3.0094318326802814,3.0104550064066613,3.051259835489722,1.8102508896708922,3.0032558637718534,3.092696593399805,3.4782663213192238,4.213527084875722,2.2627016316508084,3.289245847801815,2.8376252060504243,1.8950208883946322,2.8753475760198155,2.873062986711582,2.0070221030501223,1.475576093588075,3.1840770468602257,1.4678184970183215,2.363476405452988,2.2791911453380895,3.211455947637642,4.916728395969191,2.49649313286755
s0027,3.015015317943827,1.943667182352681,2.034818815042926,1.877379058313911,2.6228154001247432,2.985999577024107,2.1716593969227027,2.511099456421875,2.1557523029327292,2.093519695143754,1.9845050617034263,2.0544713458335475,2.004235869736828,1.9928484179901405,1.9940899221149866,2.013520621311334,3.0946934253658784,3.0061241350975907,2.075774149981409,3.008311980761666,3.010832100859145,3.0497468471783162,1.7774411327107826,3.0028615019685514,3.049297051701832,3.237104254834442,3.646176542882173,2.3237763851345643,3.118536835455344,3.0164630835150255,3.0044460938104036,3.290294574515435,3.313273694767938,3.0374249862897984,3.2188283233840425,3.872163043353429,4.456890050754245,2.8579413960166207,2.860031711207454,3.3997059152071447,4.914975286673547,3.0559367624369083
s0028,3.0217995273264413,1.95543741229264,2.0020198219743373,2.153979100933596,1.8684913674791188,1.681289767931554,1.9475748998790112,1.839551743239442,2.010236695939982,2.1901254324307797,2.1814378881269225,2.244776182347793,2.131827389406023,2.1579648157065563,2.050799876336904,2.0806299816788023,1.4554620880611537,3.0075746295936545,2.267653801430183,3.008780476808404,3.009343201697036,3.052664967095572,2.1103639364425018,3.003242692393142,3.0116599231131413,3.0354994612589237,3.1164845420142626,1.8906891718365642,1.434234793224253,2.037007747418835,1.5512548840980278,1.8369181126601482,1.3934848234130177,1.3896115712954715,1.473872565548681,3.1801149720478548,1.4663301038449184,2.112111607867612,2.239705518085689,3.1772144076752054,4.909584930376511,1.8608699995835187
