ScenarioID,Salinity_Tier
s0002,2
s0011,2
s0020,2
s0021,2
s0022,2
s0023,2
s0024,2
s0025,2
s0026,2
s0027,2
s0028,2
s0030,1
s0031,2
s0032,1
s0033,2
s0035,2
s0036,2
s0037,2
s0039,1
s0040,1
s0041,1
s0042,1
s0044,2
s0045,3
s0046,2
s0047,3
s0048,3
s0049,3
s0050,3
s0051,3
s0056,3
s0057,3
s0058,3
s0059,3
s0060,3
s0062,3
s0063,3
s0065,2
s0067,3
s0068,3
s0069,3
s0070,1
s0071,1
s0072,2
s0073,1
s0074,3
s0075,3
s0076,3
s0077,3
s0078,2
s0079,2
s0080,2
s0081,2
s0082,3
s0083,3
s0084,3
s0085,3
s0087,3
s0088,3
s0089,3
s0090,1
s0091,1
s0092,2
s0093,1
s0094,3
s0095,3
s0096,3
s0097,3
s0098,2
s0099,2
s0100,2
s0101,2
s0102,3
s0103,4
s0104,3
s0105,3
