Scenario,S_SHSTA_Storage_Tier,S_TRNTY_Storage_Tier,S_OROVL_Storage_Tier,S_FOLSM_Storage_Tier,S_MELON_Storage_Tier,S_MLRTN_Storage_Tier,S_SLUIS_CVP_Storage_Tier,S_SLUIS_SWP_Storage_Tier
s0002,1.68,3.205882353,2.375,2.75,1.16,3.852941176,2.625,3.558823529
s0011,1.64,3.205882353,2.375,2.75,1.04,3.794117647,2.375,3.588235294
s0020,1.68,3.205882353,1.999999,2.75,1.12,3.882352941,1.88,3.441176471
s0021,1.8,3.205882353,2.125,2.75,1.12,3.882352941,2.25,3.441176471
s0022,1.64,3.235294118,1.999999,2.375,1.000001,4.606060606,2.125,3.323529412
s0023,1.72,3.147058824,2.125,2.75,1.000001,4.696969697,1.8,3.294117647
s0024,1.68,3.147058824,1.999999,2.625,1.000001,4.696969697,1.76,3.235294118
s0025,1.64,3.176470588,1.96,2.75,1.12,3.735294118,1.64,3.352941176
s0026,1.72,3.205882353,1.999999,2.75,1.04,3.735294118,1.4,3.147058824
s0027,1.56,3.176470588,1.92,2.75,1.12,3.735294118,1.6,3.382352941
s0028,1.6,3.117647059,1.84,2.625,1.04,3.735294118,1.28,2.625
s0030,1.4,1.72,1.6,1.92,1.000001,3.882352941,1.56,3.999999
s0031,2.125,3.5,1.92,2.5,3.617647059,3.970588235,1.32,1.88
s0032,3.558823529,4.484848485,3.558823529,3.735294118,3.441176471,4.333333333,1.16,3.029411765
s0033,1.56,3.352941176,1.8,2.5,3.147058824,3.735294118,1.04,1.36
s0035,1.68,3.205882353,2.25,2.75,1.12,3.882352941,1.92,4.121212121
s0037,1.72,3.205882353,1.92,2.75,1.12,3.882352941,1.92,3.588235294
s0039,1.6,3.088235294,2.25,3.235294118,1.000001,4.727272727,2.25,3.411764706
s0040,1.48,3.029411765,1.68,2.999999,1.000001,4.727272727,1.84,2.999999
s0041,1.48,3.029411765,1.76,3.088235294,1.000001,4.727272727,1.84,3.117647059
s0042,1.52,3.058823529,1.999999,3.147058824,1.000001,4.727272727,1.92,3.323529412
s0044,1.56,3.176470588,1.96,2.75,1.12,3.911764706,1.28,2.999999
s0045,1.72,3.205882353,1.88,2.625,1.12,3.882352941,1.88,3.352941176
s0046,3.529411765,4.393939394,3.411764706,3.735294118,3.735294118,4.454545455,1.16,3.058823529
s0047,2.5,3.352941176,2.999999,2.999999,1.16,2.5,2.999999,3.558823529
s0048,2.375,3.235294118,3.176470588,3.029411765,1.2,1.999999,3.235294118,3.647058824
s0049,2.625,3.382352941,3.088235294,2.999999,1.16,2.5,3.058823529,3.588235294
s0050,2.25,3.323529412,3.176470588,3.117647059,1.04,3.411764706,2.999999,3.705882353
s0051,2.125,3.323529412,3.205882353,3.147058824,1.04,3.411764706,3.058823529,3.735294118
s0056,3.147058824,3.529411765,3.205882353,3.088235294,1.32,3.058823529,3.264705882,3.617647059
s0057,3.176470588,3.529411765,3.411764706,3.088235294,1.4,2.875,3.441176471,3.647058824
s0058,3.176470588,3.529411765,3.323529412,3.117647059,1.32,3.058823529,3.323529412,3.558823529
s0059,3.088235294,3.5,3.441176471,3.235294118,1.28,3.382352941,3.088235294,3.852941176
s0060,3.117647059,3.5,3.441176471,3.264705882,1.28,3.382352941,3.176470588,3.823529412
s0062,1.8,3.147058824,2.75,2.999999,1.16,1.96,1.76,3.588235294
s0063,1.999999,3.411764706,3.088235294,3.058823529,1.32,2.625,2.125,3.470588235
s0065,1.6,3.176470588,1.84,2.75,1.08,3.911764706,2.375,1.96
s0067,1.8,3.147058824,2.75,2.999999,1.16,1.96,1.76,3.617647059
s0068,1.96,3.264705882,2.625,2.999999,1.12,1.96,1.64,3.382352941
s0069,1.8,3.147058824,2.5,2.999999,1.12,1.96,1.52,3.117647059
s0070,3.852941176,4.333333333,3.705882353,3.823529412,3.647058824,3.470588235,1.68,3.088235294
s0071,1.48,1.8,1.68,2.125,1.000001,2.625,1.52,3.970588235
s0072,3.205882353,3.529411765,2.5,2.875,3.441176471,2.875,1.6,1.999999
s0073,3.794117647,4.303030303,3.676470588,3.823529412,3.294117647,3.323529412,1.48,3.088235294
s0074,3.647058824,3.676470588,3.088235294,3.029411765,3.882352941,2.999999,2.375,1.999999
s0075,2.375,3.323529412,3.058823529,3.029411765,1.16,2.5,3.147058824,4.060606061
s0077,2.375,3.294117647,2.875,3.029411765,1.16,2.5,2.999999,3.647058824
s0078,1.72,3.294117647,2.999999,3.294117647,1.12,3.441176471,3.470588235,3.764705882
s0079,1.64,3.117647059,1.88,3.088235294,1.12,3.441176471,1.96,3.352941176
