scenario,Tier_range,tier_score_cont
s0011,Tier 4,4.19
s0020,Tier 4,4.24
s0021,Tier 4,4.28
s0023,Tier 4,4.08
s0024,Tier 4,4.08
s0025,Tier 3,3.88
s0026,Tier 4,4.01
s0027,Tier 3,3.91
s0028,Tier 3,3.79
s0030,Tier 3,3.84
s0031,Tier 3,3.74
s0032,Tier 4,4.3
s0033,Tier 3,3.42
s0035,Tier 4,4.47
s0036,Tier 4,4.02
s0037,Tier 4,4.03
s0039,Tier 4,4.1
s0040,Tier 3,3.92
s0041,Tier 3,4
s0042,Tier 4,4.2
s0044,Tier 3,3.87
s0045,Tier 4,4.12
s0046,Tier 4,4.42
s0047,Tier 4,4.65
s0048,Tier 4,4.66
s0049,Tier 4,4.62
s0050,Tier 4,4.72
s0051,Tier 4,4.71
s0056,Tier 4,4.88
s0057,Tier 4,4.9
s0058,Tier 4,4.86
s0059,Tier 4,4.89
s0060,Tier 4,4.94
s0062,Tier 4,4.35
s0063,Tier 4,4.67
s0067,Tier 4,4.38
s0068,Tier 4,4.49
s0069,Tier 4,4.17
s0071,Tier 4,4.61
s0072,Tier 4,4.45
s0073,Tier 4,4.88
s0074,Tier 4,4.39
s0075,Tier 4,4.4
s0076,Tier 4,4.52
s0077,Tier 4,4.53
s0078,Tier 4,4.67
s0079,Tier 4,4.42
s0080,Tier 4,4.6
s0081,Tier 4,4.63
s0082,Tier 4,4.21
s0083,Tier 4,4.53
s0084,Tier 4,4.86
s0087,Tier 4,4.72
s0088,Tier 4,4.85
s0089,Tier 4,4.72
s0091,Tier 4,4.83
s0092,Tier 4,4.88
s0093,Tier 4,4.95
s0094,Tier 4,4.74
s0095,Tier 4,4.76
s0096,Tier 4,4.88
s0097,Tier 4,4.87
s0098,Tier 4,4.86
s0099,Tier 4,4.81
s0100,Tier 4,4.83
s0101,Tier 4,4.87
s0102,Tier 4,4.75
s0103,Tier 4,4.87
s0104,Tier 4,4.94
s0107,Tier 4,4.78
s0108,Tier 4,4.78
s0109,Tier 4,4.84
s0110,Tier 4,4.91
s0111,Tier 4,4.91
s0112,Tier 4,4.44
s0113,Tier 4,4.83
s0114,Tier 4,4.39
s0115,Tier 4,4.84
s0117,Tier 4,4.65
s0118,Tier 4,4.98
s0119,Tier 4,4.97
s0120,Tier 4,4.98
s0121,Tier 4,4.75
s0122,Tier 4,4.83
s0123,Tier 4,4.82
s0124,Tier 4,4.78
s0125,Tier 4,4.77
s0126,Tier 4,4.74
s0127,Tier 4,4.81
s0128,Tier 4,4.56
s0129,Tier 4,4.81
s0130,Tier 4,4.96
s0133,Tier 3,3.97
s0134,Tier 3,3.97
s0135,Tier 3,3.95
s0136,Tier 3,3.82
s0137,Tier 3,3.83
s0138,Tier 3,3.8
s0139,Tier 3,3.89
s0140,Tier 3,3.78
s0141,Tier 3,3.76
s0143,Tier 3,3.87
s0144,Tier 4,4.75
s0145,Tier 4,4.46
s0146,Tier 4,4.41
s0147,Tier 4,4.04
s0149,Tier 3,3.95
s0150,Tier 3,3.95
s0151,Tier 3,3.84
s0152,Tier 3,3.88
s0153,Tier 3,3.88
s0154,Tier 3,3.75
s0155,Tier 4,4.05
s0156,Tier 4,4.48
