Station,AMR004,TRN111,FTR029,FTR003,MOK028,MCD005,SAC000,SAC049,SAC122,SAC148,SAC257,SJR127,SAC289,SJR070,STS011,TUO003,YUB002
s0011,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0020,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0021,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0023,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0024,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0025,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,4
s0026,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0027,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,4
s0028,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0030,3,4,4,3,4,4,2,1,3,3,3,3,3,2,1,3,3
s0031,3,3,4,3,3,2,3,2,2,2,3,3,3,2,3,3,3
s0032,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,4
s0033,3,3,4,3,3,2,3,2,2,2,3,3,3,2,3,3,3
s0035,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0036,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0037,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0039,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3
s0040,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3
s0041,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3
s0042,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3
s0044,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0045,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0046,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,3
s0065,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
