scenario,Hydroclimate,Tier_range,tier_score_cont
s0011,2023 DWR Historical Adjusted,Tier 4,4.87
s0020,2023 DWR Historical Adjusted,Tier 4,4.84
s0021,2023 DWR Historical Adjusted,Tier 4,4.83
s0023,2023 DWR Historical Adjusted,Tier 4,4.83
s0024,2023 DWR Historical Adjusted,Tier 4,4.84
s0025,2023 DWR Historical Adjusted,Tier 4,4.75
s0026,2023 DWR Historical Adjusted,Tier 4,4.82
s0027,2023 DWR Historical Adjusted,Tier 4,4.74
s0028,2023 DWR Historical Adjusted,Tier 4,4.62
s0030,2023 DWR Historical Adjusted,Tier 4,4.62
s0031,2023 DWR Historical Adjusted,Tier 4,4.6
s0032,2023 DWR Historical Adjusted,Tier 4,4.85
s0033,2023 DWR Historical Adjusted,Tier 4,4.2
s0035,2023 DWR Historical Adjusted,Tier 4,4.82
s0036,2023 DWR Historical Adjusted,Tier 4,4.81
s0037,2023 DWR Historical Adjusted,Tier 4,4.81
s0039,2023 DWR Historical Adjusted,Tier 4,4.83
s0040,2023 DWR Historical Adjusted,Tier 4,4.76
s0041,2023 DWR Historical Adjusted,Tier 4,4.82
s0042,2023 DWR Historical Adjusted,Tier 4,4.87
s0044,2023 DWR Historical Adjusted,Tier 4,4.67
s0045,2023 DWR Historical Adjusted,Tier 4,4.83
s0046,2023 DWR Historical Adjusted,Tier 4,4.84
s0048,CC50,Tier 4,4.83
s0047,CC50,Tier 4,4.82
s0049,CC50,Tier 4,4.82
s0051,CC50,Tier 4,4.84
s0050,CC50,Tier 4,4.86
s0067,CC50,Tier 4,4.76
s0068,CC50,Tier 4,4.75
s0062,CC50,Tier 4,4.74
s0069,CC50,Tier 4,4.59
s0071,CC50,Tier 4,4.82
s0072,CC50,Tier 4,4.76
s0073,CC50,Tier 4,4.93
s0074,CC50,Tier 4,4.85
s0075,CC50,Tier 4,4.78
s0076,CC50,Tier 4,4.75
s0077,CC50,Tier 4,4.77
s0078,CC50,Tier 4,4.85
s0079,CC50,Tier 4,4.67
s0080,CC50,Tier 4,4.74
s0081,CC50,Tier 4,4.8
s0082,CC50,Tier 4,4.65
s0083,CC50,Tier 4,4.79
s0084,CC50,Tier 4,4.93
s0057,CC95,Tier 4,4.93
s0056,CC95,Tier 4,4.92
s0058,CC95,Tier 4,4.88
s0060,CC95,Tier 4,4.95
s0059,CC95,Tier 4,4.94
s0087,CC95,Tier 4,4.86
s0088,CC95,Tier 4,4.89
s0063,CC95,Tier 4,4.85
s0089,CC95,Tier 4,4.8
s0091,CC95,Tier 4,4.78
s0092,CC95,Tier 4,4.94
s0093,CC95,Tier 4,4.95
s0094,CC95,Tier 4,4.89
s0095,CC95,Tier 4,4.91
s0096,CC95,Tier 4,4.91
s0097,CC95,Tier 4,4.91
s0098,CC95,Tier 4,4.91
s0099,CC95,Tier 4,4.89
s0100,CC95,Tier 4,4.89
s0101,CC95,Tier 4,4.93
s0102,CC95,Tier 4,4.85
s0103,CC95,Tier 4,4.92
s0104,CC95,Tier 4,4.95
