table,tier_short_code,scenario_short_code,location_id,tier_level,source_file
tier_result,CWS_DEL,s0011,,,CWS_DEL.csv
tier_result,CWS_DEL,s0020,,,CWS_DEL.csv
tier_result,CWS_DEL,s0021,,,CWS_DEL.csv
tier_result,CWS_DEL,s0023,,,CWS_DEL.csv
tier_result,CWS_DEL,s0024,,,CWS_DEL.csv
tier_result,CWS_DEL,s0025,,,CWS_DEL.csv
tier_result,CWS_DEL,s0026,,,CWS_DEL.csv
tier_result,CWS_DEL,s0027,,,CWS_DEL.csv
tier_result,CWS_DEL,s0028,,,CWS_DEL.csv
tier_result,CWS_DEL,s0030,,,CWS_DEL.csv
tier_result,CWS_DEL,s0031,,,CWS_DEL.csv
tier_result,CWS_DEL,s0032,,,CWS_DEL.csv
tier_result,CWS_DEL,s0033,,,CWS_DEL.csv
tier_result,CWS_DEL,s0035,,,CWS_DEL.csv
tier_result,CWS_DEL,s0036,,,CWS_DEL.csv
tier_result,CWS_DEL,s0037,,,CWS_DEL.csv
tier_result,CWS_DEL,s0039,,,CWS_DEL.csv
tier_result,CWS_DEL,s0040,,,CWS_DEL.csv
tier_result,CWS_DEL,s0041,,,CWS_DEL.csv
tier_result,CWS_DEL,s0042,,,CWS_DEL.csv
tier_result,CWS_DEL,s0044,,,CWS_DEL.csv
tier_result,CWS_DEL,s0045,,,CWS_DEL.csv
tier_result,CWS_DEL,s0046,,,CWS_DEL.csv
tier_result,CWS_DEL,s0047,,,CWS_DEL.csv
tier_result,CWS_DEL,s0048,,,CWS_DEL.csv
tier_result,CWS_DEL,s0049,,,CWS_DEL.csv
tier_result,CWS_DEL,s0050,,,CWS_DEL.csv
tier_result,CWS_DEL,s0051,,,CWS_DEL.csv
tier_result,CWS_DEL,s0056,,,CWS_DEL.csv
tier_result,CWS_DEL,s0057,,,CWS_DEL.csv
tier_result,CWS_DEL,s0058,,,CWS_DEL.csv
tier_result,CWS_DEL,s0059,,,CWS_DEL.csv
tier_result,CWS_DEL,s0060,,,CWS_DEL.csv
tier_result,CWS_DEL,s0062,,,CWS_DEL.csv
tier_result,CWS_DEL,s0063,,,CWS_DEL.csv
tier_result,CWS_DEL,s0065,,,CWS_DEL.csv
tier_result,CWS_DEL,s0067,,,CWS_DEL.csv
tier_result,CWS_DEL,s0068,,,CWS_DEL.csv
tier_result,CWS_DEL,s0069,,,CWS_DEL.csv
tier_result,CWS_DEL,s0071,,,CWS_DEL.csv
tier_result,CWS_DEL,s0072,,,CWS_DEL.csv
tier_result,CWS_DEL,s0073,,,CWS_DEL.csv
tier_result,CWS_DEL,s0074,,,CWS_DEL.csv
tier_result,CWS_DEL,s0075,,,CWS_DEL.csv
tier_result,CWS_DEL,s0076,,,CWS_DEL.csv
tier_result,CWS_DEL,s0077,,,CWS_DEL.csv
tier_result,CWS_DEL,s0078,,,CWS_DEL.csv
tier_result,CWS_DEL,s0079,,,CWS_DEL.csv
tier_result,CWS_DEL,s0080,,,CWS_DEL.csv
tier_result,CWS_DEL,s0081,,,CWS_DEL.csv
tier_result,CWS_DEL,s0082,,,CWS_DEL.csv
tier_result,CWS_DEL,s0083,,,CWS_DEL.csv
tier_result,CWS_DEL,s0084,,,CWS_DEL.csv
tier_result,CWS_DEL,s0085,,,CWS_DEL.csv
tier_result,CWS_DEL,s0087,,,CWS_DEL.csv
tier_result,CWS_DEL,s0088,,,CWS_DEL.csv
tier_result,CWS_DEL,s0089,,,CWS_DEL.csv
tier_result,CWS_DEL,s0091,,,CWS_DEL.csv
tier_result,CWS_DEL,s0092,,,CWS_DEL.csv
tier_result,CWS_DEL,s0093,,,CWS_DEL.csv
tier_result,CWS_DEL,s0094,,,CWS_DEL.csv
tier_result,CWS_DEL,s0095,,,CWS_DEL.csv
tier_result,CWS_DEL,s0096,,,CWS_DEL.csv
tier_result,CWS_DEL,s0097,,,CWS_DEL.csv
tier_result,CWS_DEL,s0098,,,CWS_DEL.csv
tier_result,CWS_DEL,s0099,,,CWS_DEL.csv
tier_result,CWS_DEL,s0100,,,CWS_DEL.csv
tier_result,CWS_DEL,s0101,,,CWS_DEL.csv
tier_result,CWS_DEL,s0102,,,CWS_DEL.csv
tier_result,CWS_DEL,s0103,,,CWS_DEL.csv
tier_result,CWS_DEL,s0104,,,CWS_DEL.csv
tier_result,CWS_DEL,s0105,,,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,02_PU,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,02_SU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,03_PU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,03_PU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,03_SU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,11_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,12_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,13_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,16_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,20_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,21_PU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,24_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,24_NU2,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,24_NU3,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,25_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26N_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26N_NU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26N_NU3,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26N_PU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26N_PU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26N_PU3,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26S_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26S_NU3,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26S_PU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26S_PU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26S_PU4,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26S_PU5,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,26S_PU6,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,50_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,60N_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,60N_NU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,60S_NU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,61_NU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,62_NU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,71_NU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,72_NU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,72_PU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,90_PU,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ACFC,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,AMADR,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,AMCYN,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ANTOC,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,BNCIA,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,CCWD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,CSB038,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,CSB103,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,CSPSO,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,CSTIC,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ELDID_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ELDID_NU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ELDID_NU3,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ESB324,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ESB347,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ESB414,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ESB415,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,ESB420,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,FRFLD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,GDPUD_NU,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,GRSVL,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,JLIND,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,KCWA,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,MWD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,NAPA,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,NAPA2,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,PCWA3,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,PLMAS,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,SBA029,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,SBA036,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,SCVWD,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,SUISN,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,SVWRD,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,TLMNE,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,TVAFB,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,UNION,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,UPANG,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,VLLJO,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0011,WLDWD,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,02_PU,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,02_SU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,03_PU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,03_PU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,03_SU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,11_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,12_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,13_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,16_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,20_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,21_PU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,24_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,24_NU2,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,24_NU3,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,25_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26N_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26N_NU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26N_NU3,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26N_PU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26N_PU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26N_PU3,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26S_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26S_NU3,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26S_PU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26S_PU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26S_PU4,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26S_PU5,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,26S_PU6,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,50_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,60N_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,60N_NU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,60S_NU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,61_NU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,62_NU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,72_NU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,72_PU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,90_PU,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ACFC,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,AMADR,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,AMCYN,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ANTOC,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,BNCIA,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,CCWD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,CSB038,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,CSB103,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,CSPSO,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,CSTIC,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ELDID_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ELDID_NU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ELDID_NU3,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ESB324,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ESB347,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ESB414,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ESB415,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,ESB420,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,FRFLD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,GDPUD_NU,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,GRSVL,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,JLIND,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,KCWA,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,MWD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,NAPA,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,NAPA2,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,PCWA3,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,PLMAS,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,SBA029,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,SBA036,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,SCVWD,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,SUISN,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,SVWRD,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,TLMNE,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,TVAFB,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,UNION,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,UPANG,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,VLLJO,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0020,WLDWD,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,02_PU,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,02_SU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,03_PU1,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,03_PU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,03_SU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,11_NU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,12_NU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,13_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,16_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,20_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,21_PU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,24_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,24_NU2,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,24_NU3,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,25_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26N_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26N_NU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26N_NU3,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26N_PU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26N_PU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26N_PU3,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26S_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26S_NU3,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26S_PU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26S_PU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26S_PU4,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26S_PU5,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,26S_PU6,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,50_PU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,60N_NU1,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,60N_NU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,60S_NU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,61_NU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,62_NU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,72_NU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,72_PU,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,90_PU,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ACFC,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,AMADR,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,AMCYN,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ANTOC,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,BNCIA,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,CCWD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,CSB038,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,CSB103,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,CSPSO,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,CSTIC,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ELDID_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ELDID_NU2,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ELDID_NU3,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ESB324,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ESB347,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ESB414,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ESB415,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,ESB420,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,FRFLD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,GDPUD_NU,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,GRSVL,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,JLIND,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,KCWA,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,MWD,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,NAPA,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,NAPA2,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,PCWA3,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,PLMAS,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,SBA029,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,SBA036,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,SCVWD,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,SUISN,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,SVWRD,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,TLMNE,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,TVAFB,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,UNION,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,UPANG,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,VLLJO,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0021,WLDWD,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,02_PU,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,02_SU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,03_PU1,3,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,03_PU2,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,03_SU,4,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,11_NU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,12_NU1,2,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,13_NU1,1,CWS_DEL.csv
tier_location_result,CWS_DEL,s0023,16_PU,4,CWS_DEL.csv
